page	locus	section	language	hand	token_count	target_ordinals	target_surfaces	v51_source_line	zl3b_line	current_literal_de	after_literal_de	practical_translation_de
f105r	f105r.2	S	B	3	13	2|6	yey|qodor	1	dshees yey cheey raiin otchdy qodor ches or cheey okees odar cheody qody	Dosis oder Charge vollständig eingeweichter Arzneispecies | [yey:?] | trocken am Ende des Grades | Wurzel, Typ/Charge III | kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | [qodor:?] | trockenes Drogenmaterial, Mittelstufe | Drogenportion | trocken am Ende des Grades | Charge vollständig erhitzten Ansatzes | erste Ansatzfraktion abmessen | getrockneter Ansatz | stelle die Zubereitung fertig	Dosis oder Charge vollständig eingeweichter Arzneispecies | hieran anschließend | trocken am Ende des Grades | Wurzel, Typ/Charge III | kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | eine Portion Ansatz abmessen | trockenes Drogenmaterial, Mittelstufe | Drogenportion | trocken am Ende des Grades | Charge vollständig erhitzten Ansatzes | erste Ansatzfraktion abmessen | getrockneter Ansatz | stelle die Zubereitung fertig	Die vollständig eingeweichte Arzneispecies-Dosis hieran anschließend bis zur Trocken-Endstufe bringen. Wurzeldroge der Charge III und den fertigen kalt-trockenen Anfangsansatz bereitstellen; eine Portion Ansatz abmessen. Dazu mittelgetrocknetes Drogenmaterial und eine Drogenportion, erneut bis zur Endstufe trocknen. Von der Charge vollständig erhitzten Ansatzes die erste Fraktion abmessen, als getrockneten Ansatz weiterführen und die Zubereitung fertigstellen.
f113v	f113v.12	S	B	3	5	2|4	otsheody|olchey	1	solchedy otsheody arl olchey oror	getrockneter Samen/Saatgutstoff/-ansatz | [otsheody:?] | erste Holzdrogenfraktion | [olchey:?] | zwei Portionen	getrockneter Samen/Saatgutstoff/-ansatz | kalt angefeuchteter Ansatz, abgeschlossen | erste Holzdrogenfraktion | Holzdrogenansatz, bis Mittelstufe getrocknet | zwei Portionen	Getrockneter Saatgutansatz; kalt angefeuchteter Ansatz, abgeschlossen; erste Holzdrogenfraktion; bis zur Mittelstufe getrockneter Holzdrogenansatz — zwei Portionen.
f113v	f113v.3	S	B	3	7	3|4	chotar|okeeodar	1	sar aiin chotar okeeodar qokain olol olam	Samenfraktion I | Menge III | [chotar:?] | [okeeodar:?] | heiß, Grad II | Holzdrogen-Grundansatz | ein Maß Ansatz-/Drogenmaterial; Holzbindung offen	Samenfraktion I | Menge III | erste Fraktion des abgekühlten Trockenansatzes | erste abgemessene Fraktion des vollständig erhitzten Ansatzes | heiß, Grad II | Holzdrogen-Grundansatz | ein Maß Ansatz-/Drogenmaterial; Holzbindung offen	Samenfraktion I, Menge III; erste Fraktion des abgekühlten Trockenansatzes; erste abgemessene Fraktion des vollständig erhitzten Ansatzes; Heizgrad II; Holzdrogen-Grundansatz; ein Maß Ansatzmaterial.
f115r	f115r.23	S	B	@	13	3|9	qokeod|keeey	1	dchey keey qokeod chody qokcho s checthy qokeeey keeey lol chedy qokchedy ldy	eine Dosis bis zur Mittelstufe trocknen und abschließen | heiß am Ende des Grades | [qokeod:?] | Trockenansatz, abgeschlossen | erhitze, trockne und setze an | Samen-/Saatgutposten | trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut | stark erhitzt, Endstufe III | [keeey:?] | Holzstoff | trocken in der Mitte des Grades, abgeschlossen | heiß und trocken in der Mitte des Grades, abgeschlossen | Holzdroge, fertig aufbereitet	eine Dosis bis zur Mittelstufe trocknen und abschließen | heiß am Ende des Grades | heißen Auszug bereiten und abschließen | Trockenansatz, abgeschlossen | erhitze, trockne und setze an | Samen-/Saatgutposten | trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut | stark erhitzt, Endstufe III | stark erhitzt, Endstufe III | Holzstoff | trocken in der Mitte des Grades, abgeschlossen | heiß und trocken in der Mitte des Grades, abgeschlossen | Holzdroge, fertig aufbereitet	Eine Dosis bis zur Mittelstufe trocknen und abschließen. Am Heizende einen heißen Auszug bereiten und abschließen; den fertigen Trockenansatz erhitzen, trocknen und neu ansetzen. Saatgutposten und trockenes Blatt- oder Krautgut stark bis zur Endstufe III erhitzen. Das stark erhitzte Gut mit Holzstoff bis zur mittleren Trockenstufe führen, heiß-trocken abschließen und als fertig aufbereitete Holzdroge halten.
f116r	f116r.12	S	B	3	12	1|3	qoin|cholches	1	qoin ar cholches okain dain cheey okeey otain olchdy otal dain olam	[qoin:?] | Drogenfraktion I | [cholches:?] | heiß im Zubereitungsrahmen, Grad II | Grad-/Maßwert II | trocken am Ende des Grades | heißer Ansatz am Ende des Grades | kalt im Zubereitungsrahmen, Grad II | Drogenstoff trocknen und fertigstellen | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Grad-/Maßwert II | ein Maß Ansatz-/Drogenmaterial; Holzbindung offen	zweiten Ansatz nehmen | Drogenfraktion I | nachgetrocknetes Drogenmaterial, Mittelstufe | heiß im Zubereitungsrahmen, Grad II | Grad-/Maßwert II | trocken am Ende des Grades | heißer Ansatz am Ende des Grades | kalt im Zubereitungsrahmen, Grad II | Drogenstoff trocknen und fertigstellen | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Grad-/Maßwert II | ein Maß Ansatz-/Drogenmaterial; Holzbindung offen	Den zweiten Ansatz nehmen: erste Drogenfraktion und nachgetrocknetes Drogenmaterial der Mittelstufe. Auf Heizgrad II bringen; Maß II. Bis zur Trocken-Endstufe, danach zur heißen Endstufe und anschließend auf Kühlgrad II führen. Den Drogenstoff trocknen und fertigstellen; Rohdroge I im kalten Anfangsansatz, Maß II, schließlich ein Maß Drogenmaterial.
f30r	f30r.9	H	A	1	7	2|4	qochar|keeaiin	1	dchey qochar chol keeaiin chcthey chor cheky	eine Dosis bis zur Mittelstufe trocknen und abschließen | [qochar:?] | trocken; nominal trockenes Gut/Material | [keeaiin:?] | Krautdroge bis zur mittleren Stufe trocknen | Pflanzen-/Reproduktionsteil | bis zur mittleren Trockenstufe, dann leicht erhitzen	eine Dosis bis zur Mittelstufe trocknen und abschließen | erste Trockenfraktion nehmen | trocken; nominal trockenes Gut/Material | vollständig erhitzt, Stufe III | Krautdroge bis zur mittleren Stufe trocknen | Pflanzen-/Reproduktionsteil | bis zur mittleren Trockenstufe, dann leicht erhitzen	Eine Dosis bis zur Mittelstufe trocknen und abschließen. Die erste Trockenfraktion des Trockenguts nehmen und vollständig auf Stufe III erhitzen. Die Krautdroge bis zur Mittelstufe trocknen, den Pflanzen- oder Blütenteil dazugeben und bis zur mittleren Trockenstufe bringen, dann leicht anwärmen.
f38v	f38v.6	H	A	1	8	2	keeey	0	sho keeey key tey daiin daiiin dain dain	feuchter Ansatz | [keeey:?] | heiß in der Mitte des Grades | kalt in der Mitte des Grades | Grad-/Maßwert III | Grad-/Maßwert IV | Grad-/Maßwert II | Grad-/Maßwert II	feuchter Ansatz | stark erhitzt, Endstufe III | heiß in der Mitte des Grades | kalt in der Mitte des Grades | Grad-/Maßwert III | Grad-/Maßwert IV | Grad-/Maßwert II | Grad-/Maßwert II	feuchter Ansatz; stark erhitzt, Endstufe III; heiß in der Mitte des Grades; kalt in der Mitte des Grades; Grad-/Maßwert III; Grad-/Maßwert IV; Grad-/Maßwert II; Grad-/Maßwert II.
f49r	f49r.16	H	A	1	4	1|4	qocho|qotchody	1	qocho cheey dchey qotchody	[qocho:?] | trocken am Ende des Grades | abgemessene Trockendroge der Mittelstufe, abgeschlossen | [qotchody:?]	Trockenansatz nehmen | trocken am Ende des Grades | abgemessene Trockendroge der Mittelstufe, abgeschlossen | kühlen, trocknen, ansetzen und fertigstellen	Den Trockenansatz nehmen und bis zur Endstufe trocknen. Die abgemessene und auf Mittelstufe getrocknete Droge als fertiges Zwischenprodukt halten; anschließend kühlen, trocknen, erneut ansetzen und fertigstellen.
f76v	f76v.10	B	B	2	10	1|7	cphdor|lsheetal	1	cphdor shedal qopchdy dshedy shedy tchedy lsheetal shecphy daiin dy	[cphdor:?] | feuchte abgemessene Rohstoffmenge I in der Gradmitte | nimm fertig getrocknetes Pulver | weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab | feucht in der Mitte des Grades, abgeschlossen | kalt und trocken in der Mitte des Grades, abgeschlossen | [lsheetal:?] | bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum | Grad-/Maßwert III | Qualitäts-/Wertfeld geschlossen	eine Portion Arzneikompositum abmessen | feuchte abgemessene Rohstoffmenge I in der Gradmitte | nimm fertig getrocknetes Pulver | weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab | feucht in der Mitte des Grades, abgeschlossen | kalt und trocken in der Mitte des Grades, abgeschlossen | Rohholzdroge I, vollständig eingeweicht und kaltgestellt | bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum | Grad-/Maßwert III | Qualitäts-/Wertfeld geschlossen	Eine Portion Arzneikompositum abmessen; dazu feuchte abgemessene Rohstoffmenge I auf Mittelstufe. Fertig getrocknetes Pulver nehmen und eine Dosis Droge bis zur Mittelstufe einweichen und abschließen. Mit dem fertigen Feuchtgut und dem kalt-trockenen Mittelstufenprodukt die Rohholzdroge I vollständig einweichen und kaltstellen; bis zur Mittelstufe eingeweichtes Arzneikompositum, Maß III, danach Abschluss.
f77v	f77v.7	B	B	2	11	3|4	qy|rr	1	olshedy qolsheedy qy rr ycheedy okedy lshedy chs shdal chedy qolky	Holzdroge im Ansatz vollständig eingeweicht | vollständig eingeweichten und fertigen Drogenstoff zugeben | [qy:?] | [rr:?] | trockne hiervon vollständig und stelle es fertig | heißer Ansatz in der Mitte des Grades, abgeschlossen | eingeweichtes Drogenholz | Trockengut, Grundform | feuchte abgemessene Rohstoffmenge I am Gradanfang | trocken in der Mitte des Grades, abgeschlossen | leicht erhitzten Drogenstoff hinzugeben	Holzdroge im Ansatz vollständig eingeweicht | vollständig eingeweichten und fertigen Drogenstoff zugeben | hiervon nehmen | getrocknete Wurzeldroge | trockne hiervon vollständig und stelle es fertig | heißer Ansatz in der Mitte des Grades, abgeschlossen | eingeweichtes Drogenholz | Trockengut, Grundform | feuchte abgemessene Rohstoffmenge I am Gradanfang | trocken in der Mitte des Grades, abgeschlossen | leicht erhitzten Drogenstoff hinzugeben	Vollständig eingeweichte Holzdroge; den vollständig eingeweichten und fertigen Drogenstoff zugeben. Davon getrocknete Wurzeldroge nehmen und vollständig trocknen und fertigstellen. Als heißen Mittelstufenansatz mit eingeweichtem Drogenholz weiterführen; Trockengut in Grundform und feuchte abgemessene Rohstoffmenge I auf Anfangsstufe. Bis zur mittleren Trockenstufe führen und leicht erhitzten Drogenstoff zugeben.
