locus	ordinal	surface	resolution_class	practical_resolution_de	review_note	it2a_operation	it2a_render	rf1b_operation	rf1b_render	reader_support	context_after_de
f102v2.22	11	keo	JOIN_RIGHT_KNOWN_WHOLE	heiße Drogenportion	Both alternate readers join ZL3b keo r as the already learned whole keor.	MERGE_2	keor	MERGE_2	keor	NEITHER_EXACT	Grad-/Maßwert II · Drogenportion · Menge III · trockener Drogenstoff · Samen-/Saatgutposten · ⟦oiir:?⟧ · trocken; nominal trockenes Gut/Material · feucht am Ende des Grades · bereite einen Arzneikompositum-Ansatz in Grundstufe · Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz · heiße · Drogenportion · ⟦okeody:?⟧ · eine Portion Ansatz bis zur Mittelstufe erhitzen · Trockenansatz.
f112r.45	4	keeey	JOIN_LEFT_SAME_CORE	stark erhitzter Ansatz, Endstufe III	Both alternate readers join preceding o as okeeey; the target remains the final strong-heat component.	MERGE_2	okeeey	MERGE_2	okeeey	NEITHER_EXACT	nimm hiervon eine Portion · Menge III · Ansatz mit keeey · stark erhitzt, Endstufe III · kalt am Ende des Grades · ⟦shkar:?⟧ · ⟦oteeedyqokeey:?⟧ · heißer Ansatz am Ende des Grades · heiße Ansatzfraktion I, abgeschlossen · bereite einen zweiten Ansatz · hierzu leicht erhitzen.
f115r.20	12	keo	JOIN_RIGHT_KNOWN_WHOLE	heiße Drogenportion	Both alternate readers join ZL3b keo r as the already learned whole keor.	MERGE_2	keor	MERGE_2	keor	NEITHER_EXACT	trockne den Holzdrogenansatz bis zur mittleren Stufe und schließe ihn ab · Holzdroge erhitzen, bis zur Mittelstufe trocknen und abschließen · Arzneikompositum im Trockenansatz am Gradanfang · trocken in der Mitte des Grades, abgeschlossen · heiß und trocken in der Mitte des Grades, abgeschlossen · heiß am Anfang des Grades · Pflanzen-/Reproduktionsteil · Rohstoffklasse I · ⟦alor:?⟧ · trocken am Ende des Grades · Drogenstoff zugeben · heiße · Drogenportion · feucht in der Mitte des Grades.
f115r.34	3	keeey	JOIN_LEFT_SAME_CORE	stark erhitzte Holzdroge, Endstufe III	Both alternate readers join preceding l as lkeeey; the target remains the final strong-heat component.	MERGE_2	lkeeey	MERGE_2	lkeeey	NEITHER_EXACT	⟦cheeo:?⟧ · Holzdroge in der gebundenen Anschlussform · stark erhitzt, Endstufe III · heißer Ansatz am Ende des Grades · Wurzel, Typ/Charge III · bis zur mittleren Trockenstufe, dann leicht erhitzen.
f116r.12	1	qoin	TRUE_READER_RIVAL_DEFAULT_LEARNED_WHOLE	zweiten Ansatz nehmen	IT2a has qoain and RF1b splits qo in; form II and quantity II remain live rivals.	ONE	qoain	SPLIT_2	qoin	NEITHER_EXACT	zweiten Ansatz nehmen · Drogenfraktion I · ⟦cholches:?⟧ · heiß im Zubereitungsrahmen, Grad II · Grad-/Maßwert II · trocken am Ende des Grades · heißer Ansatz am Ende des Grades · kalt im Zubereitungsrahmen, Grad II · Drogenstoff trocknen und fertigstellen · Rohstoffklasse I im Ansatz, kalt am Gradanfang · Grad-/Maßwert II · ein Maß Ansatz-/Drogenmaterial; Holzbindung offen.
f116r.12	3	cholches	SPLIT_SAME_COMPOSITION	nachgetrocknetes Drogenmaterial, Mittelstufe	Both alternate readers split chol ches while preserving the exact letters and dry-material composition.	SPLIT_2	cholches	SPLIT_2	cholches	NEITHER_EXACT	⟦qoin:?⟧ · Drogenfraktion I · nachgetrocknetes Drogenmaterial, Mittelstufe · heiß im Zubereitungsrahmen, Grad II · Grad-/Maßwert II · trocken am Ende des Grades · heißer Ansatz am Ende des Grades · kalt im Zubereitungsrahmen, Grad II · Drogenstoff trocknen und fertigstellen · Rohstoffklasse I im Ansatz, kalt am Gradanfang · Grad-/Maßwert II · ein Maß Ansatz-/Drogenmaterial; Holzbindung offen.
f58r.20	2	olchey	TRUE_READER_RIVAL_DEFAULT_ZL3B	Holzdrogenansatz, bis Mittelstufe getrocknet	Both alternates read oleeey; the one discrepant occurrence does not overturn nineteen other olchey contexts.	ONE	oleeey	ONE	oleeey	NEITHER_EXACT	⟦ysheockhy:?⟧ · Holzdrogenansatz, bis Mittelstufe getrocknet · ⟦oleesey:?⟧ · ⟦alaiin:?⟧ · ⟦olkeal:?⟧ · abgemessene Rohstoffmenge I, abgeschlossen · ⟦otalar:?⟧ · Drogenfraktion I · ⟦arodaim:?⟧.
f58r.6	4	oteor	JOIN_RIGHT_SAME_CORE	eine Portion kalten Ansatzes, Mittelstufe	Both alternate readers join following y as oteory; the cold middle preparation portion remains unchanged.	MERGE_2	oteory	MERGE_2	oteory	NEITHER_EXACT	⟦torchey:?⟧ · kalt im Zubereitungsrahmen, Grad III · ⟦chary:?⟧ · eine Portion kalten Ansatzes, Mittelstufe · hierzu: · Rohstoffklasse I im Ansatz, kalt am Gradanfang · ⟦dalchor:?⟧ · erhitze hiervon bis zur Endstufe und schließe ab · ⟦choltam:?⟧.
f77v.7	4	rr	TRUE_READER_RIVAL_DEFAULT_ALTERNATES	getrocknete Wurzeldroge	Both alternate readers restore rchr; this defeats an unsupported global rr reduplication rule.	ONE	rchr	ONE	rchr	NEITHER_EXACT	Holzdroge im Ansatz vollständig eingeweicht · vollständig eingeweichten und fertigen Drogenstoff zugeben · ⟦qy:?⟧ · getrocknete Wurzeldroge · trockne hiervon vollständig und stelle es fertig · heißer Ansatz in der Mitte des Grades, abgeschlossen · eingeweichtes Drogenholz · Trockengut, Grundform · feuchte abgemessene Rohstoffmenge I am Gradanfang · trocken in der Mitte des Grades, abgeschlossen · leicht erhitzten Drogenstoff hinzugeben.
f7r.2	2	keo	JOIN_RIGHT_KNOWN_WHOLE	heiße Drogenportion	Both alternate readers join ZL3b keo r as the already learned whole keor.	MERGE_2	keor	EXACT	keo	RF1B_ONLY_EXACT	eine Dosis vollständig trocknen und abschließen · heiße · Drogenportion · Blüten-/Fruchtstand; reproduktiver Teil · ⟦dold:?⟧ · abgemessene Trockendroge der Mittelstufe, abgeschlossen · heiß und trocken in der Mitte des Grades · kalt-trockener Ansatz am Anfang des Grades · getrockneter Ansatz.
