card_rank	surface	family	card_type	composition	working_meaning_de	working_render_de	strongest_rival_de	confidence	expected_occurrences	expected_pages	action_license	productive_scope	decision_reason	observed_occurrences	observed_pages	both_exact	it2a_only_exact	rf1b_only_exact	neither_exact	context_holds	licensed_actions
1	yey	REFERENCE_SEQUENCE	READER_OR_BOUNDARY_COMPOUND	Y_REFERENCE+EY_THEN	hieran anschließend	hieran anschließend	vorstehenden Posten abschließen	LOW_EXPLORATORY	1	1	0	exact whole only; no free y word value is exported	ey already means anschließend; initial y supplies only the local backward link	1	1	1	0	0	0	1	0
2	qodor	PORTION_COMMAND	PRODUCTIVE_COMPOUND	QO_COMMAND+ODOR_MEASURE_PREP_PORTION	eine Portion Ansatz abmessen	eine Portion Ansatz abmessen	abgemessene Ansatzportion	STRONG_PRACTICAL_OR_COMPOSITIONAL	2	2	1	exact whole; unchanged action at both occurrences	odor is the learned preparation-portion measure and qo preserves command valency	2	2	0	1	1	0	2	2
3	otsheody	COLD_MOIST_RESULT	PRODUCTIVE_COMPOUND	O_PREP+T_COLD+SHEO_MOIST_PREP+DY_FINISHED	kalt angefeuchteter Ansatz, abgeschlossen	kalt angefeuchteter Ansatz, abgeschlossen	kalt-feuchter Ansatz der Mittelstufe	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	0	exact whole; result reading only	ot supplies the cold preparation frame and sheody the completed moist preparation	1	1	1	0	0	0	1	0
4	olchey	DRY_WOOD_PREPARATION	PRODUCTIVE_COMPOUND	O_PREP+L_WOOD+CH_DRY+E_MIDDLE+Y_CLOSE	Holzdrogenansatz, bis Mittelstufe getrocknet	Holzdrogenansatz, bis Mittelstufe getrocknet	Holzdrogenansatz bis Mittelstufe trocknen	STRONG_PRACTICAL_OR_COMPOSITIONAL	20	18	0	exact whole; nominal result across all occurrences	twenty register contexts favor the result while olchain and olchedy secure the wood-dry family	20	18	16	3	0	1	20	0
5	chotar	COLD_DRY_FRACTION	LEARNED_BLOCK_COMPOUND	CHOT_COOLED_DRY_PREP+AR_FRACTION_I	erste Fraktion des abgekühlten Trockenansatzes	erste Fraktion des abgekühlten Trockenansatzes	Trockenansatz zuerst fraktionieren und dann kühlen	STRONG_PRACTICAL_OR_COMPOSITIONAL	9	9	0	exact whole; chot remains its learned block	chot is the cooled dry preparation and ar remains fraction I in all nine nominal contexts	9	9	9	0	0	0	9	0
6	okeeodar	HEATED_PREP_FRACTION	READER_CONDITIONED_COMPOUND	O_PREP+KEEO_FULL_HEAT_PREP+DAR_MEASURE_FRACTION_I	erste abgemessene Fraktion des vollständig erhitzten Ansatzes	erste abgemessene Fraktion des vollständig erhitzten Ansatzes	Ansatz vollständig erhitzen und seine erste Fraktion abmessen	MEDIUM_EXACT_WHOLE	1	1	0	exact ZL3b whole; RF1b keeodar retained as boundary rival	the source register favors a measured product; known keodar keeps the action rival visible	1	1	0	1	0	0	1	0
7	qokeod	HEAT_CLOSE_COMMAND	LEARNED_BLOCK_COMPOUND	QOKEO_PREPARE_HOT_EXTRACT+D_TERM_CLOSE	heißen Auszug bereiten und abschließen	heißen Auszug bereiten und abschließen	erhitzter und abgeschlossener Ansatz der Mittelstufe	STRONG_PRACTICAL_OR_COMPOSITIONAL	5	5	1	exact whole; unchanged action at five occurrences	known qokeo supplies the hot-extract instruction and terminal d closes it; qoked remains the named stage rival	5	5	3	2	0	0	5	5
8	keeey	HEAT_FINAL_GRADE	PRODUCTIVE_COMPOUND	K_HOT+EEE_LONG_OR_FINAL+Y_CLOSE	stark erhitzt, Endstufe III	stark erhitzt, Endstufe III	lange oder letzte Heizstufe ohne numerisches III	MEDIUM_EXACT_WHOLE	9	7	0	exact whole; nominal state only	qokeeey supplies the exact sister value and all nine contexts are state or quantity registers	9	7	7	0	0	2	9	0
9	qoin	SECOND_PREPARATION_COMMAND	LEARNED_BLOCK_COMPOUND	Q_COMMAND+OIN_SECOND_PREPARATION	zweiten Ansatz nehmen	zweiten Ansatz nehmen	Zubereitung in Form II nehmen (qo+in)	MEDIUM_EXACT_WHOLE	2	2	1	exact whole; qo+in form-II rival retained	the learned oin whole gives a second preparation and q selects it; IT2a qoain keeps a quantity-II rival visible	2	2	1	0	0	1	2	2
10	cholches	REDRIED_MATERIAL	READER_CONDITIONED_COMPOUND	CHOL_DRY_MATERIAL+CHES_DRY_MIDDLE	nachgetrocknetes Drogenmaterial, Mittelstufe	nachgetrocknetes Drogenmaterial, Mittelstufe	Charge nachgetrockneten Drogenstoffs	MEDIUM_EXACT_WHOLE	1	1	0	exact whole; IT2a and RF1b chol ches split supports the same composition	cholchey and ches converge on a dry middle-stage material rather than a new action	1	1	0	0	0	1	1	0
