debt_rank	statement_id	record_unit_id	visible_owner	visible_sequence	layered_card_reading	debt_category	excess_or_overloaded_words	old_owner_expansion_de	tightened_owner_expansion_de	old_word_count	new_word_count	words_removed	event_count
1	B3-S021	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	[ACHSE:OK+AIIN→bemessen] [ACHSE:Y+CTH→bereit] [KERN:dorthin] [KERN:dies] [KERN:Sollwert] [ACHSE:AL+SHED→am Ziel absetzen] [ACHSE:Y+E+CTH→Kurzvorbereitung] [KERN:dies] [KERN:dorthin] [ACHSE:Y+CTH→bereit] [ACHSE:AL+CHED~CHD→Zieltransfer; Schluss]	DISCOURSE_SCAFFOLD	Posten; zweiter Zustand; aktueller Posten	Den Posten bemessen und, sobald er bereit ist, dorthin bringen. Für den zweiten Zustand das Sollmaß am Ziel absetzen, kurz vorbereiten, den aktuellen Posten dorthin bringen, die Bereitschaft prüfen und den Zieltransfer schließen.	Bemessen, bereitstellen und dorthin bringen; Sollwert am Ziel absetzen, kurz vorbereiten, dorthin bringen, bereitstellen und ans Ziel übertragen; Schluss.	33	19	14	11
2	B2-S011	B2	ungelöste mittlere rechte Linie-/Liegepodeststation	okain char okain qokeedy	[PROSA:Anteil zugeben] [KERN:davon] [PROSA:Anteil zugeben] [ACHSE:OK+DY+EE→lange einwirken; Schluss]	VISIBLE_OWNER_REPETITION	mittlere rechte Station; weiterer Anteil nehmen	An der mittleren rechten Station einen Anteil zugeben, davon einen weiteren Anteil nehmen und länger einwirken lassen; Schluss.	Anteil zugeben, davon Anteil zugeben und länger einwirken; Schluss.	18	9	9	4
3	H1-S001	H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	dchey cthoor char chty os chair otytchol oky daiin etyd	[GANZKARTE:Wurzel] [ACHSE:OR+CTH→Vorbereitung] [KERN:davon] [PROSA:Teil] [GANZKARTE:Aufnahmegefäß] [PROSA:Zuguss] [ACHSE:OL+OT+TY→Folgeteil] [KERN:einsetzen] [KERN:Sollwert] [PROSA:kleiner Rest]	OWNER_AND_MEDIUM_INSERTION	Bildpflanze; Flüssigkeit	Die Wurzel der Bildpflanze nehmen, einen Teil im Aufnahmegefäß vorbereiten, Flüssigkeit zugießen, den Folgeteil einsetzen, auf Sollmaß bringen und einen kleinen Rest belassen.	Wurzel nehmen, Teil im Aufnahmegefäß vorbereiten, zugießen, Folgeteil einsetzen, auf Sollwert bringen und kleinen Rest belassen.	23	16	7	10
4	B3-S034	B3	Hauptpaar am sichtbaren ungerichteten Bogen	soiiin checthy chety otaiin olsaly shedy	[PROSA:Arbeitsstufe] [ACHSE:Y+CTH→bereit] [PROSA:Teil] [ACHSE:OT+AIIN→Folgemaß] [ACHSE:AL+Y→Zwischenziel] [ACHSE:DY+E+SHED→kurz absetzen; Schluss]	VERBAL_PADDING	auf bereit stellen; nehmen	Die Arbeitsstufe auf bereit stellen, einen Teil und das Folgemaß nehmen und am Zwischenziel kurz absetzen; Schluss.	Arbeitsstufe bereitstellen, Teil und Folgemaß am Zwischenziel kurz absetzen; Schluss.	17	10	7	6
5	B2-S012	B2	ungelöste mittlere rechte Linie-/Liegepodeststation	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	[ACHSE:Y+L→Abführgut] [KERN:Freigabewert] [ACHSE:Y+E+CTH→kurz vorbereiten] [ACHSE:OK+Y+EE→lange einwirken] [PROSA:Klarabzug] [KERN:Sollwert] [KERN:dies] [ACHSE:OK+DY+EEE→Volleinsatz; Schluss]	LOCAL_MEDIUM_OVEREXPANSION	klarer Auszug; aktueller Posten	Das Abführgut als klaren Auszug kurz vorbereiten, länger einwirken lassen, klar abziehen, auf Sollmaß bringen und den aktuellen Posten vollständig einsetzen; Schluss.	Abführgut auf Freigabewert kurz vorbereiten, länger einwirken, klar abziehen, auf Sollwert bringen und vollständig einsetzen; Schluss.	22	16	6	8
6	B4-S011	B4	linke offene Fransen-/Unterlaufstation	saiin cheky okeeol okain chdy sol lkedy	[KERN:Sollwert] [ACHSE:Y+E+CHK→kurz wärmen] [ACHSE:OK+OL+EE→Langfortsetzung] [PROSA:Anteil zugeben] [KERN:überführen] [KERN:weiter] [GANZKARTE:Kurzabzug; Schluss]	VISIBLE_OWNER_REPETITION	linke Unterlaufstation	An der linken Unterlaufstation das Sollmaß kurz wärmen, länger weiterführen, einen Anteil zugeben, überführen, fortsetzen und kurz abziehen; Schluss.	Sollwert kurz wärmen, länger weiterführen, Anteil zugeben, überführen, fortsetzen und kurz abziehen; Schluss.	19	13	6	7
7	H5-S001	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	chochor cho chodaly daiin sho kchol otchor choky dal	[ACHSE:OR+HO→Zugabeansatz] [PROSA:weitere Zutat] [ACHSE:AL+Y+HO→Zielzugabe] [KERN:Sollwert] [PROSA:weitere Zutat] [ACHSE:OL→weiter bearbeiten] [ACHSE:OT+OR→Folgeansatz] [KERN:einsetzen] [KERN:dorthin]	VERBAL_PADDING	herstellen; bringen	Einen Zugabeansatz herstellen, die weitere Zutat als Zielzugabe auf Sollmaß bringen, den Folgeansatz weiter bearbeiten, einsetzen und dorthin führen.	Zugabeansatz, weitere Zutat als Zielzugabe auf Sollwert, Folgeansatz weiterbearbeiten, einsetzen und dorthin führen.	19	13	6	9
8	B6-S001	B6	rechter S-Lauf-/Mehrarm-Endposten	solkeey qekey raly ol daiin ol dain chey ldalor	[ACHSE:Y+EE+SOLK→Langsammlung] [GANZKARTE:kurz bearbeiten] [ACHSE:AL+Y→Endposten] [KERN:weiter] [KERN:Sollwert] [KERN:weiter] [GANZKARTE:Einlage] [KERN:dies] [ACHSE:AL→Endziel]	VISIBLE_OWNER_REPETITION	rechter Endposten; aktueller Posten	Am rechten Endposten länger auffangen, kurz bearbeiten, zum Endposten weiterführen, auf Sollmaß bringen, die Einlage als aktuellen Posten zum Endziel führen.	Länger sammeln, kurz bearbeiten, zum Endposten weiterführen, auf Sollwert bringen und die Einlage zum Endziel führen.	21	16	5	9
9	B3-S032	B3	Hauptpaar am sichtbaren ungerichteten Bogen	chedain chedy qotedaiin otaiin otedy	[ACHSE:CHED~CHD+AIN→Anteilstransfer] [KERN:überführen] [ACHSE:OT+AIIN+E→Kurzsoll] [ACHSE:OT+AIIN→Folgemaß] [ACHSE:OT+E→Kurzfolge; Schluss]	VERBAL_PADDING	einstellen; dann	Einen Anteil übertragen, weiterführen, den kurzen Sollwert und das Folgemaß einstellen, dann kurz weiterführen; Schluss.	Anteil übertragen, überführen, Kurzsoll und Folgemaß setzen, kurz weiterführen; Schluss.	15	10	5	5
10	B2-S016	B2	lokale Randstationen des unteren Feldes	cheal lchedar ches aiin oteey qokaiin okey pchedy	[KERN:dorthin] [ACHSE:AR+CHED~CHD+L→Quellabführung] [GANZKARTE:teilen] [KERN:Sollwert] [ACHSE:OT+Y+EE→Langfolge] [ACHSE:OK+AIIN→bemessen] [ACHSE:OK+Y+E→kurz einwirken] [ACHSE:CHED~CHD+P→Zuführung; Schluss]	DISCOURSE_SCAFFOLD	Quelle als neues Nomen; lange Folge als Objekt	Dorthin führen, aus der Quelle abführen, teilen, auf Sollmaß bringen, die lange Folge bemessen, kurz einwirken lassen und zuführen; Schluss.	Dorthin führen, davon abführen, teilen, auf Sollwert bringen, die Folge bemessen, kurz einwirken und zuführen; Schluss.	20	16	4	8
