occurrence_id	template_id	clause_id	physical_page	register	action_position	action_pair	first_instruction	second_instruction	crosses_instruction_boundary	first_event_span	second_event_span	spoken_template_de
P927-O0001	ENTNEHMEN_DANN_AUSFUEHREN	P915-C001	f10r	HERBAL	2	CH>O	P917-I0001	P917-I0001	NO	P912-E0001..P912-E0001	P912-E0001..P912-E0001	entnehmen und den Gang ausführen
P927-O0002	AUSFUEHREN_BIS_BEREIT	P915-C001	f10r	HERBAL	3	O>CTH	P917-I0001	P917-I0001	NO	P912-E0001..P912-E0001	P912-E0001..P912-E0001	den Gang bis zum Bereitschaftspunkt ausführen
P927-O0003	HALTEN_DANN_AUSFUEHREN	P915-C001	f10r	HERBAL	5	SH>O	P917-I0002	P917-I0003	YES	P912-E0002..P912-E0002	P912-E0003..P912-E0003	halten, dann den Gang ausführen
P927-O0004	AUSFUEHREN_BIS_BEREIT	P915-C001	f10r	HERBAL	6	O>CTH	P917-I0003	P917-I0003	NO	P912-E0003..P912-E0003	P912-E0003..P912-E0003	den Gang bis zum Bereitschaftspunkt ausführen
P927-O0005	ZWEIMAL_ENTNEHMEN	P915-C001	f10r	HERBAL	9	CH>CH	P917-I0004	P917-I0004	NO	P912-E0004..P912-E0004	P912-E0004..P912-E0004	zweimal nacheinander entnehmen
P927-O0006	ENTNEHMEN_DANN_AUSFUEHREN	P915-C001	f10r	HERBAL	12	CH>O	P917-I0005	P917-I0005	NO	P912-E0005..P912-E0005	P912-E0005..P912-E0005	entnehmen und den Gang ausführen
P927-O0007	ENTNEHMEN_DANN_AUSFUEHREN	P915-C001	f10r	HERBAL	14	CH>O	P917-I0006	P917-I0006	NO	P912-E0006..P912-E0006	P912-E0006..P912-E0006	entnehmen und den Gang ausführen
P927-O0008	ENTNEHMEN_DANN_ZUGEBEN	P915-C001	f10r	HERBAL	19	CH>K	P917-I0007	P917-I0008	YES	P912-E0007..P912-E0007	P912-E0008..P912-E0008	entnehmen und zugeben
P927-O0009	ENTNEHMEN_DANN_ANSETZEN	P915-C001	f10r	HERBAL	29	CH>OK	P917-I0013	P917-I0014	YES	P912-E0015..P912-E0015	P912-E0016..P912-E0016	einen Anteil entnehmen und ansetzen
P927-O0010	ENTNEHMEN_DANN_AUSFUEHREN	P915-C001	f10r	HERBAL	34	CH>O	P917-I0018	P917-I0018	NO	P912-E0022..P912-E0023	P912-E0022..P912-E0023	entnehmen und den Gang ausführen
P927-O0011	AUSFUEHREN_BIS_BEREIT	P915-C001	f10r	HERBAL	35	O>CTH	P917-I0018	P917-I0018	NO	P912-E0022..P912-E0023	P912-E0022..P912-E0023	den Gang bis zum Bereitschaftspunkt ausführen
P927-O0012	ZWEIMAL_ENTNEHMEN	P915-C001	f10r	HERBAL	39	CH>CH	P917-I0021	P917-I0022	YES	P912-E0031..P912-E0031	P912-E0032..P912-E0032	zweimal nacheinander entnehmen
P927-O0013	ENTNEHMEN_DANN_AUSFUEHREN	P915-C001	f10r	HERBAL	46	CH>O	P917-I0024	P917-I0025	YES	P912-E0034..P912-E0037	P912-E0038..P912-E0038	entnehmen und den Gang ausführen
P927-O0014	ANSETZEN_DANN_ENTNEHMEN	P915-C002	f10r	HERBAL	1	OK>CH	P917-I0027	P917-I0028	YES	P912-E0040..P912-E0040	P912-E0041..P912-E0041	ansetzen, dann einen Anteil entnehmen
P927-O0015	AUSFUEHREN_BIS_BEREIT	P915-C002	f10r	HERBAL	8	O>CTH	P917-I0034	P917-I0034	NO	P912-E0048..P912-E0048	P912-E0048..P912-E0048	den Gang bis zum Bereitschaftspunkt ausführen
P927-O0016	EINSTELLEN_DANN_ANSETZEN	P915-C002	f10r	HERBAL	10	T>OK	P917-I0035	P917-I0036	YES	P912-E0049..P912-E0051	P912-E0052..P912-E0054	einstellen und danach ansetzen
P927-O0017	ANSETZEN_DANN_ZUGEBEN	P915-C002	f10r	HERBAL	11	OK>K	P917-I0036	P917-I0037	YES	P912-E0052..P912-E0054	P912-E0055..P912-E0056	ansetzen und zugeben
P927-O0018	ZUGEBEN_DANN_ENTNEHMEN	P915-C002	f10r	HERBAL	12	K>CH	P917-I0037	P917-I0037	NO	P912-E0055..P912-E0056	P912-E0055..P912-E0056	zugeben, dann den bezeichneten Anteil entnehmen
P927-O0019	ZWEIMAL_ENTNEHMEN	P915-C002	f10r	HERBAL	16	CH>CH	P917-I0040	P917-I0041	YES	P912-E0060..P912-E0063	P912-E0064..P912-E0064	zweimal nacheinander entnehmen
P927-O0020	ENTNEHMEN_DANN_AUSFUEHREN	P915-C002	f10r	HERBAL	17	CH>O	P917-I0041	P917-I0042	YES	P912-E0064..P912-E0064	P912-E0065..P912-E0071	entnehmen und den Gang ausführen
P927-O0021	AUSFUEHREN_DANN_ZUGEBEN	P915-C002	f10r	HERBAL	18	O>K	P917-I0042	P917-I0042	NO	P912-E0065..P912-E0071	P912-E0065..P912-E0071	den Gang ausführen und danach zugeben
P927-O0022	ZUGEBEN_DANN_ENTNEHMEN	P915-C002	f10r	HERBAL	19	K>CH	P917-I0042	P917-I0042	NO	P912-E0065..P912-E0071	P912-E0065..P912-E0071	zugeben, dann den bezeichneten Anteil entnehmen
P927-O0023	ENTNEHMEN_DANN_ZUGEBEN	P915-C002	f10r	HERBAL	22	CH>K	P917-I0044	P917-I0045	YES	P912-E0073..P912-E0073	P912-E0074..P912-E0075	entnehmen und zugeben
P927-O0024	ZUGEBEN_DANN_ENTNEHMEN	P915-C002	f10r	HERBAL	23	K>CH	P917-I0045	P917-I0046	YES	P912-E0074..P912-E0075	P912-E0076..P912-E0077	zugeben, dann den bezeichneten Anteil entnehmen
P927-O0025	ENTNEHMEN_DANN_AUSFUEHREN	P915-C002	f10r	HERBAL	24	CH>O	P917-I0046	P917-I0046	NO	P912-E0076..P912-E0077	P912-E0076..P912-E0077	entnehmen und den Gang ausführen
P927-O0026	AUSFUEHREN_DANN_AUSWAEHLEN	P915-C002	f10r	HERBAL	29	O>S	P917-I0050	P917-I0050	NO	P912-E0082..P912-E0082	P912-E0082..P912-E0082	ausführen, dann den nächsten Posten auswählen
P927-O0027	ENTNEHMEN_DANN_AUSFUEHREN	P915-C002	f10r	HERBAL	33	CH>O	P917-I0052	P917-I0052	NO	P912-E0084..P912-E0084	P912-E0084..P912-E0084	entnehmen und den Gang ausführen
P927-O0028	HALTEN_DANN_AUSFUEHREN	P915-C003	f11r	HERBAL	3	SH>O	P917-I0057	P917-I0057	NO	P912-E0094..P912-E0094	P912-E0094..P912-E0094	halten, dann den Gang ausführen
P927-O0029	ENTNEHMEN_DANN_AUSFUEHREN	P915-C003	f11r	HERBAL	10	CH>O	P917-I0062	P917-I0062	NO	P912-E0099..P912-E0099	P912-E0099..P912-E0099	entnehmen und den Gang ausführen
P927-O0030	HALTEN_DANN_AUSFUEHREN	P915-C004	f11r	HERBAL	1	SH>O	P917-I0063	P917-I0063	NO	P912-E0100..P912-E0100	P912-E0100..P912-E0100	halten, dann den Gang ausführen
P927-O0031	AUSFUEHREN_BIS_BEREIT	P915-C004	f11r	HERBAL	5	O>CTH	P917-I0064	P917-I0064	NO	P912-E0101..P912-E0101	P912-E0101..P912-E0101	den Gang bis zum Bereitschaftspunkt ausführen
P927-O0032	AUSFUEHREN_DANN_ZUGEBEN	P915-C004	f11r	HERBAL	8	O>K	P917-I0065	P917-I0066	YES	P912-E0102..P912-E0102	P912-E0103..P912-E0104	den Gang ausführen und danach zugeben
P927-O0033	EINSTELLEN_DANN_ANSETZEN	P915-C004	f11r	HERBAL	12	T>OK	P917-I0068	P917-I0068	NO	P912-E0107..P912-E0107	P912-E0107..P912-E0107	einstellen und danach ansetzen
P927-O0034	ANSETZEN_DANN_ZUGEBEN	P915-C004	f11r	HERBAL	13	OK>K	P917-I0068	P917-I0069	YES	P912-E0107..P912-E0107	P912-E0108..P912-E0108	ansetzen und zugeben
P927-O0035	ZUGEBEN_DANN_ENTNEHMEN	P915-C004	f11r	HERBAL	16	K>CH	P917-I0071	P917-I0071	NO	P912-E0113..P912-E0114	P912-E0113..P912-E0114	zugeben, dann den bezeichneten Anteil entnehmen
P927-O0036	ZWEIMAL_ENTNEHMEN	P915-C004	f11r	HERBAL	17	CH>CH	P917-I0071	P917-I0072	YES	P912-E0113..P912-E0114	P912-E0115..P912-E0115	zweimal nacheinander entnehmen
