template_id	action_pair	spoken_template_de	occurrences	clauses	pages	page_list	register_list	workshop_interpretation
HALTEN_DANN_AUSFUEHREN	SH>O	halten, dann den Gang ausführen	24	18	11	f10r|f11r|f13r|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	TAUGHT_TWO_STEP_ROUTINE
AUSFUEHREN_DANN_AUSWAEHLEN	O>S	ausführen, dann den nächsten Posten auswählen	27	18	10	f10r|f11r|f13r|f55v|f56r|f67r2|f75r|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	TAUGHT_TWO_STEP_ROUTINE
ZUGEBEN_DANN_ENTNEHMEN	K>CH	zugeben, dann den bezeichneten Anteil entnehmen	27	16	10	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f81v|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	TAUGHT_TWO_STEP_ROUTINE
AUSWAEHLEN_DANN_ANSETZEN	S>OK	auswählen und ansetzen	22	20	10	f11r|f13r|f55v|f56r|f67r2|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	TAUGHT_TWO_STEP_ROUTINE
ANSETZEN_DANN_ZUGEBEN	OK>K	ansetzen und zugeben	21	17	10	f10r|f11r|f55v|f56r|f68r1|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	TAUGHT_TWO_STEP_ROUTINE
ZWEISTUFIG_ANSETZEN	OK>OK	in zwei aufeinanderfolgenden Zügen ansetzen	61	41	9	f13r|f55v|f56r|f68r1|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	TAUGHT_TWO_STEP_ROUTINE
ENTNEHMEN_DANN_AUSFUEHREN	CH>O	entnehmen und den Gang ausführen	41	20	9	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f82r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	TAUGHT_TWO_STEP_ROUTINE
HALTEN_DANN_WEITERANSETZEN	SH>OK	halten, dann erneut ansetzen	37	28	9	f55v|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	TAUGHT_TWO_STEP_ROUTINE
ANSETZEN_DANN_ENTNEHMEN	OK>CH	ansetzen, dann einen Anteil entnehmen	25	20	9	f10r|f13r|f55v|f56r|f68r1|f75r|f81v|f82r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	TAUGHT_TWO_STEP_ROUTINE
ENTNEHMEN_DANN_ANSETZEN	CH>OK	einen Anteil entnehmen und ansetzen	21	15	9	f10r|f13r|f56r|f67r2|f68r1|f75r|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	TAUGHT_TWO_STEP_ROUTINE
ENTNEHMEN_DANN_AUSWAEHLEN	CH>S	entnehmen, dann den nächsten Posten auswählen	19	17	9	f55v|f56r|f67r2|f68r1|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	TAUGHT_TWO_STEP_ROUTINE
AUSFUEHREN_DANN_ZUGEBEN	O>K	den Gang ausführen und danach zugeben	18	16	9	f10r|f11r|f13r|f55v|f56r|f67r2|f68r1|f75r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	TAUGHT_TWO_STEP_ROUTINE
ENTNEHMEN_DANN_ZUGEBEN	CH>K	entnehmen und zugeben	18	15	9	f10r|f11r|f55v|f56r|f67r2|f68r1|f75r|f81v|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	TAUGHT_TWO_STEP_ROUTINE
AUSFUEHREN_BIS_BEREIT	O>CTH	den Gang bis zum Bereitschaftspunkt ausführen	13	10	9	f10r|f11r|f56r|f67r2|f68r1|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	TAUGHT_TWO_STEP_ROUTINE
EINSTELLEN_DANN_ANSETZEN	T>OK	einstellen und danach ansetzen	10	10	9	f10r|f11r|f55v|f56r|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA	TAUGHT_TWO_STEP_ROUTINE
HALTEN_DANN_ZUGEBEN	SH>K	halten und anschließend zugeben	24	22	8	f11r|f13r|f56r|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA	TAUGHT_TWO_STEP_ROUTINE
ANSETZEN_DANN_AUSFUEHREN	OK>O	ansetzen und den Gang ausführen	23	16	8	f13r|f55v|f67r2|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	TAUGHT_TWO_STEP_ROUTINE
ZWEIMAL_ENTNEHMEN	CH>CH	zweimal nacheinander entnehmen	22	14	8	f10r|f11r|f13r|f56r|f68r1|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	TAUGHT_TWO_STEP_ROUTINE
ZUGEBEN_DANN_ANSETZEN	K>OK	zugeben und neu ansetzen	19	19	8	f13r|f55v|f56r|f67r2|f75r|f81v|f82r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	TAUGHT_TWO_STEP_ROUTINE
AUSFUEHREN_DANN_NEU_ANSETZEN	O>OK	ausführen und einen neuen Zug ansetzen	18	15	8	f13r|f55v|f56r|f67r2|f75r|f81v|f82r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	TAUGHT_TWO_STEP_ROUTINE
ANSETZEN_DANN_UMSETZEN	OK>CHD	ansetzen und zur nächsten Stelle umsetzen	31	30	6	f55v|f56r|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL	TAUGHT_TWO_STEP_ROUTINE
