statement_id	page	apprentice_role	events	common_card_events	local_model_events	changed_surfaces	apprentice_sequence	spoken_readback	result
H5-S001	f56r	HAND_2_APPRENTICE	9	3	6	1	chochor cho chodaly daiin sho kchol otchor qoky dal	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen.	PASS
H5-S002	f56r	HAND_2_APPRENTICE	4	1	3	1	schol choy qoky cheeckhody	Bei der mehrkoepfigen stacheligen Pflanze: Den vorigen Vorgang wiederaufnehmen, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen.	PASS
H5-S003	f56r	HAND_2_APPRENTICE	4	0	4	0	sh cho kchey qokokchy	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat halten, dem laufenden Posten kurz zugeben und ihn zweimal ansetzen.	PASS
H5-S004	f56r	HAND_2_APPRENTICE	3	0	3	0	okchy chokcheo kchal	Bei der mehrkoepfigen stacheligen Pflanze: Den laufenden Posten ansetzen; dann kurz im Arbeitsgang ansetzen und entnehmen; dann zur Zielstelle zugeben.	PASS
H5-S005	f56r	HAND_2_APPRENTICE	4	0	4	0	sho chokchy kchoar sotodan	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereiten, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen.	PASS
H5-S006	f56r	HAND_2_APPRENTICE	3	2	1	0	otchey keol daiin	Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiter zugeben, bis das Sollmass erreicht ist.	PASS
B2-S001	f82r	HAND_1_APPRENTICE	1	0	1	0	dchedy	An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen.	PASS
B2-S002	f82r	HAND_1_APPRENTICE	1	0	1	0	qolchedy	An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen.	PASS
B2-S003	f82r	HAND_1_APPRENTICE	3	1	2	0	qokain dy qokeedy	An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen.	PASS
B2-S004	f82r	HAND_1_APPRENTICE	5	0	5	0	qokal lcheckhy lched qokeey lcheckhedy	An den oberen Paarbecken mit Zylinder: An der Zielstelle ansetzen; den Posten durch den Durchlass leiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass leiten und schliessen.	PASS
B2-S005	f82r	HAND_1_APPRENTICE	8	0	8	0	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass an der Sammelstelle halten. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.	PASS
B2-S006	f82r	HAND_1_APPRENTICE	4	1	3	1	oteey qokal sheckhy choky	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.	PASS
B2-S007	f82r	HAND_1_APPRENTICE	1	0	1	0	dshedy	An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen.	PASS
B2-S008	f82r	HAND_1_APPRENTICE	3	0	3	0	sotaiin qokar shedy	An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann absetzen lassen; den Schritt schliessen.	PASS
B2-S009	f82r	HAND_1_APPRENTICE	1	0	1	0	solshedy	An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen.	PASS
B2-S010	f82r	HAND_1_APPRENTICE	4	2	2	2	qokeey choky ls shey	An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann weiterarbeiten; dann ihn laenger halten.	PASS
B2-S011	f82r	HAND_1_APPRENTICE	4	1	3	0	okain char okain qokeedy	An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen.	PASS
B2-S012	f82r	HAND_1_APPRENTICE	8	3	5	2	lchy shey qcthey qokeey lcheey daiin dy qokeeedy	An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten leiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger leiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen.	PASS
B2-S013	f82r	HAND_1_APPRENTICE	1	0	1	0	lchedy	Am unteren gruenen Figurenbecken: Leiten und umsetzen; den Schritt schliessen.	PASS
B2-S014	f82r	HAND_1_APPRENTICE	1	0	1	0	lar	Am unteren gruenen Figurenbecken: Aus der Quelle leiten.	PASS
B2-S015	f82r	HAND_1_APPRENTICE	2	0	2	0	tshey qokeedy	An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen.	PASS
B2-S016	f82r	HAND_1_APPRENTICE	8	2	6	2	dal lchedar ches daiin oteey qokaiin okey pchedy	An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz entnehmen und teilen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, fuellen, umsetzen und schliessen.	PASS
B2-S017	f82r	HAND_1_APPRENTICE	2	0	2	0	rsheal daldy	An den Randstationen des unteren Beckens: An der Zielstelle kurz kuehlen und halten, dann den Schritt an der Zielstelle schliessen.	PASS
B2-S018	f82r	HAND_1_APPRENTICE	1	0	1	0	qokeedy	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	PASS
B2-S019	f82r	HAND_1_APPRENTICE	1	0	1	0	rshedy	An den Randstationen des unteren Beckens: Kuehlen und absetzen lassen; den Schritt schliessen.	PASS
B2-S020	f82r	HAND_1_APPRENTICE	1	0	1	0	qoteedy	An den Randstationen des unteren Beckens: Danach laenger; den Schritt schliessen.	PASS
B2-S021	f82r	HAND_1_APPRENTICE	1	0	1	0	qokeedy	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	PASS
B2-S022	f82r	HAND_1_APPRENTICE	1	0	1	0	lochedy	An den Randstationen des unteren Beckens: Im Arbeitsgang leiten und umsetzen; den Schritt schliessen.	PASS
