card_slot	exact_card_id	spoken_workshop_prompt	component_recipe	hand_1_face	hand_1_attested_variants	hand_2_face	hand_2_attested_variants	physical_instruction
M01	PROC003	QUELLE	AR	char	char,dar	char	char,dar,sar	front Hand1; back Hand2; keep card slot and prompt together
M02	PROC004	ANWENDEN · DIES	T+Y	chty	chty	chety	chety	front Hand1; back Hand2; keep card slot and prompt together
M03	PROC008	ANSETZEN · DIES	OK+Y	choky	choky,oky	qoky	qoky	front Hand1; back Hand2; keep card slot and prompt together
M04	PROC009	SOLLMASS	AIIN	daiin	daiin,taiin	daiin	aiin,chaiin,daiin,saiin	front Hand1; back Hand2; keep card slot and prompt together
M05	PROC013	WEITER	OL	chol	chol	ol	cheol,ol,qol,sol,tol	front Hand1; back Hand2; keep card slot and prompt together
M06	PROC014	BEREITEN · DIES	CTH+Y	cthy	cthy	checthy	checthy,shcthy	front Hand1; back Hand2; keep card slot and prompt together
M07	PROC016	ANSATZ	OR	chor	chor,shor	or	or,sor	front Hand1; back Hand2; keep card slot and prompt together
M08	PROC019	DIES	Y	dy	chy,dy,shy	chey	chey,dy,sy,y	front Hand1; back Hand2; keep card slot and prompt together
M09	PROC022	WEITER · ANSATZ	OL+OR	cholor	cholor	olor	olor	front Hand1; back Hand2; keep card slot and prompt together
M10	PROC031	HALTEN · LANG · DIES	SH+EE+Y	shey	shey	cheey	cheey,shey	front Hand1; back Hand2; keep card slot and prompt together
M11	PROC055	ZIELSTELLE	AL	dal	dal	dal	al,chal,cheal,dal,sal,tal	front Hand1; back Hand2; keep card slot and prompt together
M12	PROC065	DANACH · DIES	OT+Y	otchey	otchey	otchey	otchey	front Hand1; back Hand2; keep card slot and prompt together
