rank	page	locus	surface	working_default_de	practical_render_de	card_type	composition	strongest_rival_de	strength	reader_merge_surface	zl3b_line	v47_translation_de	v48_translation_de	status
1	f105r	f105r.37	otoiir	kalter Ansatz, Fraktion III	kalter Ansatz, Fraktion III	LEARNED_WHOLE	LEARNED_OTOIIR_WHOLE	erneut angesetzter Kaltansatz in Zubereitungsform III	LOW_EXPLORATORY	NONE	otoiir chedaiin otair otaly	[otoiir:?]; abgemessene Trockendroge, Dosis III; zweite kalte Drogenfraktion im Ansatz; Rohstoff-I-Ansatz leicht kühlen und abschließen	kalter Ansatz, Fraktion III; abgemessene Trockendroge, Dosis III; zweite kalte Drogenfraktion im Ansatz; Rohstoff-I-Ansatz leicht kühlen und abschließen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
2	f106r	f106r.14	dolchedy	Drogenstoff abmessen, bis zur Mittelstufe trocknen und fertigstellen	Drogenstoff abmessen, bis zur Mittelstufe trocknen und fertigstellen	PRODUCTIVE_COMPOUND	D_MEASURE+OL_MATERIAL+CH_DRY+E_MIDDLE+DY_FINISHED	abgemessener, fertig getrockneter Drogenstoff	LOW_EXPLORATORY	NONE	ychol okaiin olcheey dolchedy otair otal chedy okeor	trockne hiervon den Drogenstoff; Ansatz auf Heizstufe III; Holzdrogenansatz vollständig trocknen; [dolchedy:?]; zweite kalte Drogenfraktion im Ansatz; Rohstoff I, leicht gekühlt im Ansatz; bis zur mittleren Trockenstufe gebracht; eine Portion Ansatz bis zur Mittelstufe erhitzen	trockne hiervon den Drogenstoff; Ansatz auf Heizstufe III; Holzdrogenansatz vollständig trocknen; Drogenstoff abmessen, bis zur Mittelstufe trocknen und fertigstellen; zweite kalte Drogenfraktion im Ansatz; Rohstoff I, leicht gekühlt im Ansatz; bis zur mittleren Trockenstufe gebracht; eine Portion Ansatz bis zur Mittelstufe erhitzen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
3	f107r	f107r.26	olcheol	Holzdrogenstoff im Ansatz bis zur Mittelstufe trocknen	Holzdrogenstoff im Ansatz bis zur Mittelstufe trocknen	PRODUCTIVE_COMPOUND	O_PREP+L_WOOD+CH_DRY+E_MIDDLE+OL_MATERIAL	bis zur Mittelstufe getrockneter Holzdrogenstoff im Ansatz	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	ol cheor shey cheey olcheol kaiin otair okal cheody	Grundansatz; trockener Drogenteil; bis zur mittleren Einweichstufe; vollständig getrocknet; [olcheol:?]; heiß, Grad III; zweite kalte Drogenfraktion im Ansatz; Rohstoff I, leicht erhitzt im Ansatz; getrockneter Ansatz	Grundansatz; trockener Drogenteil; bis zur mittleren Einweichstufe; vollständig getrocknet; Holzdrogenstoff im Ansatz bis zur Mittelstufe trocknen; heiß, Grad III; zweite kalte Drogenfraktion im Ansatz; Rohstoff I, leicht erhitzt im Ansatz; getrockneter Ansatz	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
4	f10r	f10r.7	cth	Kraut- oder Blattdroge	Kraut- oder Blattdroge	PRODUCTIVE_COMPOUND	CTH_HERB	Krautansatz	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	dchy qokchol y kchaiin yty daiin cth dain dair am	Dosis Trockendroge, Grundform; heiß-trockenes Drogenmaterial; hierzu: heiß-getrocknete Droge auf Stufe III; kühle hiervon leicht ab; drei Maße; [cth:?]; zwei Maße; abgemessene Fraktion II; Maßeinheit I	Dosis Trockendroge, Grundform; heiß-trockenes Drogenmaterial; hierzu: heiß-getrocknete Droge auf Stufe III; kühle hiervon leicht ab; drei Maße; Kraut- oder Blattdroge; zwei Maße; abgemessene Fraktion II; Maßeinheit I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
5	f111r	f111r.11	oteedaiin	drei Dosen vollständig gekühlten Ansatzes abmessen	drei Dosen vollständig gekühlten Ansatzes abmessen	PRODUCTIVE_COMPOUND	O_PREP+T_COLD+EE_END+D_MEASURE+AIIN_III	vollständig gekühlter Ansatz, drei Dosen	MEDIUM_EXACT_WHOLE	NONE	dshey lkeedy lkeedy cheedy oteedaiin sheedy ar ay shkaiin chey daiin daram	eine Dosis bis zur Mittelstufe angefeuchtete Droge; Drogenholz, heiß am Gradende, abgeschlossen; Drogenholz, heiß am Gradende, abgeschlossen; vollständig getrocknet; [oteedaiin:?]; vollständig eingeweicht; Drogenfraktion I; ein gleicher Teil, abgeschlossen; eingeweichte und erhitzte Droge auf Stufe III; bis zur mittleren Trockenstufe; drei Maße; ein Maß Fraktion I	eine Dosis bis zur Mittelstufe angefeuchtete Droge; Drogenholz, heiß am Gradende, abgeschlossen; Drogenholz, heiß am Gradende, abgeschlossen; vollständig getrocknet; drei Dosen vollständig gekühlten Ansatzes abmessen; vollständig eingeweicht; Drogenfraktion I; ein gleicher Teil, abgeschlossen; eingeweichte und erhitzte Droge auf Stufe III; bis zur mittleren Trockenstufe; drei Maße; ein Maß Fraktion I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
6	f112v	f112v.21	qoeedy	nimm den vollständig fertiggestellten Ansatz	nimm den vollständig fertiggestellten Ansatz	PRODUCTIVE_COMPOUND	QO_COMMAND+O_PREP+EE_END+DY_FINISHED	stelle den Ansatz vollständig fertig	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	saiin chekain cheol qoeedy chol keedy qokaiin shedy qokeol kain	Samen/Saatgut, Typ/Charge III; bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen; trockener Drogenstoff; [qoeedy:?]; Trockengut; bis zur Heizendstufe gebracht; heiß, Grad III; bis zur mittleren Einweichstufe gebracht; erhitze den Drogenstoff bis zur Mittelstufe; heiß, Grad II	Samen/Saatgut, Typ/Charge III; bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen; trockener Drogenstoff; nimm den vollständig fertiggestellten Ansatz; Trockengut; bis zur Heizendstufe gebracht; heiß, Grad III; bis zur mittleren Einweichstufe gebracht; erhitze den Drogenstoff bis zur Mittelstufe; heiß, Grad II	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
7	f116r	f116r.42	shekain	bis zur Mittelstufe eingeweichte und auf Stufe II erhitzte Droge	bis zur Mittelstufe eingeweichte und auf Stufe II erhitzte Droge	PRODUCTIVE_COMPOUND	SH_MOIST+E_MIDDLE+K_HOT+AIN_II	zwei Teile bis zur Mittelstufe einweichen und erhitzen	MEDIUM_EXACT_WHOLE	NONE	qo qokain sheckhy qokain shekain shkain shedy shey qokan cham	nimm Folgendes: heiß, Grad II; feuchtes Arzneikompositum am Gradanfang; heiß, Grad II; [shekain:?]; eingeweichte und erhitzte Droge auf Stufe II; bis zur mittleren Einweichstufe gebracht; bis zur mittleren Einweichstufe; heiß im qo-Rahmen, Grad I; ein Maß Trockendroge	nimm Folgendes: heiß, Grad II; feuchtes Arzneikompositum am Gradanfang; heiß, Grad II; bis zur Mittelstufe eingeweichte und auf Stufe II erhitzte Droge; eingeweichte und erhitzte Droge auf Stufe II; bis zur mittleren Einweichstufe gebracht; bis zur mittleren Einweichstufe; heiß im qo-Rahmen, Grad I; ein Maß Trockendroge	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
8	f15r	f15r.7	keocthy	Krautansatz bis zur Mittelstufe erhitzen und abschließen	Krautansatz bis zur Mittelstufe erhitzen und abschließen	PRODUCTIVE_COMPOUND	K_HOT+E_MIDDLE+O_PREP+CTH_HERB+Y_START_OR_CLOSE	heißer Krautansatz auf Mittelstufe, abgeschlossen	LOW_EXPLORATORY	NONE	daiin shkaiin cthy sho keocthy	drei Maße; eingeweichte und erhitzte Droge auf Stufe III; Krautdroge; feuchter Ansatz; [keocthy:?]	drei Maße; eingeweichte und erhitzte Droge auf Stufe III; Krautdroge; feuchter Ansatz; Krautansatz bis zur Mittelstufe erhitzen und abschließen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
9	f18r	f18r.14	ychekch	trockne hiervon bis zur Mittelstufe, erhitze und trockne erneut	trockne hiervon bis zur Mittelstufe, erhitze und trockne erneut	PRODUCTIVE_COMPOUND	Y_REFERENCE+CH_DRY+E_MIDDLE+K_HOT+CH_DRY	mitteltrockene Droge hierzu erneut erhitzen und trocknen	LOW_EXPLORATORY	NONE	ychekch y kchaiin	[ychekch:?]; heiß-getrocknete Droge auf Stufe III	trockne hiervon bis zur Mittelstufe, erhitze und trockne erneut; heiß-getrocknete Droge auf Stufe III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
10	f40r	f40r.10	ychey	trockne hiervon bis zur Mittelstufe und schließe ab	trockne hiervon bis zur Mittelstufe und schließe ab	PRODUCTIVE_COMPOUND	Y_REFERENCE+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	mitteltrockene Droge hiervon, abgeschlossen	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	saiin olcheey chdy ychey ka ar oky ykedy okair ody	Samen/Saatgut, Typ/Charge III; Holzdrogenansatz vollständig trocknen; angetrocknet; [ychey:?]; erhitzte Wurzelfraktion I; leicht erhitzter Ansatz; erhitze hiervon bis zur Mittelstufe und schließe ab; heiße Drogenfraktion II im Ansatz; fertiggestellter Ansatz	Samen/Saatgut, Typ/Charge III; Holzdrogenansatz vollständig trocknen; angetrocknet; trockne hiervon bis zur Mittelstufe und schließe ab; erhitzte Wurzelfraktion I; leicht erhitzter Ansatz; erhitze hiervon bis zur Mittelstufe und schließe ab; heiße Drogenfraktion II im Ansatz; fertiggestellter Ansatz	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
