family	surface	card_type	occurrences	lines	pages	working_default_de	composition	claim_scope
COLD_COMMAND	qotod	PRODUCTIVE_COMPOUND	2	2	2	kühle den Ansatz und schließe ab	QO_COMMAND+T_COLD+O_PREP+D_TERM_CLOSE	exact whole; composition predicts relatives only as a future explicit card
COLD_FINISH	toldy	PRODUCTIVE_COMPOUND	2	2	2	fertiggestellter kalter Drogenstoff	T_COLD+OL_MATERIAL+DY_FINISHED	exact whole; composition predicts relatives only as a future explicit card
COLD_FRACTION	otoiir	LEARNED_WHOLE	1	1	1	kalter Ansatz, Fraktion III	LEARNED_OTOIIR_WHOLE	exact whole; composition predicts relatives only as a future explicit card
COLD_MATERIAL	teol	PRODUCTIVE_COMPOUND	13	13	12	Drogenstoff auf mittlerer Kühlstufe	T_COLD+E_MIDDLE+OL_MATERIAL	exact whole; composition predicts relatives only as a future explicit card
COLD_MEASURE	oteedaiin	PRODUCTIVE_COMPOUND	2	2	2	drei Dosen vollständig gekühlten Ansatzes abmessen	O_PREP+T_COLD+EE_END+D_MEASURE+AIIN_III	exact whole; composition predicts relatives only as a future explicit card
COMMAND	qoeedy	PRODUCTIVE_COMPOUND	16	16	13	nimm den vollständig fertiggestellten Ansatz	QO_COMMAND+O_PREP+EE_END+DY_FINISHED	exact whole; composition predicts relatives only as a future explicit card
DRY	ychey	PRODUCTIVE_COMPOUND	13	13	13	trockne hiervon bis zur Mittelstufe und schließe ab	Y_REFERENCE+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
DRY_HEAT	ychekch	PRODUCTIVE_COMPOUND	1	1	1	trockne hiervon bis zur Mittelstufe, erhitze und trockne erneut	Y_REFERENCE+CH_DRY+E_MIDDLE+K_HOT+CH_DRY	exact whole; composition predicts relatives only as a future explicit card
HERB	cth	PRODUCTIVE_COMPOUND	4	4	4	Kraut- oder Blattdroge	CTH_HERB	exact whole; composition predicts relatives only as a future explicit card
HERB_HEAT	keocthy	PRODUCTIVE_COMPOUND	1	1	1	Krautansatz bis zur Mittelstufe erhitzen und abschließen	K_HOT+E_MIDDLE+O_PREP+CTH_HERB+Y_START_OR_CLOSE	exact whole; composition predicts relatives only as a future explicit card
MEASURE	daiiy	LEARNED_WHOLE	2	2	2	abgemessene Drogenportion, abgeschlossen	LEARNED_DAIIY_WHOLE	exact whole; composition predicts relatives only as a future explicit card
MEASURE_DRY	dolchedy	PRODUCTIVE_COMPOUND	1	1	1	Drogenstoff abmessen, bis zur Mittelstufe trocknen und fertigstellen	D_MEASURE+OL_MATERIAL+CH_DRY+E_MIDDLE+DY_FINISHED	exact whole; composition predicts relatives only as a future explicit card
MOIST_HEAT	shekain	PRODUCTIVE_COMPOUND	3	3	3	bis zur Mittelstufe eingeweichte und auf Stufe II erhitzte Droge	SH_MOIST+E_MIDDLE+K_HOT+AIN_II	exact whole; composition predicts relatives only as a future explicit card
WOOD_DRY	olcheol	PRODUCTIVE_COMPOUND	5	5	5	Holzdrogenstoff im Ansatz bis zur Mittelstufe trocknen	O_PREP+L_WOOD+CH_DRY+E_MIDDLE+OL_MATERIAL	exact whole; composition predicts relatives only as a future explicit card
WOOD_MEASURE	ldar	PRODUCTIVE_COMPOUND	5	5	5	erste Holzdrogenfraktion abmessen	L_WOOD+D_MEASURE+AR_FRACTION_I	exact whole; composition predicts relatives only as a future explicit card
