occurrence_id	page	locus	ordinal	surface	position	reader_exact	split_normalized	reader_merge_direction	reader_merge_surface	reader_merge_readers	reader_merge_known_surface	raw_line_set_candidates	reader_merge_decision	all_present_exact	zl3b_line	it2a_line	rf1b_line	claim_boundary
G671-T0001	f100r	f100r.25	6	olcheol	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	1	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G671-T0002	f102v1	f102v1.21	2	ychey	MEDIAL	0	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	qoeeody ychey okeody deody okody cheodaiin cheody ram	qoeeody ychey okeody deody okody cheo doiin cheody sam	qoeeo y chey okeo y eody okody cheo d iin cheody sam	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G671-T0003	f103r	f103r.14	2	shekain	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	okain shekain chedy qokeechy qoky shey lol s aiin chey eekain chcthy qoky	okain shekain chedy qokeechy qoky shey lol s aiin chey eekain chcthy qoky	okain shekain che y qokeechy qoky shey lol s aiin chey chkain chcthy qoky	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G671-T0004	f104r	f104r.13	1	olcheol	BOS	0	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	olcheol qodain chokar okcho lkain okar cheody okeeody qodam chdy	olcheol qodain chokar okcho lkain okar cheody okeeody qodam chdy	ol cheol qodain chokar okcho lkain okar cheody okeeody qo am chdy	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G671-T0005	f105r	f105r.12	5	qoeedy	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	yaiir yteeo dy qoeeody qoeedy kchedy qotchdy otcheey chey teeor ykedy ry	yaiir yteeody qoeeody qoeedy kchedy qotchdy otcheey chey teeor ykedy ry	aiir yteeody qoeeody qoeedy kchedy qotchdy otchee che teeor yke y ry	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G671-T0006	f105r	f105r.20	4	teol	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	s aiin chey teol ykair paiir olkaiin olfaiin odar al airody al teedar dam	saiin chey teol ykair paiir olkaiin olfaiin odar al airody al teedar dam	s aiin chey teol ykair paiir olkaiin olfaiin o ar al airo y al teedar dam	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G671-T0007	f105r	f105r.37	1	otoiir	BOS	0	0	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	otoiir chedaiin otair otaly	otoiis chedaiin otair otaly	otoiir chedaiin otair otaly	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G671-T0008	f105v	f105v.29	7	qoeedy	MEDIAL	0	0	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	tdol tor oaldar aiir okokeedy karody qoeedy sho qopchedy daiin opairam	tdol tor oaldar aiir otokeedy karody qoeedy sho qopchedy daiin opairam	tdol toroaldar aiir okokeedy karodyqoeedy sho qopched daiin opairam	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G671-T0009	f106r	f106r.14	4	dolchedy	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	ychol okaiin olcheey dolchedy otair otal chedy okeor	ychol okaiin olcheey dolchedy otais otal chedy okeor	ychol kaiin olcheey dolchedy otair otal chedy okeor	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
G671-T0010	f106v	f106v.32	5	qoeedy	MEDIAL	1	1	NONE	NONE	NONE	0	NONE	NOT_A_CONTEXT_SHORT_FORM	0	polos shdair sheky keedy qoeedy qofchedy sair al pchedy ypodaiin saram	tolos shdair sheky keedy qoeedy qofchedy sair al pchedy ypodaiin saram	polos shdair sheky keedy qoeedy qofchedy sair al pchedy ypo aiin sarag	reader agreement selects boundary confidence or a short-form merge card; it does not identify plaintext
