rank	locus	zl3b_line	manual_workshop_translation_de	notes	automatic_v48_translation_de	v48_unknown_tokens	comparison_scope
1	f112v.21	saiin chekain cheol qoeedy chol keedy qokaiin shedy qokeol kain	Saatgutcharge III; bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen; trockener Drogenstoff. Nimm den vollständig fertiggestellten Ansatz; Trockengut; bis zur Heizendstufe gebracht; heiß auf Stufe III; bis zur mittleren Einweichstufe gebracht. Erhitze den Drogenstoff bis zur Mittelstufe; heiß auf Stufe II.	qoeedy bewahrt Befehlskopf, Ansatz, Endstufe und Fertigstellung; die geerbten Richtungsstufen bleiben sichtbar.	Samen/Saatgut, Typ/Charge III; bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen; trockener Drogenstoff; nimm den vollständig fertiggestellten Ansatz; Trockengut; bis zur Heizendstufe gebracht; heiß, Grad III; bis zur mittleren Einweichstufe gebracht; erhitze den Drogenstoff bis zur Mittelstufe; heiß, Grad II	0	manual workshop prose versus deterministic V48 renderer; neither is confirmed plaintext
2	f81v.24	ytey okchedy qokal okeey qol cheedy sal teol dchdy ly	Kühle hiervon bis zur Mittelstufe ab und schließe ab; heiß-trockener Ansatz auf Mittelstufe abgeschlossen; Rohdroge I heiß am Gradanfang; Ansatz auf Heizendstufe. Gib Folgendes hinzu: vollständig getrocknet; Saat-Rohstoff I; Drogenstoff auf mittlerer Kühlstufe. Miss Trockendroge ab und stelle sie fertig; rohes Drogenholz.	teol bleibt nominaler Kühlzustand; okeey behält den Ansatz auf Heizendstufe.	kühle hiervon bis zur Mittelstufe ab und schließe ab; heiß-trockener Ansatz in der Mitte des Grades, abgeschlossen; Rohstoff I, heiß am Gradanfang; Ansatz auf Heizendstufe; gib Folgendes hinzu: vollständig getrocknet; Saat-Rohstoff I; Drogenstoff auf mittlerer Kühlstufe; Trockendroge abmessen und fertigstellen; rohes Drogenholz	0	manual workshop prose versus deterministic V48 renderer; neither is confirmed plaintext
3	f40r.10	saiin olcheey chdy ychey ka ar oky ykedy okair ody	Saatgutcharge III; trockne den Holzdrogenansatz vollständig; angetrocknet. Trockne hiervon bis zur Mittelstufe und schließe ab; erhitzte Wurzelfraktion I; leicht erhitzter Ansatz. Erhitze hiervon bis zur Mittelstufe und schließe ab; heiße Drogenfraktion II im Ansatz; fertiggestellter Ansatz.	ychey ist Referenzbefehl; ka|ar bleibt lokaler Wurzelfraktionsalias.	Samen/Saatgut, Typ/Charge III; Holzdrogenansatz vollständig trocknen; angetrocknet; trockne hiervon bis zur Mittelstufe und schließe ab; erhitzte Wurzelfraktion I; leicht erhitzter Ansatz; erhitze hiervon bis zur Mittelstufe und schließe ab; heiße Drogenfraktion II im Ansatz; fertiggestellter Ansatz	0	manual workshop prose versus deterministic V48 renderer; neither is confirmed plaintext
4	f95r1.11	ykaiin or chdy chekain ol dar ykar olkeey ldar chekal	Erhitze hiervon auf Stufe III; Drogenportion; angetrocknet; trockne bis zur Mittelstufe und erhitze dann auf Stufe II; Grundansatz; abgemessene Fraktion I. Nimm hiervon die erste erhitzte Drogenfraktion; vollständig erhitzter Holzdrogenansatz. Miss die erste Holzdrogenfraktion ab; Rohdroge I trocken auf Mittelstufe und heiß am Gradanfang.	ldar ist die zweite, holzbezogene Messhandlung; chekain bleibt gerichteter Trocken-Heiz-Schritt.	erhitze hiervon auf Stufe III; Drogenportion; angetrocknet; bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen; Grundansatz; abgemessene Fraktion I; nimm hiervon die erste erhitzte Drogenfraktion; Holzdrogenansatz vollständig erhitzt; erste Holzdrogenfraktion abmessen; Rohstoff I: trocken in der Gradmitte; heiß am Gradanfang	0	manual workshop prose versus deterministic V48 renderer; neither is confirmed plaintext
5	f107r.26	ol cheor shey cheey olcheol kaiin otair okal cheody	Grundansatz; trockener Drogenteil; Einweichmittelstufe; vollständig getrocknet. Trockne den Holzdrogenstoff im Ansatz bis zur Mittelstufe; heiß auf Stufe III; zweite kalte Drogenfraktion im Ansatz; Rohdroge I leicht erhitzt im Ansatz; getrockneter Ansatz.	olcheol bewahrt initialen Ansatz, Holzdroge, Trocknung und Ergebnisstoff.	Grundansatz; trockener Drogenteil; bis zur mittleren Einweichstufe; vollständig getrocknet; Holzdrogenstoff im Ansatz bis zur Mittelstufe trocknen; heiß, Grad III; zweite kalte Drogenfraktion im Ansatz; Rohstoff I, leicht erhitzt im Ansatz; getrockneter Ansatz	0	manual workshop prose versus deterministic V48 renderer; neither is confirmed plaintext
6	f10r.7	dchy qokchol y kchaiin yty daiin cth dain dair am	Dosis Trockendroge in Grundform; heiß-trockenes Drogenmaterial; hierzu heiß-getrocknete Droge auf Stufe III. Kühle hiervon leicht ab; drei Maße; Kraut- oder Blattdroge; zwei Maße; abgemessene Fraktion II; ein Maß.	Freies cth ist nominale Krautdroge.	Dosis Trockendroge, Grundform; heiß-trockenes Drogenmaterial; hierzu: heiß-getrocknete Droge auf Stufe III; kühle hiervon leicht ab; drei Maße; Kraut- oder Blattdroge; zwei Maße; abgemessene Fraktion II; Maßeinheit I	0	manual workshop prose versus deterministic V48 renderer; neither is confirmed plaintext
7	f116r.42	qo qokain sheckhy qokain shekain shkain shedy shey qokan cham	Nimm Folgendes: heiß auf Stufe II; feuchtes Arzneikompositum am Gradanfang; heiß auf Stufe II; bis zur Mittelstufe eingeweichte und auf Stufe II erhitzte Droge; eingeweichte und erhitzte Droge auf Stufe II; bis zur mittleren Einweichstufe gebracht; bis zur mittleren Einweichstufe; heiß im Befehlsrahmen auf Stufe I; ein Maß Trockendroge.	Beide SHK-Stufen bleiben getrennt; AIN ist hier Prozessstufe II statt Teilzahl.	nimm Folgendes: heiß, Grad II; feuchtes Arzneikompositum am Gradanfang; heiß, Grad II; bis zur Mittelstufe eingeweichte und auf Stufe II erhitzte Droge; eingeweichte und erhitzte Droge auf Stufe II; bis zur mittleren Einweichstufe gebracht; bis zur mittleren Einweichstufe; heiß im qo-Rahmen, Grad I; ein Maß Trockendroge	0	manual workshop prose versus deterministic V48 renderer; neither is confirmed plaintext
8	f47v.2	dsheey shy cphy otchey daiidy chory daiiy	Vollständig angefeuchtete Dosis; leicht angefeuchtet; Arzneikompositum in Grundform; kalt-trockener Ansatz auf Mittelstufe; drei Maße vollständig abgeteilt; Pflanzenteil in Grundform; abgemessene Drogenportion, abgeschlossen.	daiiy bleibt gelernte nominale Ganzform ohne unsichtbares n.	abgemessene, vollständig angefeuchtete Droge; leicht angefeuchtet; Arzneikompositum in Grundform; kalt-trockener Ansatz in der Mitte des Grades; drei Maße, vollständig abgeteilt; Pflanzenteil in Grundform; abgemessene Drogenportion, abgeschlossen	0	manual workshop prose versus deterministic V48 renderer; neither is confirmed plaintext
9	f111r.11	dshey lkeedy lkeedy cheedy oteedaiin sheedy ar ay shkaiin chey daiin daram	Eine Dosis bis zur Mittelstufe angefeuchteter Droge; zweimal Drogenholz heiß am Gradende und abgeschlossen; vollständig getrocknet. Miss drei Dosen vollständig gekühlten Ansatzes ab; vollständig eingeweicht; Drogenfraktion I; gleicher Teil abgeschlossen; eingeweichte und erhitzte Droge auf Stufe III; bis zur mittleren Trockenstufe; drei Maße; ein Maß Fraktion I.	oteedaiin bewahrt Kühlendstufe, Messung und drei Dosen; chey bleibt gerichtet.	eine Dosis bis zur Mittelstufe angefeuchtete Droge; Drogenholz, heiß am Gradende, abgeschlossen; Drogenholz, heiß am Gradende, abgeschlossen; vollständig getrocknet; drei Dosen vollständig gekühlten Ansatzes abmessen; vollständig eingeweicht; Drogenfraktion I; ein gleicher Teil, abgeschlossen; eingeweichte und erhitzte Droge auf Stufe III; bis zur mittleren Trockenstufe; drei Maße; ein Maß Fraktion I	0	manual workshop prose versus deterministic V48 renderer; neither is confirmed plaintext
10	f9r.3	toiin cphy qotod otaiin cthy okor chey ctho d ram	Kalte Zubereitung Form III; Arzneikompositum in Grundform. Kühle den Ansatz und schließe ab; kalter Ansatz auf Stufe III; Krautdroge; heiße Drogenportion im Ansatz; bis zur mittleren Trockenstufe; Krautansatz; Dosis; Wurzeldroge in Maßform I.	qotod ist ausdrücklicher Kühlabschluss; die spätere Trockenstufe bleibt gerichtet.	kalte Zubereitung, Form III; Arzneikompositum in Grundform; kühle den Ansatz und schließe ab; kalt im Zubereitungsrahmen, Grad III; Krautdroge; heiße Drogenportion im Ansatz; bis zur mittleren Trockenstufe; Krautansatz; Dosis; Wurzel/Wurzeldroge: Maß-/Einheitsform I	0	manual workshop prose versus deterministic V48 renderer; neither is confirmed plaintext
