surface	working_meaning_de	composition	strongest_rival_de	card_type	strength	occurrences	scope	status
otoiir	kalter Ansatz, Fraktion III	LEARNED_OTOIIR_WHOLE	erneut angesetzter Kaltansatz in Zubereitungsform III	LEARNED_WHOLE	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V48_REPLACEABLE
dolchedy	Drogenstoff abmessen, bis zur Mittelstufe trocknen und fertigstellen	D_MEASURE+OL_MATERIAL+CH_DRY+E_MIDDLE+DY_FINISHED	abgemessener, fertig getrockneter Drogenstoff	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V48_REPLACEABLE
olcheol	Holzdrogenstoff im Ansatz bis zur Mittelstufe trocknen	O_PREP+L_WOOD+CH_DRY+E_MIDDLE+OL_MATERIAL	bis zur Mittelstufe getrockneter Holzdrogenstoff im Ansatz	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	5	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V48_REPLACEABLE
cth	Kraut- oder Blattdroge	CTH_HERB	Krautansatz	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	4	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V48_REPLACEABLE
oteedaiin	drei Dosen vollständig gekühlten Ansatzes abmessen	O_PREP+T_COLD+EE_END+D_MEASURE+AIIN_III	vollständig gekühlter Ansatz, drei Dosen	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V48_REPLACEABLE
qoeedy	nimm den vollständig fertiggestellten Ansatz	QO_COMMAND+O_PREP+EE_END+DY_FINISHED	stelle den Ansatz vollständig fertig	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	16	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V48_REPLACEABLE
shekain	bis zur Mittelstufe eingeweichte und auf Stufe II erhitzte Droge	SH_MOIST+E_MIDDLE+K_HOT+AIN_II	zwei Teile bis zur Mittelstufe einweichen und erhitzen	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	3	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V48_REPLACEABLE
keocthy	Krautansatz bis zur Mittelstufe erhitzen und abschließen	K_HOT+E_MIDDLE+O_PREP+CTH_HERB+Y_START_OR_CLOSE	heißer Krautansatz auf Mittelstufe, abgeschlossen	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V48_REPLACEABLE
ychekch	trockne hiervon bis zur Mittelstufe, erhitze und trockne erneut	Y_REFERENCE+CH_DRY+E_MIDDLE+K_HOT+CH_DRY	mitteltrockene Droge hierzu erneut erhitzen und trocknen	PRODUCTIVE_COMPOUND	LOW_EXPLORATORY	1	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V48_REPLACEABLE
ychey	trockne hiervon bis zur Mittelstufe und schließe ab	Y_REFERENCE+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	mitteltrockene Droge hiervon, abgeschlossen	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	13	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V48_REPLACEABLE
daiiy	abgemessene Drogenportion, abgeschlossen	LEARNED_DAIIY_WHOLE	drei Maße vollständig abteilen	LEARNED_WHOLE	MEDIUM_EXACT_WHOLE	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V48_REPLACEABLE
teol	Drogenstoff auf mittlerer Kühlstufe	T_COLD+E_MIDDLE+OL_MATERIAL	Drogenstoff bis zur Mittelstufe abkühlen	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	13	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V48_REPLACEABLE
ldar	erste Holzdrogenfraktion abmessen	L_WOOD+D_MEASURE+AR_FRACTION_I	abgemessene erste Fraktion Holzdroge	PRODUCTIVE_COMPOUND	STRONG_PRACTICAL_OR_COMPOSITIONAL	5	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V48_REPLACEABLE
qotod	kühle den Ansatz und schließe ab	QO_COMMAND+T_COLD+O_PREP+D_TERM_CLOSE	nimm den Kaltansatz und ziehe ihn ab	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V48_REPLACEABLE
toldy	fertiggestellter kalter Drogenstoff	T_COLD+OL_MATERIAL+DY_FINISHED	kalten Drogenstoff fertigstellen	PRODUCTIVE_COMPOUND	MEDIUM_EXACT_WHOLE	2	EXACT_WHITESPACE_DELIMITED_WHOLE	ACCEPT_V48_REPLACEABLE
