candidate	trigger	raw_span	head_role	status	reader_occurrences	loci	source_ids	interpretation
R_C	kaiin	kaiin chckhy	RATE	CONFLICT	1	f107r.37	IT2a|f107r.37|G002	CONTRACT_ONLY_NOT_WORD_REFUTATION
R_C	kaiin	kaiin chey	CONDITION	CONFLICT	6	f107r.33|f114v.37|f86v6.15	IT2a|f107r.33|G004|RF1b|f107r.33|G004|RF1b|f86v6.15|G011|ZL3b|f107r.33|G004|ZL3b|f114v.37|G008|ZL3b|f86v6.15|G010	CONTRACT_ONLY_NOT_WORD_REFUTATION
R_C	kaiin	kaiin dain	LOW_AMOUNT	CONFLICT	8	f32v.5|f81v.4|f8v.6	IT2a|f32v.5|G006|IT2a|f81v.4|G006|IT2a|f8v.6|G005|RF1b|f32v.5|G006|RF1b|f81v.4|G006|ZL3b|f32v.5|G006|ZL3b|f81v.4|G006|ZL3b|f8v.6|G005	CONTRACT_ONLY_NOT_WORD_REFUTATION
R_C	kaiin	kaiin o	DEFINITE_DETERMINER	CONFLICT	1	f40v.15	ZL3b|f40v.15|G006	CONTRACT_ONLY_NOT_WORD_REFUTATION
R_C	kaiin	kaiin okaiin	VESSEL	COMPATIBLE	3	f108v.25	IT2a|f108v.25|G003|RF1b|f108v.25|G003|ZL3b|f108v.25|G003	CONTRACT_ONLY_NOT_WORD_REFUTATION
R_C	kaiin	kaiin ol	LIMITER	CONFLICT	5	f113r.6|f86v5.33	IT2a|f113r.6|G015|IT2a|f86v5.33|G003|RF1b|f113r.6|G015|ZL3b|f113r.6|G015|ZL3b|f86v5.33|G003	CONTRACT_ONLY_NOT_WORD_REFUTATION
R_C	kaiin	kaiin qokaiin	SOURCE	CONFLICT	3	f104v.33	IT2a|f104v.33|G004|RF1b|f104v.33|G004|ZL3b|f104v.33|G004	CONTRACT_ONLY_NOT_WORD_REFUTATION
R_C	kaiin	kaiin qokain	COPULA	CONFLICT	3	f50r.9	IT2a|f50r.9|G004|RF1b|f50r.9|G004|ZL3b|f50r.9|G004	CONTRACT_ONLY_NOT_WORD_REFUTATION
R_C	kaiin	kaiin qokeedy	FLOW	CONFLICT	1	f95r1.8	IT2a|f95r1.8|G004	CONTRACT_ONLY_NOT_WORD_REFUTATION
R_C	kaiin	kaiin shedy	MATERIAL	COMPATIBLE	2	f106r.8	RF1b|f106r.8|G004|ZL3b|f106r.8|G004	CONTRACT_ONLY_NOT_WORD_REFUTATION
R_C	kaiin	kaiin sheey	OPTICAL_QUALITY	CONFLICT	3	f114v.33	IT2a|f114v.33|G001|RF1b|f114v.33|G001|ZL3b|f114v.33|G001	CONTRACT_ONLY_NOT_WORD_REFUTATION
R_C	kaiin	kaiin shey otain	APERTURE	COMPATIBLE	3	f111v.18	IT2a|f111v.18|G006|RF1b|f111v.18|G006|ZL3b|f111v.18|G006	CONTRACT_ONLY_NOT_WORD_REFUTATION
R_C	l	l alkain	FILL	CONFLICT	1	f107r.37	RF1b|f107r.37|G004	CONTRACT_ONLY_NOT_WORD_REFUTATION
R_C	l	l ar	COORDINATION	CONFLICT	3	f103v.23	IT2a|f103v.23|G002|RF1b|f103v.23|G002|ZL3b|f103v.23|G002	CONTRACT_ONLY_NOT_WORD_REFUTATION
