candidate	trigger	rule	occurrences	compatible	conflicts	open	testable_other_physical_leaves	conflict_loci	unexposed_confirmation_leaves	independent_meaning_tests
R_C	o	ARTICLE_NOMINAL	249	5	10	234	8	7	0	0
R_C	l	OTHER_NOMINAL	301	15	43	243	15	27	0	0
R_C	kaiin	PATH_NOMINAL	191	8	31	152	13	14	0	0
R_W	o	ARTICLE_NOMINAL	249	5	10	234	8	7	0	0
R_W	l	OTHER_NOMINAL	301	18	40	243	15	25	0	0
R_W	kaiin	PATH_NOMINAL	191	11	28	152	13	13	0	0
T_C	o	ARTICLE_NOMINAL	249	5	10	234	8	7	0	0
T_C	l	OTHER_NOMINAL	301	15	43	243	15	27	0	0
T_C	kaiin	PATH_NOMINAL	191	8	31	152	13	14	0	0
T_W	o	ARTICLE_NOMINAL	249	5	10	234	8	7	0	0
T_W	l	OTHER_NOMINAL	301	18	40	243	15	25	0	0
T_W	kaiin	PATH_NOMINAL	191	11	28	152	13	13	0	0
