world	event	location	form	kind	patient	object	D_before	H_before	D_after	H_after	D_status	H_status	assertion_D	assertion_H	debts	row_status
E|ZL3b|B|f6v|f6v.6-f6v.21	24	f6v.14:2	chol	ACTION	f6v.14:3	f6v.7:4	"{""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED	"{""axis"":""moisture"",""value"":""dry""}"	"{""axis"":""thermal"",""value"":""hot""}"		recorded
E|ZL3b|B|f6v|f6v.6-f6v.21	25	f6v.15:1	chockhy	ACTION	f6v.14:3	f6v.7:4	"{""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	NO_STATE_TRANSITION_MODELLED	NO_STATE_TRANSITION_MODELLED			IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
E|ZL3b|B|f6v|f6v.6-f6v.21	26	f6v.15:4	chy	QUALITY	f6v.14:3	f6v.7:4	"{""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	INITIAL_CONSTRAINT	MATCH	PHYSICAL:thermal=hot	PHYSICAL:thermal=hot	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
E|ZL3b|J|f6v|f6v.6-f6v.21	24	f6v.14:2	chol	ACTION	f6v.14:3	f6v.7:4	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED	"{""axis"":""moisture"",""value"":""dry""}"	"{""axis"":""thermal"",""value"":""hot""}"		recorded
E|ZL3b|J|f6v|f6v.6-f6v.21	26	f6v.15:4	chy	QUALITY	f6v.14:3	f6v.7:4	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	MATCH	MATCH	PHYSICAL:thermal=hot	PHYSICAL:thermal=hot	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
E|ZL3b|M|f6v|f6v.6-f6v.21	24	f6v.14:2	chol	ACTION	f6v.14:3	f6v.7:4	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED	"{""axis"":""moisture"",""value"":""dry""}"	"{""axis"":""thermal"",""value"":""hot""}"		recorded
E|ZL3b|M|f6v|f6v.6-f6v.21	26	f6v.15:4	chy	QUALITY	f6v.14:3	f6v.7:4	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	MATCH	MATCH	PHYSICAL:thermal=hot	PHYSICAL:thermal=hot	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
E|ZL3b|B|f9v|f9v.5-f9v.12	6	f9v.7:2	chol	ACTION	f9v.6:4	f9v.6:4	"{""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry""}"	"{""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""hot""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED	"{""axis"":""moisture"",""value"":""dry""}"	"{""axis"":""thermal"",""value"":""hot""}"	UNREAD_BETWEEN:f9v.6:5;UNREAD_BETWEEN:f9v.6:6;UNREAD_BETWEEN:f9v.6:7;UNREAD_BETWEEN:f9v.6:8;IMPLICIT_SUBJECT_CONTINUATION	recorded
E|ZL3b|B|f9v|f9v.5-f9v.12	9	f9v.7:3	chol	ACTION	f9v.7:6	f9v.7:6	"{""CONSTITUTION:thermal"":""cold""}"	"{""CONSTITUTION:thermal"":""cold""}"	"{""CONSTITUTION:thermal"":""cold"",""PHYSICAL:moisture"":""dry""}"	"{""CONSTITUTION:thermal"":""cold"",""PHYSICAL:thermal"":""hot""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED	"{""axis"":""moisture"",""value"":""dry""}"	"{""axis"":""thermal"",""value"":""hot""}"	UNREAD_BETWEEN:f9v.7:4	recorded
E|ZL3b|B|f9v|f9v.5-f9v.12	10	f9v.8:3	qokcho	ACTION	f9v.7:6	f9v.7:6	"{""CONSTITUTION:thermal"":""cold"",""PHYSICAL:moisture"":""dry""}"	"{""CONSTITUTION:thermal"":""cold"",""PHYSICAL:thermal"":""hot""}"	"{""CONSTITUTION:thermal"":""cold"",""PHYSICAL:moisture"":""dry"",""PHYSICAL:thermal"":""warm""}"	"{""CONSTITUTION:thermal"":""cold"",""PHYSICAL:thermal"":""warm""}"	ASSUMED_EFFECT_APPLIED	ASSUMED_EFFECT_APPLIED	"{""axis"":""thermal"",""value"":""warm""}"	"{""axis"":""thermal"",""value"":""warm""}"	UNREAD_BETWEEN:f9v.7:8;UNREAD_BETWEEN:f9v.8:1;IMPLICIT_SUBJECT_CONTINUATION	recorded
