world	edition	grammar	target	target_form	parent	operation	operation_form	D_support	H_support	D_target	H_target	H_status	row_status
R0001	ZL3b	B	f17v.5:4	tchol	kchor	f17v.5:1	ychol	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0002	ZL3b	J	f17v.5:4	tchol	kchor	f17v.5:1	ychol	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0003	ZL3b	M	f17v.5:4	tchol	kchor	f17v.5:1	ychol	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0004	ZL3b	B	f22v.9:4	tchol	shody	f22v.9:3	chol	True	False	MATCH	CONFLICT	DRYING_ORIGIN_NO_LONGER_EXPLAINED	recorded
R0005	ZL3b	J	f22v.9:4	tchol	shody	f22v.9:3	chol	True	False	MATCH	CONFLICT	DRYING_ORIGIN_NO_LONGER_EXPLAINED	recorded
R0006	ZL3b	M	f22v.9:4	tchol	shody	f22v.9:3	chol	True	False	MATCH	CONFLICT	DRYING_ORIGIN_NO_LONGER_EXPLAINED	recorded
R0007	ZL3b	B	f24r.11:5	qokain	otal	f24r.6:5	qoky	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0008	ZL3b	J	f24r.11:5	qokain	otal	f24r.6:5	qoky	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0009	ZL3b	M	f24r.11:5	qokain	otal	f24r.6:5	qoky	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0010	ZL3b	B	f86v5.23:7	qokar	ykaiin	f86v5.22:2	ykeey	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0011	ZL3b	J	f86v5.23:7	qokar	ykaiin	f86v5.22:2	ykeey	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0012	ZL3b	M	f86v5.23:7	qokar	ykaiin	f86v5.22:2	ykeey	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0013	ZL3b	B	f93r.3:6	chody	sheo	f93r.2:3	chol	True	False	MATCH	INITIAL_CONSTRAINT	DRYING_ORIGIN_NO_LONGER_EXPLAINED	recorded
R0014	ZL3b	J	f93r.3:6	chody	sheo	f93r.2:3	chol	True	False	MATCH	INITIAL_CONSTRAINT	DRYING_ORIGIN_NO_LONGER_EXPLAINED	recorded
R0015	ZL3b	M	f93r.3:6	chody	sheo	f93r.2:3	chol	True	False	MATCH	INITIAL_CONSTRAINT	DRYING_ORIGIN_NO_LONGER_EXPLAINED	recorded
R0016	IT2a	B	f17v.5:4	tchol	kchor	f17v.5:1	ychol	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0017	IT2a	J	f17v.5:4	tchol	kchor	f17v.5:1	ychol	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0018	IT2a	M	f17v.5:4	tchol	kchor	f17v.5:1	ychol	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0019	IT2a	B	f24r.11:5	qokain	otal	f24r.6:5	qoky	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
