edition	grammar	operation	patient	patient_form	later_liquid_mentions	D	H	row_status
ZL3b	B	f17v.16:2	f17v.16:3	okeol		COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
ZL3b	J	f17v.16:2	f17v.16:3	okeol		COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
ZL3b	M	f17v.16:2	f17v.16:3	okeol		COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
ZL3b	B	f99r.48:4	f99r.48:2	okeol	f99r.49:6	COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
ZL3b	J	f99r.48:4	f99r.48:2	okeol	f99r.49:6	COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
ZL3b	M	f99r.48:4	f99r.48:2	okeol	f99r.49:6	COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
IT2a	B	f17v.16:2	f17v.16:3	okeol		COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
IT2a	J	f17v.16:2	f17v.16:3	okeol		COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
IT2a	M	f17v.16:2	f17v.16:3	okeol		COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
IT2a	B	f24r.18:3	f24r.18:2	cheol		COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
IT2a	B	f24r.18:5	f24r.18:2	cheol		COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
IT2a	J	f24r.18:3	f24r.18:2	cheol		COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
IT2a	J	f24r.18:5	f24r.18:2	cheol		COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
IT2a	M	f24r.18:3	f24r.18:2	cheol		COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
IT2a	M	f24r.18:5	f24r.18:2	cheol		COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
IT2a	B	f99r.48:5	f99r.48:2	okeol		COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
IT2a	J	f99r.48:5	f99r.48:2	okeol		COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
IT2a	M	f99r.48:5	f99r.48:2	okeol		COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
RF1b	B	f17v.16:2	f17v.16:3	okeol		COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
RF1b	J	f17v.16:2	f17v.16:3	okeol		COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
RF1b	M	f17v.16:2	f17v.16:3	okeol		COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
RF1b	B	f99r.48:5	f99r.48:2	okeol	f99r.49:7	COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
RF1b	J	f99r.48:5	f99r.48:2	okeol	f99r.49:7	COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
RF1b	M	f99r.48:5	f99r.48:2	okeol	f99r.49:7	COMPLETE_DRYING_ASSERTED	NO_COMPLETE_DRYING_ASSERTED_NO_PHASE_GUARANTEE	recorded
