event_id	locus	surface	visual_object_id	visible_object_de	functional_object_class_de	local_reading_de	portable_operation_reading_allowed
P912-E2362	f88r.1	otorchety	TOP_01	blasser vielzehiger Wurzelbusch mit schmalen Trieben	Wurzelposten	TOP_01: gelernter Drogenname oder Klassencode für blasser vielzehiger Wurzelbusch mit schmalen Trieben	NO__LABEL_REGISTER
P912-E2363	f88r.2	osal	TOP_02	schmale dunkle Spindelwurzel mit langen Fingern	Wurzelposten	TOP_02: gelernter Drogenname oder Klassencode für schmale dunkle Spindelwurzel mit langen Fingern	NO__LABEL_REGISTER
P912-E2364	f88r.3	orald	TOP_03	heller Hals mit gegabeltem Faserwurzelbüschel	Wurzelposten	TOP_03: gelernter Drogenname oder Klassencode für heller Hals mit gegabeltem Faserwurzelbüschel	NO__LABEL_REGISTER
P912-E2365	f88r.4	oldar	TOP_04	braune behaarte Spindelknolle mit feinen Seitenwurzeln	Knollenposten	TOP_04: gelernter Drogenname oder Klassencode für braune behaarte Spindelknolle mit feinen Seitenwurzeln	NO__LABEL_REGISTER
P912-E2366	f88r.5	otoky	TOP_05	heller Knotenkopf mit langen geschlungenen Wurzeln	Wurzelposten	TOP_05: gelernter Drogenname oder Klassencode für heller Knotenkopf mit langen geschlungenen Wurzeln	NO__LABEL_REGISTER
P912-E2367	f88r.6	otaly	TOP_06	einzelnes grünes lanzettliches Blatt	Blattposten	TOP_06: gelernter Drogenname oder Klassencode für einzelnes grünes lanzettliches Blatt	NO__LABEL_REGISTER
P912-E2415	f88r.12	otaldy	MID_01	kräftiger gegabelter Wurzelstock mit kleiner gelappter Blattkrone	Wurzel-und-Blatt-Posten	MID_01: gelernter Drogenname oder Klassencode für kräftiger gegabelter Wurzelstock mit kleiner gelappter Blattkrone	NO__LABEL_REGISTER
P912-E2416	f88r.13	oram	MID_02	schmale braune Wurzel mit kleinem grünem Kopf	Wurzelposten	MID_02: gelernter Drogenname oder Klassencode für schmale braune Wurzel mit kleinem grünem Kopf	NO__LABEL_REGISTER
P912-E2417	f88r.14	dary	MID_03	aufrechter grüner gezähnter Frucht- oder Blattkörper am Wurzelbüschel	Frucht-oder-Blatt-Posten	MID_03: gelernter Drogenname oder Klassencode für aufrechter grüner gezähnter Frucht- oder Blattkörper am Wurzelbüschel	NO__LABEL_REGISTER
P912-E2418	f88r.15	okol	MID_04	heller gespreizter Faserwurzelstock	Wurzelposten	MID_04: gelernter Drogenname oder Klassencode für heller gespreizter Faserwurzelstock	NO__LABEL_REGISTER
P912-E2419	f88r.16	sorory	MID_05	braun gepunkteter ovaler Körper mit Wurzeln und gezähnten grünen Teilen	Frucht-oder-Wurzel-Posten	MID_05: gelernter Drogenname oder Klassencode für braun gepunkteter ovaler Körper mit Wurzeln und gezähnten grünen Teilen	NO__LABEL_REGISTER
P912-E2420	f88r.17	otyda	MID_06	langer Zweig mit mehreren paarigen grünen Blättern	Blatt-/Zweigposten	MID_06: gelernter Drogenname oder Klassencode für langer Zweig mit mehreren paarigen grünen Blättern	NO__LABEL_REGISTER
P912-E2460	f88r.23	ofyskydal	BOT_01	runde Krone mit roten Wurzeln und vier gezähnten Blättern	Kronenposten	BOT_01: gelernter Drogenname oder Klassencode für runde Krone mit roten Wurzeln und vier gezähnten Blättern	NO__LABEL_REGISTER
P912-E2461	f88r.24	otor	BOT_02	kriechender dünner Stock mit rund gezähnten Blättern	Blatt-/Rhizomposten	BOT_02: gelernter Drogenname oder Klassencode für kriechender dünner Stock mit rund gezähnten Blättern	NO__LABEL_REGISTER
P912-E2462	f88r.24	am	BOT_03	großer geschichteter heller Wurzel- oder Schnittkörper mit rötlichem Grund	Wurzel-/Schnittposten	BOT_03: gelernter Drogenname oder Klassencode für großer geschichteter heller Wurzel- oder Schnittkörper mit rötlichem Grund	NO__LABEL_REGISTER
P912-E2463	f88r.25	ofaldo	BOT_04	langer rötlicher Speicherteil mit zwei langen grünen Blättern	Speicherwurzelposten	BOT_04: gelernter Drogenname oder Klassencode für langer rötlicher Speicherteil mit zwei langen grünen Blättern	NO__LABEL_REGISTER
