exercise_id	silent_owner	master_dictation_de	idiom_ids	scribe_id	tuple_sequence	atom_pattern_chain	scribe_surface_sequence	semantic_readback_de	uses_only_registered_idiom_cards	tuple_sequence_changed	meaning_changed	new_manuscript_claim
X17	PICTURED_PLANT_BATCH	Diesen Pflanzenansatz auf Sollmaß setzen und danach im selben Gang weiterführen.	E03|E12|E16	S1_BARE_MASTER	7a4bb8136330ee4e6e56 b921a237be883a820352 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 e8a6105b5c3a6220b440 dcda95c81a5460feb191	OR > Y | OK+Y > AIIN | OT+OL > OL	chor chey choky aiin qotchol cheol	dieser laufende Ansatz ; den aktuellen Posten auf Sollmaß setzen ; danach im selben Gang weiter	YES	NO	NO	NO_APPRENTICE_EXERCISE
X17	PICTURED_PLANT_BATCH	Diesen Pflanzenansatz auf Sollmaß setzen und danach im selben Gang weiterführen.	E03|E12|E16	S2_Q_CELL_SCRIBE	7a4bb8136330ee4e6e56 b921a237be883a820352 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 e8a6105b5c3a6220b440 dcda95c81a5460feb191	OR > Y | OK+Y > AIIN | OT+OL > OL	chor chey choky aiin qotchol cheol	dieser laufende Ansatz ; den aktuellen Posten auf Sollmaß setzen ; danach im selben Gang weiter	YES	NO	NO	NO_APPRENTICE_EXERCISE
X17	PICTURED_PLANT_BATCH	Diesen Pflanzenansatz auf Sollmaß setzen und danach im selben Gang weiterführen.	E03|E12|E16	S3_S_LINE_SCRIBE	7a4bb8136330ee4e6e56 b921a237be883a820352 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 e8a6105b5c3a6220b440 dcda95c81a5460feb191	OR > Y | OK+Y > AIIN | OT+OL > OL	chor shy choky aiin qotchol cheol	dieser laufende Ansatz ; den aktuellen Posten auf Sollmaß setzen ; danach im selben Gang weiter	YES	NO	NO	NO_APPRENTICE_EXERCISE
X17	PICTURED_PLANT_BATCH	Diesen Pflanzenansatz auf Sollmaß setzen und danach im selben Gang weiterführen.	E03|E12|E16	S4_MIXED_COMPACT	7a4bb8136330ee4e6e56 b921a237be883a820352 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 e8a6105b5c3a6220b440 dcda95c81a5460feb191	OR > Y | OK+Y > AIIN | OT+OL > OL	or y oky saiin qotchol ol	dieser laufende Ansatz ; den aktuellen Posten auf Sollmaß setzen ; danach im selben Gang weiter	YES	NO	NO	NO_APPRENTICE_EXERCISE
X18	VISIBLE_BASIN_TARGET	Die aktuelle Charge zum Ziel bringen, umsetzen, länger ansetzen und schließen.	E17|E09	S1_BARE_MASTER	b921a237be883a820352 dd0ecaf5e27d81befffc 6f7ff8287eddf4da9fdb 7d25241b0e56c836372a	Y > AL | CHD+Y > OK+EE+CLOSE	chey al chdy qokeedy	den aktuellen Posten zum Ziel bringen ; umsetzen, länger ansetzen und schließen	YES	NO	NO	NO_APPRENTICE_EXERCISE
X18	VISIBLE_BASIN_TARGET	Die aktuelle Charge zum Ziel bringen, umsetzen, länger ansetzen und schließen.	E17|E09	S2_Q_CELL_SCRIBE	b921a237be883a820352 dd0ecaf5e27d81befffc 6f7ff8287eddf4da9fdb 7d25241b0e56c836372a	Y > AL | CHD+Y > OK+EE+CLOSE	chey al chdy qokeedy	den aktuellen Posten zum Ziel bringen ; umsetzen, länger ansetzen und schließen	YES	NO	NO	NO_APPRENTICE_EXERCISE
X18	VISIBLE_BASIN_TARGET	Die aktuelle Charge zum Ziel bringen, umsetzen, länger ansetzen und schließen.	E17|E09	S3_S_LINE_SCRIBE	b921a237be883a820352 dd0ecaf5e27d81befffc 6f7ff8287eddf4da9fdb 7d25241b0e56c836372a	Y > AL | CHD+Y > OK+EE+CLOSE	chey al chdy qokeedy	den aktuellen Posten zum Ziel bringen ; umsetzen, länger ansetzen und schließen	YES	NO	NO	NO_APPRENTICE_EXERCISE
X18	VISIBLE_BASIN_TARGET	Die aktuelle Charge zum Ziel bringen, umsetzen, länger ansetzen und schließen.	E17|E09	S4_MIXED_COMPACT	b921a237be883a820352 dd0ecaf5e27d81befffc 6f7ff8287eddf4da9fdb 7d25241b0e56c836372a	Y > AL | CHD+Y > OK+EE+CLOSE	y sal chdy qokeedy	den aktuellen Posten zum Ziel bringen ; umsetzen, länger ansetzen und schließen	YES	NO	NO	NO_APPRENTICE_EXERCISE
X19	CLOTH_OR_INSERT_TARGET	Die nächste Portion zum Ziel bringen, länger halten, kurz nachsetzen und schließen.	E14|E10	S1_BARE_MASTER	94df4847b7b16c98394a dd0ecaf5e27d81befffc 0275fbf14e07935b0a45 7db18b2f0fb7ed0fcfd3	OL+AIN > AL | OK+EE+Y > OK+E+CLOSE	olkain al okeey qokedy	die nächste Portion zum Ziel bringen ; länger halten, kurz nachsetzen und schließen	YES	NO	NO	NO_APPRENTICE_EXERCISE
X19	CLOTH_OR_INSERT_TARGET	Die nächste Portion zum Ziel bringen, länger halten, kurz nachsetzen und schließen.	E14|E10	S2_Q_CELL_SCRIBE	94df4847b7b16c98394a dd0ecaf5e27d81befffc 0275fbf14e07935b0a45 7db18b2f0fb7ed0fcfd3	OL+AIN > AL | OK+EE+Y > OK+E+CLOSE	olkain al qokeey qokedy	die nächste Portion zum Ziel bringen ; länger halten, kurz nachsetzen und schließen	YES	NO	NO	NO_APPRENTICE_EXERCISE
