exercise_id	silent_owner	master_dictation_de	idiom_ids	idiom_count	tuple_count	tuple_sequence	atom_pattern_chain	spoken_idiom_chain_de	four_surface_copies	distinct_surface_variants	occurs_contiguously_in_current_statement
X17	PICTURED_PLANT_BATCH	Diesen Pflanzenansatz auf Sollmaß setzen und danach im selben Gang weiterführen.	E03|E12|E16	3	6	7a4bb8136330ee4e6e56 b921a237be883a820352 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 e8a6105b5c3a6220b440 dcda95c81a5460feb191	OR > Y | OK+Y > AIIN | OT+OL > OL	dieser laufende Ansatz ; den aktuellen Posten auf Sollmaß setzen ; danach im selben Gang weiter	S1_BARE_MASTER:chor chey choky aiin qotchol cheol | S2_Q_CELL_SCRIBE:chor chey choky aiin qotchol cheol | S3_S_LINE_SCRIBE:chor shy choky aiin qotchol cheol | S4_MIXED_COMPACT:or y oky saiin qotchol ol	3	NO
X18	VISIBLE_BASIN_TARGET	Die aktuelle Charge zum Ziel bringen, umsetzen, länger ansetzen und schließen.	E17|E09	2	4	b921a237be883a820352 dd0ecaf5e27d81befffc 6f7ff8287eddf4da9fdb 7d25241b0e56c836372a	Y > AL | CHD+Y > OK+EE+CLOSE	den aktuellen Posten zum Ziel bringen ; umsetzen, länger ansetzen und schließen	S1_BARE_MASTER:chey al chdy qokeedy | S2_Q_CELL_SCRIBE:chey al chdy qokeedy | S3_S_LINE_SCRIBE:chey al chdy qokeedy | S4_MIXED_COMPACT:y sal chdy qokeedy	2	NO
X19	CLOTH_OR_INSERT_TARGET	Die nächste Portion zum Ziel bringen, länger halten, kurz nachsetzen und schließen.	E14|E10	2	4	94df4847b7b16c98394a dd0ecaf5e27d81befffc 0275fbf14e07935b0a45 7db18b2f0fb7ed0fcfd3	OL+AIN > AL | OK+EE+Y > OK+E+CLOSE	die nächste Portion zum Ziel bringen ; länger halten, kurz nachsetzen und schließen	S1_BARE_MASTER:olkain al okeey qokedy | S2_Q_CELL_SCRIBE:olkain al qokeey qokedy | S3_S_LINE_SCRIBE:olkain al okeey qokedy | S4_MIXED_COMPACT:olkain al qokeey qokedy	2	NO
X20	CURRENT_PREPARATION	Diesen Ansatz mit demselben Sollmaß fortführen, kurz absetzen und schließen.	E03|E07|E04	3	6	7a4bb8136330ee4e6e56 b921a237be883a820352 2f1c5e56e8f0ff459065 dcda95c81a5460feb191 dcda95c81a5460feb191 bc4f1f5c006c74a4d26d	OR > Y | AIIN > OL | OL > SHED+E+CLOSE	dieser laufende Ansatz ; mit demselben Sollmaß fortfahren ; weiterführen, kurz absetzen und schließen	S1_BARE_MASTER:chor chey aiin cheol cheol cheedy | S2_Q_CELL_SCRIBE:chor chey aiin cheol cheol cheedy | S3_S_LINE_SCRIBE:chor shy aiin sol cheol cheedy | S4_MIXED_COMPACT:or y aiin ol ol tedy	3	NO
X21	LOCAL_STATION	Am Ziel weiterarbeiten, dann kurz absetzen und schließen.	E08|E04	2	4	dd0ecaf5e27d81befffc dcda95c81a5460feb191 dcda95c81a5460feb191 bc4f1f5c006c74a4d26d	AL > OL | OL > SHED+E+CLOSE	am Ziel weiterarbeiten ; weiterführen, kurz absetzen und schließen	S1_BARE_MASTER:al cheol cheol cheedy | S2_Q_CELL_SCRIBE:al cheol cheol cheedy | S3_S_LINE_SCRIBE:al cheol cheol cheedy | S4_MIXED_COMPACT:al sol ol tedy	2	NO
X22	CONTINUATION_BATCH	Den Fortsetzungsansatz weiterführen und beim selben Sollmaß bleiben.	E15|E07	2	4	dec401773c1f0347793d dcda95c81a5460feb191 2f1c5e56e8f0ff459065 dcda95c81a5460feb191	OL+OR > OL | AIIN > OL	den Fortsetzungsansatz weiterführen ; mit demselben Sollmaß fortfahren	S1_BARE_MASTER:cholor cheol aiin cheol | S2_Q_CELL_SCRIBE:cholor cheol aiin cheol | S3_S_LINE_SCRIBE:cholor cheol aiin sol | S4_MIXED_COMPACT:olor ol aiin ol	3	NO
X23	MEASURED_WORK_ITEM	Denselben Posten um das Sollmaß führen und zum Ziel bringen.	E06|E17	2	5	b921a237be883a820352 2f1c5e56e8f0ff459065 b921a237be883a820352 b921a237be883a820352 dd0ecaf5e27d81befffc	Y > AIIN > Y | Y > AL	denselben Posten um das Sollmaß führen ; den aktuellen Posten zum Ziel bringen	S1_BARE_MASTER:chey aiin chey chey al | S2_Q_CELL_SCRIBE:chey aiin chey chey al | S3_S_LINE_SCRIBE:shy aiin chey chey al | S4_MIXED_COMPACT:y aiin shy y sal	3	NO
X24	HELD_WORK_ITEM	Den länger gehaltenen Posten weiter ansetzen, umsetzen und geschlossen fertigstellen.	E11|E09	2	4	0275fbf14e07935b0a45 276a7c2d74d1143446f4 6f7ff8287eddf4da9fdb 7d25241b0e56c836372a	OK+EE+Y > OK+Y | CHD+Y > OK+EE+CLOSE	den länger gehaltenen Posten weiter ansetzen ; umsetzen, länger ansetzen und schließen	S1_BARE_MASTER:okeey choky chdy qokeedy | S2_Q_CELL_SCRIBE:qokeey choky chdy qokeedy | S3_S_LINE_SCRIBE:okeey choky chdy qokeedy | S4_MIXED_COMPACT:qokeey oky chdy qokeedy	3	NO
X25	TARGET_MEASURE	Das Sollmaß dieses Postens nehmen und am Ziel weiterarbeiten.	E02|E08	2	4	2f1c5e56e8f0ff459065 b921a237be883a820352 dd0ecaf5e27d81befffc dcda95c81a5460feb191	AIIN > Y | AL > OL	Sollmaß dieses Postens ; am Ziel weiterarbeiten	S1_BARE_MASTER:aiin chey al cheol | S2_Q_CELL_SCRIBE:aiin chey al cheol | S3_S_LINE_SCRIBE:aiin chey al cheol | S4_MIXED_COMPACT:aiin shy al sol	2	NO
X26	TRANSFER_RUN	Den Posten umsetzen, weiterführen, kurz absetzen und schließen.	E05|E04	2	4	6f7ff8287eddf4da9fdb dcda95c81a5460feb191 dcda95c81a5460feb191 bc4f1f5c006c74a4d26d	CHD+Y > OL | OL > SHED+E+CLOSE	den Posten umsetzen und weiterführen ; weiterführen, kurz absetzen und schließen	S1_BARE_MASTER:chdy cheol cheol cheedy | S2_Q_CELL_SCRIBE:chdy cheol cheol cheedy | S3_S_LINE_SCRIBE:chdy cheol cheol cheedy | S4_MIXED_COMPACT:chdy ol ol tedy	2	NO
X27	MEASURED_TARGET_PORTION	Den aktuellen Posten auf Sollmaß setzen und die nächste Portion zum Ziel bringen.	E12|E14	2	4	276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 94df4847b7b16c98394a dd0ecaf5e27d81befffc	OK+Y > AIIN | OL+AIN > AL	den aktuellen Posten auf Sollmaß setzen ; die nächste Portion zum Ziel bringen	S1_BARE_MASTER:choky aiin olkain al | S2_Q_CELL_SCRIBE:choky aiin olkain al | S3_S_LINE_SCRIBE:choky aiin olkain al | S4_MIXED_COMPACT:oky saiin olkain al	2	NO
X28	FOLLOWING_CLOSED_TRANSFER	Danach im selben Gang weiter, umsetzen, länger ansetzen und schließen.	E16|E09	2	4	e8a6105b5c3a6220b440 dcda95c81a5460feb191 6f7ff8287eddf4da9fdb 7d25241b0e56c836372a	OT+OL > OL | CHD+Y > OK+EE+CLOSE	danach im selben Gang weiter ; umsetzen, länger ansetzen und schließen	S1_BARE_MASTER:qotchol cheol chdy qokeedy | S2_Q_CELL_SCRIBE:qotchol cheol chdy qokeedy | S3_S_LINE_SCRIBE:qotchol cheol chdy qokeedy | S4_MIXED_COMPACT:qotchol ol chdy qokeedy	2	NO
