unit_id	section	page	group_count	locus_or_field_count	statement_or_namespace_count	smallest_owner_or_namespace	owner_guard	shared_formal_machine	medical_reading	nonmedical_reading	strongest_formal_rival	strongest_contradiction	medical_image_fit_0_4	nonmedical_image_fit_0_4	medical_owner_fit_0_4	nonmedical_owner_fit_0_4	medical_local_fit_0_4	nonmedical_local_fit_0_4	medical_purpose_fit_0_4	nonmedical_purpose_fit_0_4	medical_period_fit_0_4	nonmedical_period_fit_0_4	medical_unsupported_cost_0_4	nonmedical_unsupported_cost_0_4	medical_geometry_cost_0_4	nonmedical_geometry_cost_0_4	medical_attestation_cost_0_4	nonmedical_attestation_cost_0_4	medical_local_score	nonmedical_local_score	local_score_lead	portable_dictionary_status	interpretation_ceiling
H1	HERBAL	f10r	14	2	2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	WHOLE_PLANT_PAGE_OWNER_ONLY__NO_PART_LEADER_LINES	WHOLE_PLANT_OWNER > RECORD_LOCAL_CARD_SEQUENCE > CLOSE/RESET	Unbenannter Ganzpflanzenartikel: Wurzelanteil, waessriger Auszug, kleines Gebrauchsmaß und Verwahrung.	Pflanzenmaterial-Los: Wurzelbestand reinigen, schneiden, mit Wasser ausziehen, Pruefportion buchen und Rest lagern.	IMAGE_ADDRESSED_PATTERN_AND_EXEMPLAR_MISCELLANY	Das Bild trägt den ganzen Pflanzenartikel, aber weder Artname noch Rezeptmedien, Indikationen, Mengen oder genaue Ereigniswerte.	4	4	4	4	4	4	4	3	4	4	4	3	0	0	0	0	28	28	TIE	NO_PORTABLE_GLOSS_ASSERTED__EXEMPLAR_VALUE_UNKNOWN	PURPOSE_MODEL_ONLY__NO_WORD_STEM_SOUND_LANGUAGE_OR_DECIPHERMENT
H2	HERBAL	f10r	24	3	3	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	WHOLE_PLANT_PAGE_OWNER_ONLY__NO_PART_LEADER_LINES	WHOLE_PLANT_OWNER > RECORD_LOCAL_CARD_SEQUENCE > CLOSE/RESET	Unbenannter Ganzpflanzenartikel: junge Spitzen zweier Erntezustaende, Pressfraktionen, Oelzubereitung und aeusserer Gebrauch.	Zwei Erntelose: Spitzen pressen, Fraktionen vergleichen oder vereinigen und als Materialprobe konservieren.	IMAGE_ADDRESSED_PATTERN_AND_EXEMPLAR_MISCELLANY	Das Bild trägt den ganzen Pflanzenartikel, aber weder Artname noch Rezeptmedien, Indikationen, Mengen oder genaue Ereigniswerte.	4	4	4	4	4	4	4	3	4	4	4	3	0	0	0	0	28	28	TIE	NO_PORTABLE_GLOSS_ASSERTED__EXEMPLAR_VALUE_UNKNOWN	PURPOSE_MODEL_ONLY__NO_WORD_STEM_SOUND_LANGUAGE_OR_DECIPHERMENT
H3	HERBAL	f11r	17	4	4	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	WHOLE_PLANT_PAGE_OWNER_ONLY__NO_PART_LEADER_LINES	WHOLE_PLANT_OWNER > RECORD_LOCAL_CARD_SEQUENCE > CLOSE/RESET	Unbenannter Ganzpflanzenartikel: Blueten und junge Blaetter extrahieren, klaeren, einen Anteil als Trank und einen als aeusseres Oel fuehren.	Blueten- und Blattfraktionen extrahieren, klaeren und getrennt als Referenz- oder Vorratsproben lagern.	IMAGE_ADDRESSED_PATTERN_AND_EXEMPLAR_MISCELLANY	Das Bild trägt den ganzen Pflanzenartikel, aber weder Artname noch Rezeptmedien, Indikationen, Mengen oder genaue Ereigniswerte.	4	4	4	4	4	4	4	3	4	4	4	3	0	0	0	0	28	28	TIE	NO_PORTABLE_GLOSS_ASSERTED__EXEMPLAR_VALUE_UNKNOWN	PURPOSE_MODEL_ONLY__NO_WORD_STEM_SOUND_LANGUAGE_OR_DECIPHERMENT
H4	HERBAL	f55v	18	4	4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	WHOLE_PLANT_PAGE_OWNER_ONLY__NO_PART_LEADER_LINES	WHOLE_PLANT_OWNER > RECORD_LOCAL_CARD_SEQUENCE > CLOSE/RESET	Unbenannter Ganzpflanzenartikel: Blattmazerat als Waschmittel und zweiter Blattanteil als warmer Auftrag.	Zwei Blattlose mazerieren, waschen, vergleichen und als Arbeits- oder Vorratsposten lagern.	IMAGE_ADDRESSED_PATTERN_AND_EXEMPLAR_MISCELLANY	Das Bild trägt den ganzen Pflanzenartikel, aber weder Artname noch Rezeptmedien, Indikationen, Mengen oder genaue Ereigniswerte.	4	4	4	4	4	4	4	3	4	4	4	3	0	0	0	0	28	28	TIE	NO_PORTABLE_GLOSS_ASSERTED__EXEMPLAR_VALUE_UNKNOWN	PURPOSE_MODEL_ONLY__NO_WORD_STEM_SOUND_LANGUAGE_OR_DECIPHERMENT
H5	HERBAL	f56r	27	7	6	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	WHOLE_PLANT_PAGE_OWNER_ONLY__NO_PART_LEADER_LINES	WHOLE_PLANT_OWNER > RECORD_LOCAL_CARD_SEQUENCE > CLOSE/RESET	Unbenannter Ganzpflanzenartikel: frische klebrige Blaetter aeusserlich gebrauchen; bluehende Stiele trocknen und schwach ausziehen.	Kopf-, Blatt- und Krautfraktionen als klebrige Probe, Trockenlos und schwachen Auszug fuehren.	IMAGE_ADDRESSED_PATTERN_AND_EXEMPLAR_MISCELLANY	Das Bild trägt den ganzen Pflanzenartikel, aber weder Artname noch Rezeptmedien, Indikationen, Mengen oder genaue Ereigniswerte.	4	4	4	4	4	4	4	3	4	4	4	3	0	0	0	0	28	28	TIE	NO_PORTABLE_GLOSS_ASSERTED__EXEMPLAR_VALUE_UNKNOWN	PURPOSE_MODEL_ONLY__NO_WORD_STEM_SOUND_LANGUAGE_OR_DECIPHERMENT
B1	BIOLOGICAL	f81v	66	24	21	B1_SHARED_TWO_ROW_POOL	LOCAL_CONTACT_OWNER__RESET_AT_VISIBLE_BREAK__NO_GLOBAL_FLOW	LOCAL_STATION_OWNER > ACTIVE/PREVIOUS/TARGET REGISTERS > RESET/CLOSE	Gemeinsames balneologisches Regimen fuer das zweireihige Figurenfeld; Reihen sind keine Zeitfolge.	Badehaus-Charge fuer das zweireihige Beckenfeld bereitstellen, bemessen, temperieren, waschen, spuelen, absetzen und schliessen.	IMAGE_ADDRESSED_PATTERN_AND_EXEMPLAR_MISCELLANY	Die Bildseite trägt lokale Figuren-/Apparatestationen, aber keinen seitenweiten Stoff, keine gemeinsame Richtung und keinen geschlossenen Kreislauf.	4	4	4	4	4	4	4	3	4	4	3	2	0	0	0	0	30	30	TIE	NO_PORTABLE_GLOSS_ASSERTED__EXEMPLAR_VALUE_UNKNOWN	PURPOSE_MODEL_ONLY__NO_WORD_STEM_SOUND_LANGUAGE_OR_DECIPHERMENT
B2	BIOLOGICAL	f82r	62	26	22	B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL|B2_LOWER_POOL_EDGE_STATIONS	LOCAL_CONTACT_OWNER__RESET_AT_VISIBLE_BREAK__NO_GLOBAL_FLOW	LOCAL_STATION_OWNER > ACTIVE/PREVIOUS/TARGET REGISTERS > RESET/CLOSE	Lokaler Katalog therapeutischer Becken-, Bade-, Ruhe- und Anwendungsstationen mit Reset an jedem Besitzerwechsel.	Badehaus-/Waschhaus-Konfigurationsregister fuer Paarbecken, Mittelgeraet, ungeklaerte Station, unteren Pool und Randposten.	IMAGE_ADDRESSED_PATTERN_AND_EXEMPLAR_MISCELLANY	Die Bildseite trägt lokale Figuren-/Apparatestationen, aber keinen seitenweiten Stoff, keine gemeinsame Richtung und keinen geschlossenen Kreislauf.	4	4	4	4	4	4	4	3	4	4	3	2	0	0	0	0	30	30	TIE	NO_PORTABLE_GLOSS_ASSERTED__EXEMPLAR_VALUE_UNKNOWN	PURPOSE_MODEL_ONLY__NO_WORD_STEM_SOUND_LANGUAGE_OR_DECIPHERMENT
B3	BIOLOGICAL	f83r	86	38	34	B3_UPPER_MARGIN_OPEN_FAN_STATION|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR	LOCAL_CONTACT_OWNER__RESET_AT_VISIBLE_BREAK__NO_GLOBAL_FLOW	LOCAL_STATION_OWNER > ACTIVE/PREVIOUS/TARGET REGISTERS > RESET/CLOSE	Drei lokale Behandlungsstationen, ungeklaerte Zone und danach das sichtbar gekoppelte Hauptpaar; keine Therapie kreuzt die Luecke.	Drei lokale Bedienposten, Quarantaenezone und gekoppeltes Hauptpaar; Stoff und Arbeitsstand werden an der Luecke geloescht.	IMAGE_ADDRESSED_PATTERN_AND_EXEMPLAR_MISCELLANY	Die Bildseite trägt lokale Figuren-/Apparatestationen, aber keinen seitenweiten Stoff, keine gemeinsame Richtung und keinen geschlossenen Kreislauf.	4	4	4	4	4	4	4	3	4	4	3	2	0	0	0	0	30	30	TIE	NO_PORTABLE_GLOSS_ASSERTED__EXEMPLAR_VALUE_UNKNOWN	PURPOSE_MODEL_ONLY__NO_WORD_STEM_SOUND_LANGUAGE_OR_DECIPHERMENT
B4	BIOLOGICAL	f83r	47	20	16	B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	LOCAL_CONTACT_OWNER__RESET_AT_VISIBLE_BREAK__NO_GLOBAL_FLOW	LOCAL_STATION_OWNER > ACTIVE/PREVIOUS/TARGET REGISTERS > RESET/CLOSE	Lokale Wasch-/Auflagehandlungen am Hauptpaar sowie getrennte Anwendungen am linken und rechten Endposten.	Betriebsbuchungen fuer Hauptpaar, offenen Fransenposten und S-Lauf-/Mehrarmknoten; keine gemeinsame Richtung.	IMAGE_ADDRESSED_PATTERN_AND_EXEMPLAR_MISCELLANY	Die Bildseite trägt lokale Figuren-/Apparatestationen, aber keinen seitenweiten Stoff, keine gemeinsame Richtung und keinen geschlossenen Kreislauf.	4	4	4	4	4	4	4	3	4	4	3	2	0	0	0	0	30	30	TIE	NO_PORTABLE_GLOSS_ASSERTED__EXEMPLAR_VALUE_UNKNOWN	PURPOSE_MODEL_ONLY__NO_WORD_STEM_SOUND_LANGUAGE_OR_DECIPHERMENT
B5	BIOLOGICAL	f83r	11	5	3	B5_LEFT_OPEN_FRINGE_STATION	LOCAL_CONTACT_OWNER__RESET_AT_VISIBLE_BREAK__NO_GLOBAL_FLOW	LOCAL_STATION_OWNER > ACTIVE/PREVIOUS/TARGET REGISTERS > RESET/CLOSE	Kurzer eigenstaendiger Waerme-, Maß- und Zielnachtrag an einer lokalen Anwendungsstation.	Kurzer eigenstaendiger Einrichtungs- und Maßnachtrag am linken offenen Endposten.	IMAGE_ADDRESSED_PATTERN_AND_EXEMPLAR_MISCELLANY	Die Bildseite trägt lokale Figuren-/Apparatestationen, aber keinen seitenweiten Stoff, keine gemeinsame Richtung und keinen geschlossenen Kreislauf.	4	4	4	4	4	4	4	3	4	4	3	2	0	0	0	0	30	30	TIE	NO_PORTABLE_GLOSS_ASSERTED__EXEMPLAR_VALUE_UNKNOWN	PURPOSE_MODEL_ONLY__NO_WORD_STEM_SOUND_LANGUAGE_OR_DECIPHERMENT
