binding_serial	binding_id	unit_id	section	page	source_artifact	source_row_id	opaque_identity	local_image_owner	inherited_literal_or_formal_layer	inherited_selected_occurrence_context	inherited_source_status	purpose_A_unit_role	purpose_B_unit_role	binding_status	codebook_attestation_status	cross_unit_inference_status	source_semantic_ceiling	v76_semantic_ceiling
1	V76R2:H:E001	H1	HERBAL	f10r	V73_SELECTED_100_EVENT_INTERLINEAR.tsv	E001	65f320e75510b2f38182	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:65f320e75510b2f38182] > [CONTEXT_EXEMPLAR:PLANT_PART]	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel.	UNKNOWN_EXEMPLAR_WHOLE_CARD	Illustrated simple-drug article: root/water preparation, use, and storage.	Natural-specimen/material sheet: root fraction, wet processing, and storage assay.	INHERITED_FROM_FROZEN_SELECTED_SECTION__NO_NEW_GROUP_VALUE	NO_DICTIONARY_GLOSS_ADDED	BOOK_PURPOSE_LEVEL_ONLY__NO_GROUP_VALUE_TRANSFER	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES	BOOK_PURPOSE_BINDING_NOT_WORD_STEM_SOUND_LANGUAGE_OR_DECIPHERMENT
2	V76R2:H:E002	H1	HERBAL	f10r	V73_SELECTED_100_EVENT_INTERLINEAR.tsv	E002	dedc383b600397a301ee	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:dedc383b600397a301ee] > [CONTEXT_EXEMPLAR:ACTION]	Säubere ihn.	UNKNOWN_EXEMPLAR_WHOLE_CARD	Illustrated simple-drug article: root/water preparation, use, and storage.	Natural-specimen/material sheet: root fraction, wet processing, and storage assay.	INHERITED_FROM_FROZEN_SELECTED_SECTION__NO_NEW_GROUP_VALUE	NO_DICTIONARY_GLOSS_ADDED	BOOK_PURPOSE_LEVEL_ONLY__NO_GROUP_VALUE_TRANSFER	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES	BOOK_PURPOSE_BINDING_NOT_WORD_STEM_SOUND_LANGUAGE_OR_DECIPHERMENT
3	V76R2:H:E003	H1	HERBAL	f10r	V73_SELECTED_100_EVENT_INTERLINEAR.tsv	E003	4d4559019a961b834aa1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:4d4559019a961b834aa1] > [CONTEXT_EXEMPLAR:LOCAL_LINK]	Führe ihn als denselben Arbeitsansatz weiter.	UNKNOWN_EXEMPLAR_WHOLE_CARD	Illustrated simple-drug article: root/water preparation, use, and storage.	Natural-specimen/material sheet: root fraction, wet processing, and storage assay.	INHERITED_FROM_FROZEN_SELECTED_SECTION__NO_NEW_GROUP_VALUE	NO_DICTIONARY_GLOSS_ADDED	BOOK_PURPOSE_LEVEL_ONLY__NO_GROUP_VALUE_TRANSFER	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES	BOOK_PURPOSE_BINDING_NOT_WORD_STEM_SOUND_LANGUAGE_OR_DECIPHERMENT
4	V76R2:H:E004	H1	HERBAL	f10r	V73_SELECTED_100_EVENT_INTERLINEAR.tsv	E004	80ebbbbf238eee9f0aef	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:80ebbbbf238eee9f0aef] > [CONTEXT_EXEMPLAR:ACTION]	Zerschneide ihn.	UNKNOWN_EXEMPLAR_WHOLE_CARD	Illustrated simple-drug article: root/water preparation, use, and storage.	Natural-specimen/material sheet: root fraction, wet processing, and storage assay.	INHERITED_FROM_FROZEN_SELECTED_SECTION__NO_NEW_GROUP_VALUE	NO_DICTIONARY_GLOSS_ADDED	BOOK_PURPOSE_LEVEL_ONLY__NO_GROUP_VALUE_TRANSFER	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES	BOOK_PURPOSE_BINDING_NOT_WORD_STEM_SOUND_LANGUAGE_OR_DECIPHERMENT
5	V76R2:H:E005	H1	HERBAL	f10r	V73_SELECTED_100_EVENT_INTERLINEAR.tsv	E005	df1098831679a8ad1b39	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:df1098831679a8ad1b39] > [CONTEXT_EXEMPLAR:CONTAINER_ACTION]	Gib die Stücke in ein Gefäß.	UNKNOWN_EXEMPLAR_WHOLE_CARD	Illustrated simple-drug article: root/water preparation, use, and storage.	Natural-specimen/material sheet: root fraction, wet processing, and storage assay.	INHERITED_FROM_FROZEN_SELECTED_SECTION__NO_NEW_GROUP_VALUE	NO_DICTIONARY_GLOSS_ADDED	BOOK_PURPOSE_LEVEL_ONLY__NO_GROUP_VALUE_TRANSFER	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES	BOOK_PURPOSE_BINDING_NOT_WORD_STEM_SOUND_LANGUAGE_OR_DECIPHERMENT
6	V76R2:H:E006	H1	HERBAL	f10r	V73_SELECTED_100_EVENT_INTERLINEAR.tsv	E006	12efe866f335461823a6	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:12efe866f335461823a6] > [CONTEXT_EXEMPLAR:MEDIUM]	Gieße Quellwasser darüber.	UNKNOWN_EXEMPLAR_WHOLE_CARD	Illustrated simple-drug article: root/water preparation, use, and storage.	Natural-specimen/material sheet: root fraction, wet processing, and storage assay.	INHERITED_FROM_FROZEN_SELECTED_SECTION__NO_NEW_GROUP_VALUE	NO_DICTIONARY_GLOSS_ADDED	BOOK_PURPOSE_LEVEL_ONLY__NO_GROUP_VALUE_TRANSFER	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES	BOOK_PURPOSE_BINDING_NOT_WORD_STEM_SOUND_LANGUAGE_OR_DECIPHERMENT
7	V76R2:H:E007	H1	HERBAL	f10r	V73_SELECTED_100_EVENT_INTERLINEAR.tsv	E007	62ff059766b21c7de083	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:62ff059766b21c7de083] > [CONTEXT_EXEMPLAR:PREPARATION]	Fange den ersten Auszug in einem Glas auf.	UNKNOWN_EXEMPLAR_WHOLE_CARD	Illustrated simple-drug article: root/water preparation, use, and storage.	Natural-specimen/material sheet: root fraction, wet processing, and storage assay.	INHERITED_FROM_FROZEN_SELECTED_SECTION__NO_NEW_GROUP_VALUE	NO_DICTIONARY_GLOSS_ADDED	BOOK_PURPOSE_LEVEL_ONLY__NO_GROUP_VALUE_TRANSFER	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES	BOOK_PURPOSE_BINDING_NOT_WORD_STEM_SOUND_LANGUAGE_OR_DECIPHERMENT
8	V76R2:H:E008	H1	HERBAL	f10r	V73_SELECTED_100_EVENT_INTERLINEAR.tsv	E008	276a7c2d74d1143446f4	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:276a7c2d74d1143446f4] > [PROVISIONAL_UNATTESTED_MNEMONIC_REDACTED] > [CONTEXT_EXEMPLAR:USE]	Gebrauche diesen Auszug innerlich.	PROVISIONAL_UNATTESTED_MNEMONIC__SOURCE_STATUS_RETAINED_ONLY_AS_PROVENANCE	Illustrated simple-drug article: root/water preparation, use, and storage.	Natural-specimen/material sheet: root fraction, wet processing, and storage assay.	INHERITED_FROM_FROZEN_SELECTED_SECTION__NO_NEW_GROUP_VALUE	NO_DICTIONARY_GLOSS_ADDED	BOOK_PURPOSE_LEVEL_ONLY__NO_GROUP_VALUE_TRANSFER	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES	BOOK_PURPOSE_BINDING_NOT_WORD_STEM_SOUND_LANGUAGE_OR_DECIPHERMENT
9	V76R2:H:E009	H1	HERBAL	f10r	V73_SELECTED_100_EVENT_INTERLINEAR.tsv	E009	2f1c5e56e8f0ff459065	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:2f1c5e56e8f0ff459065] > [PROVISIONAL_UNATTESTED_MNEMONIC_REDACTED] > [FORMAL:VORGABEPARAMETER?] > [CONTEXT_EXEMPLAR:DOSE]	Nimm davon das örtlich vorgeschriebene kleine Maß.	PROVISIONAL_UNATTESTED_MNEMONIC__SOURCE_STATUS_RETAINED_ONLY_AS_PROVENANCE	Illustrated simple-drug article: root/water preparation, use, and storage.	Natural-specimen/material sheet: root fraction, wet processing, and storage assay.	INHERITED_FROM_FROZEN_SELECTED_SECTION__NO_NEW_GROUP_VALUE	NO_DICTIONARY_GLOSS_ADDED	BOOK_PURPOSE_LEVEL_ONLY__NO_GROUP_VALUE_TRANSFER	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES	BOOK_PURPOSE_BINDING_NOT_WORD_STEM_SOUND_LANGUAGE_OR_DECIPHERMENT
10	V76R2:H:E010	H1	HERBAL	f10r	V73_SELECTED_100_EVENT_INTERLINEAR.tsv	E010	a6939862e33ece5a0483	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:a6939862e33ece5a0483] > [CONTEXT_EXEMPLAR:INDICATION_AND_STORAGE]	Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.	UNKNOWN_EXEMPLAR_WHOLE_CARD	Illustrated simple-drug article: root/water preparation, use, and storage.	Natural-specimen/material sheet: root fraction, wet processing, and storage assay.	INHERITED_FROM_FROZEN_SELECTED_SECTION__NO_NEW_GROUP_VALUE	NO_DICTIONARY_GLOSS_ADDED	BOOK_PURPOSE_LEVEL_ONLY__NO_GROUP_VALUE_TRANSFER	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES	BOOK_PURPOSE_BINDING_NOT_WORD_STEM_SOUND_LANGUAGE_OR_DECIPHERMENT
