contradiction_id	model	affected_units	contradiction	severity	containment	status
A01	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	ALL	No verified period witness in the audit combines an illustrated Herbal, a local bath-station atlas, and several celestial instruments in this exact architecture.	HIGH	Treat A as a composite period-purpose model, never as a located source manuscript.	OPEN
A02	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	H1-H5	Species, recipe media, doses, diseases, and exact actions remain unsupported source-class exemplars.	HIGH	Retain whole-plant owners and occurrence exemplars; add no portable form value.	OPEN
A03	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	B2-B6	Disconnected Bio scenes and owner breaks resist a continuous treatment flow.	HIGH	Model a station atlas with local articles, not one page-wide regimen or substance.	CONTAINED
A04	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	A1-A3	No visible rule connects the celestial instruments to diagnosis, treatment timing, or prognosis.	HIGH	Medical use is book-purpose context only; each wheel remains an anonymous local instrument.	OPEN
A05	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	ALL	A physician, apothecary, bath practitioner, and calendar specialist may be too broad a single user.	MEDIUM	Prefer an institutional/household workshop or practitioner network over a lone polymath owner.	OPEN
A06	A_PRACTITIONER_THERAPEUTIC_IATROMATHEMATICAL_COMPENDIUM	ALL	Multiple hands could record copying history rather than specialist division of labor.	MEDIUM	Keep multi-scribe production compatible with both specialist and sequential copying models.	OPEN
B01	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	H1-H5	The selected Herbal source-class articles are more recipe-like than captions or specimen labels.	HIGH	B must treat the recipe layer as a rival material protocol, not erase it.	OPEN
B02	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	B1-B6	Nude figures actively bathing fit therapeutic/topographic bath literature better than a pure machine modelbook.	HIGH	B is an image atlas of natural/artificial stations, not a claim that bodies are machine parts.	OPEN
B03	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	ALL	No visible natural/artificial/celestial taxonomy or section rubric proves an encyclopedic programme.	HIGH	Use the triad only as a purpose hypothesis explaining coexistence.	OPEN
B04	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	H1-B6	Long local text groups are costlier than the short-caption economy of the strongest image-modelbook comparators.	MEDIUM	Allow operational annotations or copied exemplars rather than simple picture names.	OPEN
B05	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	B2-B6	No visible arrows, dimensions, material labels, or stable hydraulic direction proves apparatus construction.	HIGH	Keep technical readings as local rivals only.	OPEN
B06	B_NATURAL_ARTIFICIAL_CELESTIAL_IMAGE_ATLAS_MODELBOOK	A1-A3	Celestial diagrams can be working instruments rather than teaching/model sheets.	MEDIUM	Do not infer decorative or pedagogic use from geometry alone.	OPEN
S01	SHARED	ALL	The target pages provide no verified readable source text, donor manuscript, codebook, nomenclator, or dictionary entry.	CRITICAL	No dictionary gloss was added anywhere in V76 R2.	SEALED
S02	SHARED	ALL	The ten-page sample cannot establish original binding order or the purpose of the complete book.	HIGH	Limit conclusions to the fixed ten-page workshop sample.	OPEN
S03	SHARED	ALL	Local text fitting around drawings supports target image-first planning but does not prove the order for every folio or section.	HIGH	State picture-first as a target working inference; period comparators show mixed production orders.	CONTAINED
S04	SHARED	A1-A3	No common start, direction, rotation, f68-f69 key, or prose-card import is visible.	CRITICAL	Preserve three local instrument namespaces and no cross-page calculation.	SEALED
