rubric_id	criterion	polarity	weight	medical_score_0_4	nonmedical_score_0_4	medical_weighted_contribution	nonmedical_weighted_contribution	symmetric_reason	epistemic_status
R01	VISIBLE_SECTION_FIT	BENEFIT	3	4	4	12	12	Both models accept whole plants, local figure/apparatus stations and celestial diagrams as drawn.	CREATIVE_PURPOSE_COMPARISON_NOT_EMPIRICAL_LIKELIHOOD
R02	FORMAL_OWNER_COVERAGE	BENEFIT	3	4	4	12	12	Both cover all 776 groups through exactly the same frozen owners and namespaces.	CREATIVE_PURPOSE_COMPARISON_NOT_EMPIRICAL_LIKELIHOOD
R03	LOCAL_EXECUTABILITY	BENEFIT	2	3	4	6	8	The operational rival needs fewer unshown indications; the medical model remains executable only through exemplar expansion.	CREATIVE_PURPOSE_COMPARISON_NOT_EMPIRICAL_LIKELIHOOD
R04	CROSS_SECTION_PURPOSE_COHESION	BENEFIT	4	4	2	16	8	Materia medica, balneology and celestial election form a tighter single-purpose chain than material lots, bathhouse operation and astronomy.	CREATIVE_PURPOSE_COMPARISON_NOT_EMPIRICAL_LIKELIHOOD
R05	PICTURE_FIRST_COMPILATION_FIT	BENEFIT	2	4	4	8	8	Both naturally permit image planning before text was fitted into residual spaces.	CREATIVE_PURPOSE_COMPARISON_NOT_EMPIRICAL_LIKELIHOOD
R06	MULTIPLE_HAND_WORKSHOP_FIT	BENEFIT	1	4	4	4	4	Both permit section/quire division among trained hands using one formal copying discipline.	CREATIVE_PURPOSE_COMPARISON_NOT_EMPIRICAL_LIKELIHOOD
R07	MASTER_EXEMPLAR_ECONOMY	BENEFIT	2	3	3	6	6	Both require lost exemplar values; neither recovers concrete content from group form.	CREATIVE_PURPOSE_COMPARISON_NOT_EMPIRICAL_LIKELIHOOD
R08	USER_PROFILE_PLAUSIBILITY	BENEFIT	2	3	3	6	6	A medical compiler/bath practitioner and an institutional workshop/bathhouse steward are both practical users, but neither is pictured or named.	CREATIVE_PURPOSE_COMPARISON_NOT_EMPIRICAL_LIKELIHOOD
R09	UNSUPPORTED_CONTENT_BURDEN	COST	4	4	3	-16	-12	Medical readings add indications, therapeutic valency and election; the rival adds plant-material and work-scheduling functions.	CREATIVE_PURPOSE_COMPARISON_NOT_EMPIRICAL_LIKELIHOOD
R10	GEOMETRY_OVERRIDE_BURDEN	COST	4	0	0	0	0	Both obey the V74 contact graph and V75 namespace/orientation guards.	CREATIVE_PURPOSE_COMPARISON_NOT_EMPIRICAL_LIKELIHOOD
R11	UNATTESTED_PORTABLE_GLOSS_BURDEN	COST	8	0	0	0	0	Neither model promotes a word; all concrete content remains occurrence-bound exemplar prose.	CREATIVE_PURPOSE_COMPARISON_NOT_EMPIRICAL_LIKELIHOOD
R12	MIXED_MISCELLANY_BURDEN	COST	1	1	3	-1	-3	The nonmedical book needs a broader institutional miscellany; the medical model needs less genre breadth.	CREATIVE_PURPOSE_COMPARISON_NOT_EMPIRICAL_LIKELIHOOD
