source_id	institution	shelfmark	date_place	genre	official_url	verified_features	supports_A	supports_B	production_evidence	limit	date_window_status	codebook_or_lexical_use	audit_status
S01	British Library	Egerton MS 2020	c.1390-1404; Padua/Italy	illustrated medicinal herbal	https://searcharchives.bl.uk/catalog/032-001982947	Italian Serapion herbal; numerous coloured plant miniatures; index; numerous reserved miniature spaces.	Strong Herbal-section and learned-practical materia-medica mechanism.	Illustrated natural-reference object and exemplar copying.	Reserved but unfilled miniature spaces prove planned image zones and an incomplete/mixed production campaign.	Reserved spaces contradict any universal rule that pictures always preceded text; it is not a bath or celestial compendium.	WITHIN_OR_OVERLAPPING_C1370_1450	NONE__MECHANISM_CALIBRATION_ONLY	PERIOD_COMPARATOR__NOT_DONOR_AND_NOT_IDENTITY_MATCH
S02	British Library	Sloane MS 4016	c.1440; Lombardy	image-dominant herbal	https://searcharchives.bl.uk/catalog/040-002116409	Full-page plant miniatures on every folio with captions, sometimes with animals or people.	An illustrated plant reference could serve materia medica.	Especially strong for picture-led atlas/modelbook organization.	Image-dominant folio design with short dependent captions.	No demonstrated bathing or celestial section and no proof of the target's exact production order.	WITHIN_OR_OVERLAPPING_C1370_1450	NONE__MECHANISM_CALIBRATION_ONLY	PERIOD_COMPARATOR__NOT_DONOR_AND_NOT_IDENTITY_MATCH
S03	Biblioteca Casanatense	MS 459 Historia Plantarum	late 14th century; Lombard court	illustrated natural-science encyclopedia	https://casanatense.cultura.gov.it/en/activities/editorials/historia-plantarum-ms-459/	Descriptions of plants, animals, and minerals with medical properties; over 500 illustrations and daily-life scenes.	Natural substances and health knowledge could coexist in a learned medical reference.	Strong courtly encyclopedic and image-atlas comparator.	Large coordinated illustrative campaign attributed in part to more than one artist.	Does not supply the target's bathing-station or multiwheel celestial architecture.	WITHIN_OR_OVERLAPPING_C1370_1450	NONE__MECHANISM_CALIBRATION_ONLY	PERIOD_COMPARATOR__NOT_DONOR_AND_NOT_IDENTITY_MATCH
S04	Morgan Library & Museum	MS G.74 De balneis Puteolanis	c.1400; southern Italy	illustrated therapeutic-baths catalogue	https://www.themorgan.org/manuscript/77063	36 vellum leaves, 31 large and 6 small miniatures; local bath buildings, nude bathers, water handling, and individual bath scenes.	Direct period mechanism for a sequence of locally distinct therapeutic bathing sites.	The same site-by-site images can function as an architectural/topographic atlas.	Large image-and-text programme organized by distinct local baths.	Its identifiable sites and conventional Latin text do not establish target meanings or a hydraulic network.	WITHIN_OR_OVERLAPPING_C1370_1450	NONE__MECHANISM_CALIBRATION_ONLY	PERIOD_COMPARATOR__NOT_DONOR_AND_NOT_IDENTITY_MATCH
S05	Wellcome Collection	MS.8515	c.1425; southern England	practical computational science and astrological medicine manual	https://wellcomecollection.org/works/w9nkm98w	Calendar, computus, planets, zodiacal administration of medicine, eclipse tables; later recipes in several hands.	Very strong direct evidence that celestial/calendar material served medicine and later accumulated recipes.	Also demonstrates a formal computational reference book with reusable diagrams/tables.	Core in one hand; recipes added by later hands and generations.	No plant-picture series or bathing atlas and no correspondence to target wheel labels.	WITHIN_OR_OVERLAPPING_C1370_1450	NONE__MECHANISM_CALIBRATION_ONLY	PERIOD_COMPARATOR__NOT_DONOR_AND_NOT_IDENTITY_MATCH
S06	Wellcome Collection	MS.8932	c.1415-1420; England	folding medical/astrological almanac	https://wellcomecollection.org/works/a2y8zd6x	Calendar, astrological tables and diagrams, Zodiac Man, eclipse data; information usable for medical diagnosis and prognosis.	Direct period evidence for a portable celestial/calendrical medical instrument.	Luxurious diagrammatic object also compatible with display and learned consultation.	Compartmental folding design and coordinated multi-colour diagram programme.	Different physical format; no Herbal or bath-station sequence.	WITHIN_OR_OVERLAPPING_C1370_1450	NONE__MECHANISM_CALIBRATION_ONLY	PERIOD_COMPARATOR__NOT_DONOR_AND_NOT_IDENTITY_MATCH
S07	British Library	Royal MS 17 A XVI	calendar for 1420; England	pictorial astronomical almanac	https://searcharchives.bl.uk/catalog/040-002107247	Pictorial calendar, zodiac signs, Zodiac Man, planetary/day volvelle, astronomical data, and later additions.	Supports practical calendar/astrological consultation adjacent to bodily medicine.	Strong comparator for autonomous illustrated celestial teaching/reference instruments.	Core pictorial calendar plus heterogeneous additions over time.	No evidence that the target diagrams calculate the same quantities.	WITHIN_OR_OVERLAPPING_C1370_1450	NONE__MECHANISM_CALIBRATION_ONLY	PERIOD_COMPARATOR__NOT_DONOR_AND_NOT_IDENTITY_MATCH
S08	Bayerische Staatsbibliothek	Cod.icon. 242	1420-1430; Venice	illustrated technical/artificialia book	https://www.digitale-sammlungen.de/de/details/bsb00013084	72 vellum leaves; image-centred technical collection including hydraulic machines, fountains, vessels, instruments, and constructions.	Only weakly: shows period technical apparatus that a practitioner might consult.	Very strong mechanism for a heterogeneous image/modelbook of artificial works.	BSB classifies it among image manuscripts with little or explanatory text.	A technical modelbook is not evidence that the target nude figures are machines, nor that plants or wheels belong to it.	WITHIN_OR_OVERLAPPING_C1370_1450	NONE__MECHANISM_CALIBRATION_ONLY	PERIOD_COMPARATOR__NOT_DONOR_AND_NOT_IDENTITY_MATCH
S09	Bayerische Staatsbibliothek	Clm 197,II, Taccola De ingeneis	c.1427-1441; Siena	technical drawing/copy workshop book	https://www.digitale-sammlungen.de/de/details/bsb00113809	136 paper leaves; Taccola among the scribes; pen drawings by Taccola and later sketches by Francesco di Giorgio.	Weak general evidence for practitioner compilation and later reuse.	Strong evidence for technical images, workshop copying, and multi-stage hands.	Author/scribe drawings plus later hand's sketches in the same physical object.	Its engineering subject does not identify the target Bio or celestial content.	WITHIN_OR_OVERLAPPING_C1370_1450	NONE__MECHANISM_CALIBRATION_ONLY	PERIOD_COMPARATOR__NOT_DONOR_AND_NOT_IDENTITY_MATCH
S10	Wellcome Collection	MS.MSL.139	14th century; Europe	modular medical compendium	https://wellcomecollection.org/works/ypdjvvqn	Assembly of seven booklets containing health tables, antidotary commentary, simples lists, regimen, experiments, and fever text.	Strong evidence that practical medical books were assembled from heterogeneous textual booklets.	Some evidence for composite rather than authorially unified book structure.	Physically separate booklets and several hands in listed components.	Date is broad; little support for image-first production or the specific three target sections.	BROAD_14C_TRANSMISSION_BACKGROUND	NONE__MECHANISM_CALIBRATION_ONLY	BROAD_DATE_BACKGROUND__NOT_DONOR_AND_NOT_IDENTITY_MATCH
