criterion	health_workshop	practical_miscellany	reason
Herbal picture-content fit	4	4	both use whole-plant articles
Biological figure-purpose fit	4	3	nude figures favor bathing/application over pure apparatus
Biological apparatus fit	3	4	local vessels and conduits favor operation
Celestial iconography fit	3	4	astronomical use visible, medical election not
Why sections coexist	4	2	materials/application/timing is the tighter single practical narrative; the miscellany needs a looser compilation motive
Picture-first layout	4	4	both predict it
Multiple-scribe workflow	4	4	shared exemplar and local card deck fit both
Semantic assumptions	2	3	health purpose needs more unseen use labels
Historical composite-book plausibility	4	3	materia medica, baths and celestial elections form a known practical cluster
Formal architecture economy	4	4	same exemplar machine
