unit_id	section	page	group_count	leading_health_workshop_purpose	strongest_practical_miscellany_rival	health_visible_fit_0_4	rival_visible_fit_0_4	selected_for_working_theory	hardest_contradiction	dictionary_status
H1	HERBAL	f10r	14	root/water extract and storage article	plant raw-material extraction lot	4	4	TIE	whole plant owner; no depicted remedy or illness	NO_PORTABLE_WORD_ADDED; ALL_CONTENT_OCCURRENCE_EXEMPLAR
H2	HERBAL	f10r	24	two harvest fractions joined into external salve	two harvest-state samples pressed and preserved	4	4	TIE	same picture owns second record; salve and lesion are exemplar-only	NO_PORTABLE_WORD_ADDED; ALL_CONTENT_OCCURRENCE_EXEMPLAR
H3	HERBAL	f11r	17	wine extract plus retained oil preparation	flower/leaf fractions clarified and archived	4	3	HEALTH_WORKSHOP	medical double-use is genre-plausible but unpictured	NO_PORTABLE_WORD_ADDED; ALL_CONTENT_OCCURRENCE_EXEMPLAR
H4	HERBAL	f55v	18	clarified leaf wash plus warm honey poultice	leaf macerate, filtration and binding test	4	4	TIE	wash/poultice and processing fit equally	NO_PORTABLE_WORD_ADDED; ALL_CONTENT_OCCURRENCE_EXEMPLAR
H5	HERBAL	f56r	27	brief topical leaf use plus dried chest preparation	sticky fresh sample plus dry extract batch	3	4	PRACTICAL_MISCELLANY	two medical uses require many unseen nouns	NO_PORTABLE_WORD_ADDED; ALL_CONTENT_OCCURRENCE_EXEMPLAR
B1	BIOLOGICAL	f81v	66	communal therapeutic bath regimen	shared bathhouse pool operation	4	4	TIE	figures and shared enclosure support both	NO_PORTABLE_WORD_ADDED; ALL_CONTENT_OCCURRENCE_EXEMPLAR
B2	BIOLOGICAL	f82r	62	several local baths, washes and applications	several disconnected basin/apparatus stations	4	4	TIE	local stations visible; treatment purpose not	NO_PORTABLE_WORD_ADDED; ALL_CONTENT_OCCURRENCE_EXEMPLAR
B3	BIOLOGICAL	f83r	86	series of local therapeutic stations	vessel, margin and linked-pair operating atlas	3	4	PRACTICAL_MISCELLANY	large unresolved owner gap penalizes continuous medicine	NO_PORTABLE_WORD_ADDED; ALL_CONTENT_OCCURRENCE_EXEMPLAR
B4	BIOLOGICAL	f83r	47	local wash/application variants	paired basin plus two maintenance posts	3	4	PRACTICAL_MISCELLANY	apparatus geometry stronger than indication	NO_PORTABLE_WORD_ADDED; ALL_CONTENT_OCCURRENCE_EXEMPLAR
B5	BIOLOGICAL	f83r	11	short therapeutic station addendum	left service-post addendum	2	4	PRACTICAL_MISCELLANY	independent technical record with no patient label	NO_PORTABLE_WORD_ADDED; ALL_CONTENT_OCCURRENCE_EXEMPLAR
B6	BIOLOGICAL	f83r	9	short therapeutic station addendum	right service-post addendum	2	4	PRACTICAL_MISCELLANY	hard reset and no medical anchor	NO_PORTABLE_WORD_ADDED; ALL_CONTENT_OCCURRENCE_EXEMPLAR
A1	ASTRO	f67r2	190	celestial election/reference wheels for health timing	two-wheel astronomical/calendar lookup	3	4	PRACTICAL_MISCELLANY	celestial relation visible; health use absent	NO_PORTABLE_WORD_ADDED; ALL_CONTENT_OCCURRENCE_EXEMPLAR
A2	ASTRO	f68r1	65	star-station atlas for medical timing	multipanel astronomical star atlas	3	4	PRACTICAL_MISCELLANY	celestial atlas visible; medical application absent	NO_PORTABLE_WORD_ADDED; ALL_CONTENT_OCCURRENCE_EXEMPLAR
A3	ASTRO	f69v	140	three celestial election wheels, left with 28 local notices	three astronomical/calendar wheels, left with 28 local notices	3	4	PRACTICAL_MISCELLANY	choice/avoidance and health are exemplar-only	NO_PORTABLE_WORD_ADDED; ALL_CONTENT_OCCURRENCE_EXEMPLAR
