score_id	criterion	weight	lead_score_0_4	lead_weighted	rival_score_0_4	rival_weighted	rationale	score_status
S01	Fit zu drei ausgewählten Abschnittsausgaben	3	4	12	3	9	Lead nutzt die konkrete Herbal-/Bad-/Himmelslesung; Rivale nutzt vor allem deren sichtbare Träger.	CREATIVE_COMPARISON_NOT_STATISTICAL_EVIDENCE
S02	praktische Kohärenz der 14 Einheiten	3	4	12	2	6	Material, Anwendung und Bedingung bilden eine plausible Praxisdreiteilung; der Rivale braucht keine operative Einheit.	CREATIVE_COMPARISON_NOT_STATISTICAL_EVIDENCE
S03	Bild-zuerst/Text-danach-Produktion	3	3	9	4	12	Beide passen; ein Musterbuch erwartet Bildpriorität besonders direkt.	CREATIVE_COMPARISON_NOT_STATISTICAL_EVIDENCE
S04	mehrere Schreiber und lokale Schablonen	2	4	8	4	8	Abschnittsspezialisierung ist unter beiden Zwecken gut lehrbar.	CREATIVE_COMPARISON_NOT_STATISTICAL_EVIDENCE
S05	Notwendigkeit eines Masterexemplars	3	4	12	4	12	Beide erklären, warum opake lokale Werte nicht aus der Oberfläche allein folgen.	CREATIVE_COMPARISON_NOT_STATISTICAL_EVIDENCE
S06	circa-1420 Nutzer- und Gebrauchspraxis	2	3	6	3	6	Unterrichtete Praxis- wie Bildwerkstätten sind zeitgemäße Arbeitsmilieus; keine enge Provenienz wird behauptet.	CREATIVE_COMPARISON_NOT_STATISTICAL_EVIDENCE
S07	warum die drei Sektionen koexistieren	3	4	12	3	9	Lead besitzt die stärkere Material→Anwendung→Bedingung-Klammer; Rivale besitzt eine breitere Naturalia/Kosmos-Klammer.	CREATIVE_COMPARISON_NOT_STATISTICAL_EVIDENCE
S08	fehlende direkte Crosspointer	3	3	9	4	12	Thematische Praxiszusammenstellung toleriert fehlende Pointer; ein Muster-Miscellaneum erwartet sie noch eher.	CREATIVE_COMPARISON_NOT_STATISTICAL_EVIDENCE
S09	Codebuchregel und null attestierte Wörter	3	4	12	4	12	Beide funktionieren mit occurrence-gebundenen Exemplarwerten und ohne portable Glossen.	CREATIVE_COMPARISON_NOT_STATISTICAL_EVIDENCE
S10	Widerspruchslast	2	2	4	3	6	Lead muss viele unbebilderte Inhalte und iatromedizinische Zwecke ergänzen; Rivale verliert dafür konkrete Gebrauchstiefe.	CREATIVE_COMPARISON_NOT_STATISTICAL_EVIDENCE
TOTAL	selector-paid creative total	27	NA	96	NA	92	C1420_ILLUSTRATED_PRACTITIONER_BATH_AND_CELESTIAL_ELECTION_COMPENDIUM leads narrowly by 4 weighted points; rival remains live.	LEAD_SELECTED_NARROWLY; RIVAL_NOT_REJECTED
