contradiction_id	scope	observation	pressure_on_lead_0_4	pressure_on_rival_0_4	allowed_repair	remaining_status	dictionary_effect	semantic_ceiling
C01	ALL	Kein direkter Herbal→Bio→Astro-Pointer ist sichtbar.	3	1	Lead nur als thematische, nicht ausführbare Kette formulieren.	OPEN	NO_PORTABLE_WORD_LICENSE	PURPOSE_PRESSURE_NOT_DECRYPTION_EVIDENCE
C02	HERBAL	Keine der vier Pflanzenarten ist identifiziert.	3	2	Ganzpflanzenbesitzer behalten; Artname offenlassen.	CONTAINED	NO_PORTABLE_WORD_LICENSE	PURPOSE_PRESSURE_NOT_DECRYPTION_EVIDENCE
C03	HERBAL	Medien, Dosen, Indikationen und viele Teile sind nicht gezeichnet.	4	2	Nur occurrence-gebundene Masterexemplarfüllung zulassen.	OPEN	NO_PORTABLE_WORD_LICENSE	PURPOSE_PRESSURE_NOT_DECRYPTION_EVIDENCE
C04	HERBAL	71/100 Ereignisse besitzen nur exemplarische, keine formale Inhaltsstützung.	4	3	V73-Bindung offenlegen; keine Wörter promovieren.	OPEN	NO_PORTABLE_WORD_LICENSE	PURPOSE_PRESSURE_NOT_DECRYPTION_EVIDENCE
C05	BIOLOGICAL	191/281 Ereignisse sind exemplarisch; nur 90 haben Mnemonic-/Formalstützung.	4	3	Lokale Station und Exemplarwert getrennt halten.	OPEN	NO_PORTABLE_WORD_LICENSE	PURPOSE_PRESSURE_NOT_DECRYPTION_EVIDENCE
C06	BIOLOGICAL	Kein seitenweiter Stoff, Pfeil, Rücklauf oder geschlossener Kreislauf ist gezeichnet.	3	1	Nur lokale, ungerichtete Kontakte und harte Resets verwenden.	CONTAINED	NO_PORTABLE_WORD_LICENSE	PURPOSE_PRESSURE_NOT_DECRYPTION_EVIDENCE
C07	BIOLOGICAL	32 Ereignisse liegen an ungelösten Besitzern; vier Aussagen queren echte Lücken.	3	2	Unresolved-Status und interne Besitzerresets unverändert binden.	CONTAINED	NO_PORTABLE_WORD_LICENSE	PURPOSE_PRESSURE_NOT_DECRYPTION_EVIDENCE
C08	ASTRO_A1	f67r2 zeigt keine globale 7×12-Matrix und keinen Rad-zu-Rad-Schlüssel.	2	1	Zwei Instrumente getrennt halten.	CONTAINED	NO_PORTABLE_WORD_LICENSE	PURPOSE_PRESSURE_NOT_DECRYPTION_EVIDENCE
C09	ASTRO_A2	f68r1 besitzt mehrere Paneele und Zentren statt eines Zentrum+28-Rades.	2	1	28 Sternetiketten nur räumlich und ungeordnet führen.	CONTAINED	NO_PORTABLE_WORD_LICENSE	PURPOSE_PRESSURE_NOT_DECRYPTION_EVIDENCE
C10	ASTRO_A3	f69v besitzt drei heterogene Räder; nur links etwa 28 Plätze.	2	1	Nur links lokales ungeordnetes 28-Inventar zulassen.	CONTAINED	NO_PORTABLE_WORD_LICENSE	PURPOSE_PRESSURE_NOT_DECRYPTION_EVIDENCE
C11	ASTRO	Start, Richtung, Rotation und f68↔f69-Key fehlen.	3	2	Alle Orientierungen ungewählt lassen.	CONTAINED	NO_PORTABLE_WORD_LICENSE	PURPOSE_PRESSURE_NOT_DECRYPTION_EVIDENCE
C12	DICTIONARY	Für keinen portablen Voynich-Wortwert liegt eine qualifizierende Codebuchattestation vor.	4	4	Alle Legacy-Mnemonics PROVISIONAL_UNATTESTED oder FORMAL_LABEL_NOT_WORD führen.	HARD_CEILING	PROVISIONAL_UNATTESTED_MNEMONIC_OR_FORMAL_LABEL_NOT_WORD	PURPOSE_PRESSURE_NOT_DECRYPTION_EVIDENCE
C13	PRODUCTION	Bild-zuerst kann reine Platzplanung sein und beweist keinen Buchzweck.	3	3	Nur Produktionskompatibilität, keine Semantik daraus ableiten.	OPEN	NO_PORTABLE_WORD_LICENSE	PURPOSE_PRESSURE_NOT_DECRYPTION_EVIDENCE
C14	HANDS	Mehrere Schreiber können arbeitsteilig kopieren, ohne unterschiedliche Inhalte verstanden zu haben.	2	2	Lokale Lehrschablonen behaupten, keine Wissensrollen identifizieren.	OPEN	NO_PORTABLE_WORD_LICENSE	PURPOSE_PRESSURE_NOT_DECRYPTION_EVIDENCE
C15	MASTER_EXEMPLAR	Das verlorene Masterexemplar kann beliebige occurrence-Werte aufnehmen und schwächt Falsifizierbarkeit.	4	4	Exemplarabhängigkeit als Kosten, nicht als Beweis behandeln.	OPEN_HIGH_COST	PROVISIONAL_UNATTESTED_MNEMONIC_OR_FORMAL_LABEL_NOT_WORD	PURPOSE_PRESSURE_NOT_DECRYPTION_EVIDENCE
C16	COVERAGE	V76s 776-Gruppen-Abdeckung ist nur eine Bindung an V73–V75, keine neue Inhaltsbestätigung.	4	4	Keine Zeile neu übersetzen; nur Zweckmodelle vergleichen.	HARD_CEILING	PROVISIONAL_UNATTESTED_MNEMONIC_OR_FORMAL_LABEL_NOT_WORD	PURPOSE_PRESSURE_NOT_DECRYPTION_EVIDENCE
