step	production_phase	lead_workflow	rival_workflow	visible_or_ledger_binding	hard_reset_or_ceiling
1	COMMISSION_AND_SCOPE	Eine kleine Praxis-/Hauswerkstatt bestellt ein kompaktes Bildnachschlagebuch.	Eine gelehrte Schreib-/Bildwerkstatt sammelt ein Muster- und Merkbuch.	Zweck wird nicht aus einer einzelnen Seite abgeleitet.	NO_SEMANTIC_STRING_ASSIGNMENT
2	GATHER_INDEPENDENT_QUIRES	Herbal-, Bade-/Stations- und Himmeltafeln aus getrennten Vorlagen zusammenbringen.	Naturalia-, Figuren-/Apparat- und Kosmographieblätter aus getrennten Musterbeständen zusammenbringen.	Abschnittsunterschiede und fehlende Crosspointer werden erwartet.	RESET_SOURCE_VOCABULARY_AT_SECTION_BOUNDARY
3	PLAN_HERBAL_IMAGES	Vier Ganzpflanzenbilder als Artikelbesitzer disponieren; f10r erhält zwei Records unter einem Bild.	Vier Pflanzenexemplare als Zeichen-/Bildmodelle disponieren.	Kein Pflanzenname oder Zutat wird aus dem Bild ergänzt.	WHOLE_PLANT_OWNER_ONLY
4	ADD_HERBAL_TEXT	Fünf occurrence-gebundene Artikel aus der Herbalvorlage in Restflächen eintragen.	Material-/Kopiernotizen um die Pflanzenmodelle setzen.	100 Ereignisse bleiben an H1–H5 gebunden.	NO_DICTIONARY_PROMOTION
5	PLAN_BIO_STATIONS	Lokale Bade-/Anwendungsbilder und Apparatekonfigurationen als Stationsbesitzer zeichnen.	Figuren-/Gefäß-/Bandmotive als eigenständige Modellstationen zeichnen.	Nur sichtbare Kontakte; keine globale Flussrichtung.	RESET_AT_VISIBLE_GAP
6	ADD_BIO_TEXT	Sechs Records stationenweise aus der balneologischen Vorlage ergänzen.	Bedien-, Varianten- oder Kopierlegenden lokal ergänzen.	281 Ereignisse und 16 Besitzer; ungelöste Zonen bleiben ungelöst.	NO_CROSS_STATION_CARRY
7	PLAN_CELESTIAL_INSTRUMENTS	Zwei f67-Räder, f68-Mehrpaneelatlas und drei f69-Räder vorzeichnen.	Himmelsdiagramme als Lehr-/Musterbilder vorzeichnen.	Mehrere Instrumente statt universaler Matrix.	RESET_AT_WHEEL_PANEL_PAGE
8	ADD_CELESTIAL_LABELS	395 lokale Himmels-/Kalenderetikettsegmente aus der Instrumentvorlage einsetzen.	395 lokale Kopier-/Merketikettsegmente einsetzen.	Kein Start, keine Richtung, Rotation oder f68↔f69-Verbindung.	LOCAL_NAMESPACE_ONLY
9	SECTION_SPECIALIST_COPYING	Verschiedene Schreiber lernen je eine Abschnittsschablone; ein Korrektor prüft Besitzer und Vollständigkeit.	Schreiber/Zeichner spezialisieren sich auf Pflanzen-, Figuren- und Radseiten.	Mehrhändigkeit erklärt Variation, beweist aber keinen Zweck.	SHARED_FORM_GRAMMAR_NOT_SHARED_GLOSS
10	MASTER_EXEMPLAR_CHECK	Occurrence-Werte gegen ausgeschriebene/unterrichtete Vorlage rücklesen.	Bild- und Legendenidentität gegen Werkstattvorlage rücklesen.	Ohne Exemplar bleiben konkrete Werte unbekannt.	EXEMPLAR_VALUE_NOT_PORTABLE_WORD
11	ASSEMBLE_OR_BIND	Drei thematisch aufeinander bezogene, aber nicht direkt verlinkte Quellenlagen zusammenführen.	Drei Bildrepertorien als gelehrtes Miscellaneum zusammenführen.	Physische Gesamtordnung wird aus zehn Seiten nicht rekonstruiert.	NO_INFERRED_CROSS_SECTION_POINTER
12	APPRENTICE_USE	Bildbesitzer wählen, lokalen Artikel/Station/Instrumenteintrag konsultieren und jeden Grenzreset beachten.	Bildtyp zeigen, lokale Legende kopieren/rezitieren und Varianten unterscheiden.	Lehrbarkeit beruht auf Bildort+Exemplar, nicht auf entschlüsselten Wörtern.	ALL_LEGACY_MNEMONICS_PROVISIONAL_UNATTESTED
