unit_id	problem	repair	fatal
H1	whole plant owner; no depicted remedy or illness	retain leading purpose as occurrence-bound edition; keep rival adjacent; add no dictionary word	NO
H2	same picture owns second record; salve and lesion are exemplar-only	retain leading purpose as occurrence-bound edition; keep rival adjacent; add no dictionary word	NO
H3	medical double-use is genre-plausible but unpictured	retain leading purpose as occurrence-bound edition; keep rival adjacent; add no dictionary word	NO
H4	wash/poultice and processing fit equally	retain leading purpose as occurrence-bound edition; keep rival adjacent; add no dictionary word	NO
H5	two medical uses require many unseen nouns	retain leading purpose as occurrence-bound edition; keep rival adjacent; add no dictionary word	NO
B1	figures and shared enclosure support both	retain leading purpose as occurrence-bound edition; keep rival adjacent; add no dictionary word	NO
B2	local stations visible; treatment purpose not	retain leading purpose as occurrence-bound edition; keep rival adjacent; add no dictionary word	NO
B3	large unresolved owner gap penalizes continuous medicine	retain leading purpose as occurrence-bound edition; keep rival adjacent; add no dictionary word	NO
B4	apparatus geometry stronger than indication	retain leading purpose as occurrence-bound edition; keep rival adjacent; add no dictionary word	NO
B5	independent technical record with no patient label	retain leading purpose as occurrence-bound edition; keep rival adjacent; add no dictionary word	NO
B6	hard reset and no medical anchor	retain leading purpose as occurrence-bound edition; keep rival adjacent; add no dictionary word	NO
A1	celestial relation visible; health use absent	retain leading purpose as occurrence-bound edition; keep rival adjacent; add no dictionary word	NO
A2	celestial atlas visible; medical application absent	retain leading purpose as occurrence-bound edition; keep rival adjacent; add no dictionary word	NO
A3	choice/avoidance and health are exemplar-only	retain leading purpose as occurrence-bound edition; keep rival adjacent; add no dictionary word	NO
