matrix_row	unit_id	section	page	bound_group_kind	bound_group_count	subunit_kind	subunit_count	source_summary_file	source_detail_file	source_detail_sha256	source_unit_selector	visible_owner_or_instrument_binding	selected_v73_v75_content_binding	lead_book_purpose	lead_unit_role	rival_book_purpose	rival_unit_role	practical_use_at_unit	compilation_source_layer	picture_first_production	multiple_scribe_fit	master_exemplar_dependency	lead_intended_user	rival_intended_user	apprentice_lesson	coexistence_explanation	legacy_mnemonic_status	qualifying_codebook_attestations	strongest_unit_contradiction	semantic_ceiling
1	H1	HERBAL	f10r	PROSE_EVENT	14	FIELD	2	experiments/yolo/sidequest_theory_candidates_v73/V73_SELECTED_FIVE_ARTICLES.tsv	experiments/yolo/sidequest_theory_candidates_v73/V73_SELECTED_100_EVENT_INTERLINEAR.tsv	de9dbc9b7bf834090ee50707f59e3e7f6490844461a7670ad80d720479b645dc	record_unit_id=H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Wurzel-/Pflanzenmaterial reinigen, wässrig ausziehen, kleine Portion führen und Rest lagern	C1420_ILLUSTRATED_PRACTITIONER_BATH_AND_CELESTIAL_ELECTION_COMPENDIUM	materia-medica-/Receptarium-Artikel: Bildpflanze wählen, occurrence-gebundene Zubereitung und Gebrauch nachschlagen	C1420_NATURALIA_COSMOGRAPHIA_WORKSHOP_MODEL_AND_MEMORY_BOOK	Pflanzenexemplar und Materialprozess-Musterblatt ohne Arznei- oder Indikationsanspruch	ein lokaler Pflanzenartikel für Auswahl, Aufbereitung, Portion und Lagerung	eigenständiges Herbal-/Receptarium-Vorlagenheft; Ganzpflanzenbild zuerst, Artikeltext danach	VISIBLE_OWNER_OR_INSTRUMENT_LAID_OUT_BEFORE_LOCAL_TEXT; SPACE_FIT_IS_COMPATIBLE_NOT_PURPOSE_PROOF	SECTION_TEMPLATE_CAN_BE_LEARNED_LOCALLY; SHARED_PAGE_GRAMMAR_DOES_NOT_REQUIRE_SHARED_SEMANTICS	HIGH__VISIBLE_FORM_PRESERVES_LOCAL_IDENTITY_BUT_OCCURRENCE_CONTENT_IS_NOT_SELF_DECODING	unterrichteter Praktiker, Bad-/Heilgehilfe oder Haus-/Infirmariumsnutzer mit Zugriff auf Vorwissen/Exemplar	Schreiber, Zeichner oder Schüler einer gelehrten Werkstatt, der Bildtypen und lokale Legenden kopiert/rezitiert	Ganzpflanzenbesitzer setzen, Ereignisfolge vollständig kopieren, exemplarische Zutaten/Aktionen nicht ins Wörterbuch übertragen	LEAD: Pflanzenmaterial → lokale Anwendung/Bad → himmlische Bedingung als thematische Dreiteilung ohne Direktpointer; RIVAL: Naturalia → Körper-/Apparatbilder → Kosmographie als gemeinsamer visueller Muster- und Merkbestand	PROVISIONAL_UNATTESTED_MNEMONIC_OR_FORMAL_LABEL_NOT_WORD	0	Das Bild trägt den ganzen Pflanzenartikel, aber weder Artname noch Rezeptmedien, Indikationen, Mengen oder genaue Ereigniswerte.	BOOK_PURPOSE_COMPETITION_NOT_WORD_MEANING_LANGUAGE_OR_TRANSLATION
2	H2	HERBAL	f10r	PROSE_EVENT	24	FIELD	3	experiments/yolo/sidequest_theory_candidates_v73/V73_SELECTED_FIVE_ARTICLES.tsv	experiments/yolo/sidequest_theory_candidates_v73/V73_SELECTED_100_EVENT_INTERLINEAR.tsv	de9dbc9b7bf834090ee50707f59e3e7f6490844461a7670ad80d720479b645dc	record_unit_id=H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	zwei Erntefraktionen pressen, vereinigen und als ölhaltige äußere Zubereitung führen	C1420_ILLUSTRATED_PRACTITIONER_BATH_AND_CELESTIAL_ELECTION_COMPENDIUM	materia-medica-/Receptarium-Artikel: Bildpflanze wählen, occurrence-gebundene Zubereitung und Gebrauch nachschlagen	C1420_NATURALIA_COSMOGRAPHIA_WORKSHOP_MODEL_AND_MEMORY_BOOK	Pflanzenexemplar und Materialprozess-Musterblatt ohne Arznei- oder Indikationsanspruch	ein lokaler Pflanzenartikel für Auswahl, Aufbereitung, Portion und Lagerung	eigenständiges Herbal-/Receptarium-Vorlagenheft; Ganzpflanzenbild zuerst, Artikeltext danach	VISIBLE_OWNER_OR_INSTRUMENT_LAID_OUT_BEFORE_LOCAL_TEXT; SPACE_FIT_IS_COMPATIBLE_NOT_PURPOSE_PROOF	SECTION_TEMPLATE_CAN_BE_LEARNED_LOCALLY; SHARED_PAGE_GRAMMAR_DOES_NOT_REQUIRE_SHARED_SEMANTICS	HIGH__VISIBLE_FORM_PRESERVES_LOCAL_IDENTITY_BUT_OCCURRENCE_CONTENT_IS_NOT_SELF_DECODING	unterrichteter Praktiker, Bad-/Heilgehilfe oder Haus-/Infirmariumsnutzer mit Zugriff auf Vorwissen/Exemplar	Schreiber, Zeichner oder Schüler einer gelehrten Werkstatt, der Bildtypen und lokale Legenden kopiert/rezitiert	Ganzpflanzenbesitzer setzen, Ereignisfolge vollständig kopieren, exemplarische Zutaten/Aktionen nicht ins Wörterbuch übertragen	LEAD: Pflanzenmaterial → lokale Anwendung/Bad → himmlische Bedingung als thematische Dreiteilung ohne Direktpointer; RIVAL: Naturalia → Körper-/Apparatbilder → Kosmographie als gemeinsamer visueller Muster- und Merkbestand	PROVISIONAL_UNATTESTED_MNEMONIC_OR_FORMAL_LABEL_NOT_WORD	0	Das Bild trägt den ganzen Pflanzenartikel, aber weder Artname noch Rezeptmedien, Indikationen, Mengen oder genaue Ereigniswerte.	BOOK_PURPOSE_COMPETITION_NOT_WORD_MEANING_LANGUAGE_OR_TRANSLATION
3	H3	HERBAL	f11r	PROSE_EVENT	17	FIELD	4	experiments/yolo/sidequest_theory_candidates_v73/V73_SELECTED_FIVE_ARTICLES.tsv	experiments/yolo/sidequest_theory_candidates_v73/V73_SELECTED_100_EVENT_INTERLINEAR.tsv	de9dbc9b7bf834090ee50707f59e3e7f6490844461a7670ad80d720479b645dc	record_unit_id=H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	Blüten-/Blattmaterial in Wein ausziehen, klären und einen zweiten Ölposten halten	C1420_ILLUSTRATED_PRACTITIONER_BATH_AND_CELESTIAL_ELECTION_COMPENDIUM	materia-medica-/Receptarium-Artikel: Bildpflanze wählen, occurrence-gebundene Zubereitung und Gebrauch nachschlagen	C1420_NATURALIA_COSMOGRAPHIA_WORKSHOP_MODEL_AND_MEMORY_BOOK	Pflanzenexemplar und Materialprozess-Musterblatt ohne Arznei- oder Indikationsanspruch	ein lokaler Pflanzenartikel für Auswahl, Aufbereitung, Portion und Lagerung	eigenständiges Herbal-/Receptarium-Vorlagenheft; Ganzpflanzenbild zuerst, Artikeltext danach	VISIBLE_OWNER_OR_INSTRUMENT_LAID_OUT_BEFORE_LOCAL_TEXT; SPACE_FIT_IS_COMPATIBLE_NOT_PURPOSE_PROOF	SECTION_TEMPLATE_CAN_BE_LEARNED_LOCALLY; SHARED_PAGE_GRAMMAR_DOES_NOT_REQUIRE_SHARED_SEMANTICS	HIGH__VISIBLE_FORM_PRESERVES_LOCAL_IDENTITY_BUT_OCCURRENCE_CONTENT_IS_NOT_SELF_DECODING	unterrichteter Praktiker, Bad-/Heilgehilfe oder Haus-/Infirmariumsnutzer mit Zugriff auf Vorwissen/Exemplar	Schreiber, Zeichner oder Schüler einer gelehrten Werkstatt, der Bildtypen und lokale Legenden kopiert/rezitiert	Ganzpflanzenbesitzer setzen, Ereignisfolge vollständig kopieren, exemplarische Zutaten/Aktionen nicht ins Wörterbuch übertragen	LEAD: Pflanzenmaterial → lokale Anwendung/Bad → himmlische Bedingung als thematische Dreiteilung ohne Direktpointer; RIVAL: Naturalia → Körper-/Apparatbilder → Kosmographie als gemeinsamer visueller Muster- und Merkbestand	PROVISIONAL_UNATTESTED_MNEMONIC_OR_FORMAL_LABEL_NOT_WORD	0	Das Bild trägt den ganzen Pflanzenartikel, aber weder Artname noch Rezeptmedien, Indikationen, Mengen oder genaue Ereigniswerte.	BOOK_PURPOSE_COMPETITION_NOT_WORD_MEANING_LANGUAGE_OR_TRANSLATION
4	H4	HERBAL	f55v	PROSE_EVENT	18	FIELD	4	experiments/yolo/sidequest_theory_candidates_v73/V73_SELECTED_FIVE_ARTICLES.tsv	experiments/yolo/sidequest_theory_candidates_v73/V73_SELECTED_100_EVENT_INTERLINEAR.tsv	de9dbc9b7bf834090ee50707f59e3e7f6490844461a7670ad80d720479b645dc	record_unit_id=H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	Blattansatz klären sowie zweiten warmen Honig-/Auflageposten führen	C1420_ILLUSTRATED_PRACTITIONER_BATH_AND_CELESTIAL_ELECTION_COMPENDIUM	materia-medica-/Receptarium-Artikel: Bildpflanze wählen, occurrence-gebundene Zubereitung und Gebrauch nachschlagen	C1420_NATURALIA_COSMOGRAPHIA_WORKSHOP_MODEL_AND_MEMORY_BOOK	Pflanzenexemplar und Materialprozess-Musterblatt ohne Arznei- oder Indikationsanspruch	ein lokaler Pflanzenartikel für Auswahl, Aufbereitung, Portion und Lagerung	eigenständiges Herbal-/Receptarium-Vorlagenheft; Ganzpflanzenbild zuerst, Artikeltext danach	VISIBLE_OWNER_OR_INSTRUMENT_LAID_OUT_BEFORE_LOCAL_TEXT; SPACE_FIT_IS_COMPATIBLE_NOT_PURPOSE_PROOF	SECTION_TEMPLATE_CAN_BE_LEARNED_LOCALLY; SHARED_PAGE_GRAMMAR_DOES_NOT_REQUIRE_SHARED_SEMANTICS	HIGH__VISIBLE_FORM_PRESERVES_LOCAL_IDENTITY_BUT_OCCURRENCE_CONTENT_IS_NOT_SELF_DECODING	unterrichteter Praktiker, Bad-/Heilgehilfe oder Haus-/Infirmariumsnutzer mit Zugriff auf Vorwissen/Exemplar	Schreiber, Zeichner oder Schüler einer gelehrten Werkstatt, der Bildtypen und lokale Legenden kopiert/rezitiert	Ganzpflanzenbesitzer setzen, Ereignisfolge vollständig kopieren, exemplarische Zutaten/Aktionen nicht ins Wörterbuch übertragen	LEAD: Pflanzenmaterial → lokale Anwendung/Bad → himmlische Bedingung als thematische Dreiteilung ohne Direktpointer; RIVAL: Naturalia → Körper-/Apparatbilder → Kosmographie als gemeinsamer visueller Muster- und Merkbestand	PROVISIONAL_UNATTESTED_MNEMONIC_OR_FORMAL_LABEL_NOT_WORD	0	Das Bild trägt den ganzen Pflanzenartikel, aber weder Artname noch Rezeptmedien, Indikationen, Mengen oder genaue Ereigniswerte.	BOOK_PURPOSE_COMPETITION_NOT_WORD_MEANING_LANGUAGE_OR_TRANSLATION
5	H5	HERBAL	f56r	PROSE_EVENT	27	FIELD	7	experiments/yolo/sidequest_theory_candidates_v73/V73_SELECTED_FIVE_ARTICLES.tsv	experiments/yolo/sidequest_theory_candidates_v73/V73_SELECTED_100_EVENT_INTERLINEAR.tsv	de9dbc9b7bf834090ee50707f59e3e7f6490844461a7670ad80d720479b645dc	record_unit_id=H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	frisches Pflanzenmaterial kurz äußerlich verwenden und Rest trocknen/ausziehen	C1420_ILLUSTRATED_PRACTITIONER_BATH_AND_CELESTIAL_ELECTION_COMPENDIUM	materia-medica-/Receptarium-Artikel: Bildpflanze wählen, occurrence-gebundene Zubereitung und Gebrauch nachschlagen	C1420_NATURALIA_COSMOGRAPHIA_WORKSHOP_MODEL_AND_MEMORY_BOOK	Pflanzenexemplar und Materialprozess-Musterblatt ohne Arznei- oder Indikationsanspruch	ein lokaler Pflanzenartikel für Auswahl, Aufbereitung, Portion und Lagerung	eigenständiges Herbal-/Receptarium-Vorlagenheft; Ganzpflanzenbild zuerst, Artikeltext danach	VISIBLE_OWNER_OR_INSTRUMENT_LAID_OUT_BEFORE_LOCAL_TEXT; SPACE_FIT_IS_COMPATIBLE_NOT_PURPOSE_PROOF	SECTION_TEMPLATE_CAN_BE_LEARNED_LOCALLY; SHARED_PAGE_GRAMMAR_DOES_NOT_REQUIRE_SHARED_SEMANTICS	HIGH__VISIBLE_FORM_PRESERVES_LOCAL_IDENTITY_BUT_OCCURRENCE_CONTENT_IS_NOT_SELF_DECODING	unterrichteter Praktiker, Bad-/Heilgehilfe oder Haus-/Infirmariumsnutzer mit Zugriff auf Vorwissen/Exemplar	Schreiber, Zeichner oder Schüler einer gelehrten Werkstatt, der Bildtypen und lokale Legenden kopiert/rezitiert	Ganzpflanzenbesitzer setzen, Ereignisfolge vollständig kopieren, exemplarische Zutaten/Aktionen nicht ins Wörterbuch übertragen	LEAD: Pflanzenmaterial → lokale Anwendung/Bad → himmlische Bedingung als thematische Dreiteilung ohne Direktpointer; RIVAL: Naturalia → Körper-/Apparatbilder → Kosmographie als gemeinsamer visueller Muster- und Merkbestand	PROVISIONAL_UNATTESTED_MNEMONIC_OR_FORMAL_LABEL_NOT_WORD	0	Das Bild trägt den ganzen Pflanzenartikel, aber weder Artname noch Rezeptmedien, Indikationen, Mengen oder genaue Ereigniswerte.	BOOK_PURPOSE_COMPETITION_NOT_WORD_MEANING_LANGUAGE_OR_TRANSLATION
6	B1	BIOLOGICAL	f81v	PROSE_EVENT	66	FIELD	24	experiments/yolo/sidequest_theory_candidates_v74/V74_SELECTED_SIX_RECORD_EDITION.tsv	experiments/yolo/sidequest_theory_candidates_v74/V74_SELECTED_281_EVENT_INTERLINEAR.tsv	201b1126f3922758bf76eb8bd15180ec6a8c38c4b66a5a9e68b4583c5a42cfe3	record_unit_id=B1	B1_SHARED_TWO_ROW_POOL	Ein gemeinsames Badefeld erhält ein lokales Regimen aus Bereitstellen, Bemessen, Temperieren, Baden/Waschen, Spülen, Absetzen und Abschluss. Die zwei Figurenreihen sind keine zeitliche Vorher-/Nachher-Folge.	C1420_ILLUSTRATED_PRACTITIONER_BATH_AND_CELESTIAL_ELECTION_COMPENDIUM	lokaler Bade-/Wasch-/Anwendungsstationsartikel innerhalb eines therapeutischen Praxisatlas	C1420_NATURALIA_COSMOGRAPHIA_WORKSHOP_MODEL_AND_MEMORY_BOOK	Badehaus-/Apparate- oder ikonographisches Stationsmuster ohne Patientensemantik	eine lokale Station einrichten oder konsultieren; an jeder Bildlücke Stoff, Ziel und Richtung löschen	eigenständiges balneologisches/Stations-Vorlagenheft; Großkonfiguration zuerst, lokale Texte danach	VISIBLE_OWNER_OR_INSTRUMENT_LAID_OUT_BEFORE_LOCAL_TEXT; SPACE_FIT_IS_COMPATIBLE_NOT_PURPOSE_PROOF	SECTION_TEMPLATE_CAN_BE_LEARNED_LOCALLY; SHARED_PAGE_GRAMMAR_DOES_NOT_REQUIRE_SHARED_SEMANTICS	HIGH__VISIBLE_FORM_PRESERVES_LOCAL_IDENTITY_BUT_OCCURRENCE_CONTENT_IS_NOT_SELF_DECODING	unterrichteter Praktiker, Bad-/Heilgehilfe oder Haus-/Infirmariumsnutzer mit Zugriff auf Vorwissen/Exemplar	Schreiber, Zeichner oder Schüler einer gelehrten Werkstatt, der Bildtypen und lokale Legenden kopiert/rezitiert	kleinsten sichtbaren Stationsbesitzer setzen, nur echte Kontakte übernehmen, nie globalen Fluss ergänzen	LEAD: Pflanzenmaterial → lokale Anwendung/Bad → himmlische Bedingung als thematische Dreiteilung ohne Direktpointer; RIVAL: Naturalia → Körper-/Apparatbilder → Kosmographie als gemeinsamer visueller Muster- und Merkbestand	PROVISIONAL_UNATTESTED_MNEMONIC_OR_FORMAL_LABEL_NOT_WORD	0	Die Bildseite trägt lokale Figuren-/Apparatestationen, aber keinen seitenweiten Stoff, keine gemeinsame Richtung und keinen geschlossenen Kreislauf.	BOOK_PURPOSE_COMPETITION_NOT_WORD_MEANING_LANGUAGE_OR_TRANSLATION
7	B2	BIOLOGICAL	f82r	PROSE_EVENT	62	FIELD	26	experiments/yolo/sidequest_theory_candidates_v74/V74_SELECTED_SIX_RECORD_EDITION.tsv	experiments/yolo/sidequest_theory_candidates_v74/V74_SELECTED_281_EVENT_INTERLINEAR.tsv	201b1126f3922758bf76eb8bd15180ec6a8c38c4b66a5a9e68b4583c5a42cfe3	record_unit_id=B2	B2_UPPER_PAIRED_BASINS_AND_CYLINDER|B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE|B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL|B2_LOWER_POOL_EDGE_STATIONS	Ein Stationskatalog führt nacheinander obere Paarbecken/Zylinder, eine mittlere Gerätefigur, einen ungelösten Linie-/Liegeposten, das untere Mehrfigurenfeld und dessen Randplätze. Jeder Wechsel setzt Stoff und Richtung zurück.	C1420_ILLUSTRATED_PRACTITIONER_BATH_AND_CELESTIAL_ELECTION_COMPENDIUM	lokaler Bade-/Wasch-/Anwendungsstationsartikel innerhalb eines therapeutischen Praxisatlas	C1420_NATURALIA_COSMOGRAPHIA_WORKSHOP_MODEL_AND_MEMORY_BOOK	Badehaus-/Apparate- oder ikonographisches Stationsmuster ohne Patientensemantik	eine lokale Station einrichten oder konsultieren; an jeder Bildlücke Stoff, Ziel und Richtung löschen	eigenständiges balneologisches/Stations-Vorlagenheft; Großkonfiguration zuerst, lokale Texte danach	VISIBLE_OWNER_OR_INSTRUMENT_LAID_OUT_BEFORE_LOCAL_TEXT; SPACE_FIT_IS_COMPATIBLE_NOT_PURPOSE_PROOF	SECTION_TEMPLATE_CAN_BE_LEARNED_LOCALLY; SHARED_PAGE_GRAMMAR_DOES_NOT_REQUIRE_SHARED_SEMANTICS	HIGH__VISIBLE_FORM_PRESERVES_LOCAL_IDENTITY_BUT_OCCURRENCE_CONTENT_IS_NOT_SELF_DECODING	unterrichteter Praktiker, Bad-/Heilgehilfe oder Haus-/Infirmariumsnutzer mit Zugriff auf Vorwissen/Exemplar	Schreiber, Zeichner oder Schüler einer gelehrten Werkstatt, der Bildtypen und lokale Legenden kopiert/rezitiert	kleinsten sichtbaren Stationsbesitzer setzen, nur echte Kontakte übernehmen, nie globalen Fluss ergänzen	LEAD: Pflanzenmaterial → lokale Anwendung/Bad → himmlische Bedingung als thematische Dreiteilung ohne Direktpointer; RIVAL: Naturalia → Körper-/Apparatbilder → Kosmographie als gemeinsamer visueller Muster- und Merkbestand	PROVISIONAL_UNATTESTED_MNEMONIC_OR_FORMAL_LABEL_NOT_WORD	0	Die Bildseite trägt lokale Figuren-/Apparatestationen, aber keinen seitenweiten Stoff, keine gemeinsame Richtung und keinen geschlossenen Kreislauf.	BOOK_PURPOSE_COMPETITION_NOT_WORD_MEANING_LANGUAGE_OR_TRANSLATION
8	B3	BIOLOGICAL	f83r	PROSE_EVENT	86	FIELD	38	experiments/yolo/sidequest_theory_candidates_v74/V74_SELECTED_SIX_RECORD_EDITION.tsv	experiments/yolo/sidequest_theory_candidates_v74/V74_SELECTED_281_EVENT_INTERLINEAR.tsv	201b1126f3922758bf76eb8bd15180ec6a8c38c4b66a5a9e68b4583c5a42cfe3	record_unit_id=B3	B3_UPPER_MARGIN_OPEN_FAN_STATION|B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION|B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR	Drei getrennte Randstationen tragen kurze Bade-/Waschartikel; danach folgt ein eigentümerloser Zwischenbereich und erst nach erneutem Reset das tatsächlich durch einen Bogen gekoppelte Hauptpaar.	C1420_ILLUSTRATED_PRACTITIONER_BATH_AND_CELESTIAL_ELECTION_COMPENDIUM	lokaler Bade-/Wasch-/Anwendungsstationsartikel innerhalb eines therapeutischen Praxisatlas	C1420_NATURALIA_COSMOGRAPHIA_WORKSHOP_MODEL_AND_MEMORY_BOOK	Badehaus-/Apparate- oder ikonographisches Stationsmuster ohne Patientensemantik	eine lokale Station einrichten oder konsultieren; an jeder Bildlücke Stoff, Ziel und Richtung löschen	eigenständiges balneologisches/Stations-Vorlagenheft; Großkonfiguration zuerst, lokale Texte danach	VISIBLE_OWNER_OR_INSTRUMENT_LAID_OUT_BEFORE_LOCAL_TEXT; SPACE_FIT_IS_COMPATIBLE_NOT_PURPOSE_PROOF	SECTION_TEMPLATE_CAN_BE_LEARNED_LOCALLY; SHARED_PAGE_GRAMMAR_DOES_NOT_REQUIRE_SHARED_SEMANTICS	HIGH__VISIBLE_FORM_PRESERVES_LOCAL_IDENTITY_BUT_OCCURRENCE_CONTENT_IS_NOT_SELF_DECODING	unterrichteter Praktiker, Bad-/Heilgehilfe oder Haus-/Infirmariumsnutzer mit Zugriff auf Vorwissen/Exemplar	Schreiber, Zeichner oder Schüler einer gelehrten Werkstatt, der Bildtypen und lokale Legenden kopiert/rezitiert	kleinsten sichtbaren Stationsbesitzer setzen, nur echte Kontakte übernehmen, nie globalen Fluss ergänzen	LEAD: Pflanzenmaterial → lokale Anwendung/Bad → himmlische Bedingung als thematische Dreiteilung ohne Direktpointer; RIVAL: Naturalia → Körper-/Apparatbilder → Kosmographie als gemeinsamer visueller Muster- und Merkbestand	PROVISIONAL_UNATTESTED_MNEMONIC_OR_FORMAL_LABEL_NOT_WORD	0	Die Bildseite trägt lokale Figuren-/Apparatestationen, aber keinen seitenweiten Stoff, keine gemeinsame Richtung und keinen geschlossenen Kreislauf.	BOOK_PURPOSE_COMPETITION_NOT_WORD_MEANING_LANGUAGE_OR_TRANSLATION
9	B4	BIOLOGICAL	f83r	PROSE_EVENT	47	FIELD	20	experiments/yolo/sidequest_theory_candidates_v74/V74_SELECTED_SIX_RECORD_EDITION.tsv	experiments/yolo/sidequest_theory_candidates_v74/V74_SELECTED_281_EVENT_INTERLINEAR.tsv	201b1126f3922758bf76eb8bd15180ec6a8c38c4b66a5a9e68b4583c5a42cfe3	record_unit_id=B4	B4_MAIN_ARCH_LINKED_PAIR|B4_MAIN_LEFT_OPEN_FRINGE_STATION|B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	Das Hauptbogenpaar trägt lokale Wasch-/Auflagehandlungen; anschließend folgen getrennt die linke offene Fransenstation und die rechte S-Lauf-/Mehrarmstation. Zwischen links und rechts besteht keine Kante.	C1420_ILLUSTRATED_PRACTITIONER_BATH_AND_CELESTIAL_ELECTION_COMPENDIUM	lokaler Bade-/Wasch-/Anwendungsstationsartikel innerhalb eines therapeutischen Praxisatlas	C1420_NATURALIA_COSMOGRAPHIA_WORKSHOP_MODEL_AND_MEMORY_BOOK	Badehaus-/Apparate- oder ikonographisches Stationsmuster ohne Patientensemantik	eine lokale Station einrichten oder konsultieren; an jeder Bildlücke Stoff, Ziel und Richtung löschen	eigenständiges balneologisches/Stations-Vorlagenheft; Großkonfiguration zuerst, lokale Texte danach	VISIBLE_OWNER_OR_INSTRUMENT_LAID_OUT_BEFORE_LOCAL_TEXT; SPACE_FIT_IS_COMPATIBLE_NOT_PURPOSE_PROOF	SECTION_TEMPLATE_CAN_BE_LEARNED_LOCALLY; SHARED_PAGE_GRAMMAR_DOES_NOT_REQUIRE_SHARED_SEMANTICS	HIGH__VISIBLE_FORM_PRESERVES_LOCAL_IDENTITY_BUT_OCCURRENCE_CONTENT_IS_NOT_SELF_DECODING	unterrichteter Praktiker, Bad-/Heilgehilfe oder Haus-/Infirmariumsnutzer mit Zugriff auf Vorwissen/Exemplar	Schreiber, Zeichner oder Schüler einer gelehrten Werkstatt, der Bildtypen und lokale Legenden kopiert/rezitiert	kleinsten sichtbaren Stationsbesitzer setzen, nur echte Kontakte übernehmen, nie globalen Fluss ergänzen	LEAD: Pflanzenmaterial → lokale Anwendung/Bad → himmlische Bedingung als thematische Dreiteilung ohne Direktpointer; RIVAL: Naturalia → Körper-/Apparatbilder → Kosmographie als gemeinsamer visueller Muster- und Merkbestand	PROVISIONAL_UNATTESTED_MNEMONIC_OR_FORMAL_LABEL_NOT_WORD	0	Die Bildseite trägt lokale Figuren-/Apparatestationen, aber keinen seitenweiten Stoff, keine gemeinsame Richtung und keinen geschlossenen Kreislauf.	BOOK_PURPOSE_COMPETITION_NOT_WORD_MEANING_LANGUAGE_OR_TRANSLATION
10	B5	BIOLOGICAL	f83r	PROSE_EVENT	11	FIELD	5	experiments/yolo/sidequest_theory_candidates_v74/V74_SELECTED_SIX_RECORD_EDITION.tsv	experiments/yolo/sidequest_theory_candidates_v74/V74_SELECTED_281_EVENT_INTERLINEAR.tsv	201b1126f3922758bf76eb8bd15180ec6a8c38c4b66a5a9e68b4583c5a42cfe3	record_unit_id=B5	B5_LEFT_OPEN_FRINGE_STATION	Der linke offene Endposten trägt einen kurzen eigenständigen Wärme-, Maß- und Zielartikel; er reicht nicht zum rechten Apparat.	C1420_ILLUSTRATED_PRACTITIONER_BATH_AND_CELESTIAL_ELECTION_COMPENDIUM	lokaler Bade-/Wasch-/Anwendungsstationsartikel innerhalb eines therapeutischen Praxisatlas	C1420_NATURALIA_COSMOGRAPHIA_WORKSHOP_MODEL_AND_MEMORY_BOOK	Badehaus-/Apparate- oder ikonographisches Stationsmuster ohne Patientensemantik	eine lokale Station einrichten oder konsultieren; an jeder Bildlücke Stoff, Ziel und Richtung löschen	eigenständiges balneologisches/Stations-Vorlagenheft; Großkonfiguration zuerst, lokale Texte danach	VISIBLE_OWNER_OR_INSTRUMENT_LAID_OUT_BEFORE_LOCAL_TEXT; SPACE_FIT_IS_COMPATIBLE_NOT_PURPOSE_PROOF	SECTION_TEMPLATE_CAN_BE_LEARNED_LOCALLY; SHARED_PAGE_GRAMMAR_DOES_NOT_REQUIRE_SHARED_SEMANTICS	HIGH__VISIBLE_FORM_PRESERVES_LOCAL_IDENTITY_BUT_OCCURRENCE_CONTENT_IS_NOT_SELF_DECODING	unterrichteter Praktiker, Bad-/Heilgehilfe oder Haus-/Infirmariumsnutzer mit Zugriff auf Vorwissen/Exemplar	Schreiber, Zeichner oder Schüler einer gelehrten Werkstatt, der Bildtypen und lokale Legenden kopiert/rezitiert	kleinsten sichtbaren Stationsbesitzer setzen, nur echte Kontakte übernehmen, nie globalen Fluss ergänzen	LEAD: Pflanzenmaterial → lokale Anwendung/Bad → himmlische Bedingung als thematische Dreiteilung ohne Direktpointer; RIVAL: Naturalia → Körper-/Apparatbilder → Kosmographie als gemeinsamer visueller Muster- und Merkbestand	PROVISIONAL_UNATTESTED_MNEMONIC_OR_FORMAL_LABEL_NOT_WORD	0	Die Bildseite trägt lokale Figuren-/Apparatestationen, aber keinen seitenweiten Stoff, keine gemeinsame Richtung und keinen geschlossenen Kreislauf.	BOOK_PURPOSE_COMPETITION_NOT_WORD_MEANING_LANGUAGE_OR_TRANSLATION
