contradiction_id	scope	counterevidence	burdens_model	required_guard_or_repair	status	semantic_ceiling
C01	ALL	No exact card, stem, sound or language value is confirmed.	BOTH	Keep all values occurrence-bound and exemplar-supplied.	OPEN_HARD_CEILING	NO_PURPOSE_DECISION_FROM_THIS_ROW_ALONE
C02	ALL	The master exemplar is absent; 776/776 concrete group values remain unrecovered from form alone.	BOTH	Purpose comparison may use content classes, never portable glosses.	OPEN_HARD_CEILING	NO_PURPOSE_DECISION_FROM_THIS_ROW_ALONE
C03	HERBAL	The four drawings show no vessel, liquid, dose, disease or application.	BOTH	Treat preparation and use as invisible exemplar hypotheses.	OPEN	NO_PURPOSE_DECISION_FROM_THIS_ROW_ALONE
C04	HERBAL	No plant species identification survives V70.	BOTH	Use only unnamed whole-plant owners.	RESOLVED_BY_QUARANTINE	NO_PURPOSE_DECISION_FROM_THIS_ROW_ALONE
C05	BIOLOGICAL	Sixteen local owners do not form one connected or directed machine.	BOTH	Enforce V74 contact/reset graph; do not inherit flow.	RESOLVED_BY_CONTRACT	NO_PURPOSE_DECISION_FROM_THIS_ROW_ALONE
C06	BIOLOGICAL	Thirty-two events occupy unresolved-owner zones and four statements cross visible breaks.	BOTH	Quarantine gaps and split literal readings at the owner break.	RESOLVED_BY_CONTRACT	NO_PURPOSE_DECISION_FROM_THIS_ROW_ALONE
C07	BIOLOGICAL	Naked figures support bathing/application more directly than an abstract industrial machine.	NONMEDICAL	Use bathhouse/washhouse operation, not an unpictured factory.	OPEN_COST	NO_PURPOSE_DECISION_FROM_THIS_ROW_ALONE
C08	ASTRO	No common start, direction or rotation is visible.	BOTH	Leave all 36 V75 alternatives unselected.	RESOLVED_BY_CONTRACT	NO_PURPOSE_DECISION_FROM_THIS_ROW_ALONE
C09	ASTRO	f68r1 and f69v have no visible cross-page key.	BOTH	Keep all 13 namespaces page-local.	RESOLVED_BY_CONTRACT	NO_PURPOSE_DECISION_FROM_THIS_ROW_ALONE
C10	ASTRO	Celestial imagery supports astronomy but not a medical election function.	MEDICAL	Iatromathematical use remains exemplar-level only.	OPEN_COST	NO_PURPOSE_DECISION_FROM_THIS_ROW_ALONE
C11	PRODUCTION	Text fitted around pictures may reflect space management alone.	BOTH	Picture-first order does not prove image-to-text reference.	OPEN	NO_PURPOSE_DECISION_FROM_THIS_ROW_ALONE
C12	PRODUCTION	Multiple hands may mark quire division rather than one workshop purpose.	BOTH	Use multiple hands only to test teachability of the copying rule.	OPEN	NO_PURPOSE_DECISION_FROM_THIS_ROW_ALONE
C13	PURPOSE	The ten pages may be a compiled miscellany rather than one integrated book purpose.	BOTH	Retain the formal pattern/exemplar miscellany as deepest rival.	OPEN	NO_PURPOSE_DECISION_FROM_THIS_ROW_ALONE
C14	CODEBOOK	Old mnemonics lack qualifying 1370--1450 codebook attestations.	BOTH	Label them PROVISIONAL_UNATTESTED_MNEMONIC or FORMAL_LABEL_NOT_WORD.	RESOLVED_BY_RULE	NO_PURPOSE_DECISION_FROM_THIS_ROW_ALONE
