master_card_id	master_head_form	registered_surface_family	prose_event_count	old_class	old_atom_sequence	old_nucleus_de	new_class	new_atom_sequence	new_nucleus_de	new_concrete_default_de	new_imperative_de	composition_reason_de
MC012	dl	dl	2	LEARNED_LOCAL_WHOLE	LOCAL_WHOLE	ZUSATZ	LEARNED_WHOLE_CARD	LOCAL_WHOLE	ZUSATZ	Zusatz	Gib den Zusatz zu	einzige weiterhin ungeteilte Sachkarte
MC027	oykchor	oykchor	1	LEARNED_LOCAL_WHOLE	LOCAL_WHOLE	ANSATZGEFÄSS	COMPOSED_EXISTING_ATOMS	Y+KCH+OR	AKTUELLEN ANSATZ BEARBEITEN	aktuellen Ansatz bearbeiten	Bearbeite den aktuellen Ansatz	Y Posten plus KCH Arbeitsgang plus OR Ansatz
MC037	tchody	tchody	1	LEARNED_LOCAL_WHOLE	LOCAL_WHOLE	KALT STELLEN	COMPOSED_EXISTING_ATOMS	HO+CLOSE	EINGANGSPOSTEN BEISEITESTELLEN; SCHLUSS	Eingangsposten beiseitestellen; Schluss	Stelle den Eingangsposten beiseite und schließe	HO Eingangsposten plus Schluss; die alte Kaltlesung war zu eng
MC052	qekey	qekey	1	LEARNED_LOCAL_WHOLE	LOCAL_WHOLE	ROH	COMPOSED_EXISTING_ATOMS	KCH+E+Y	AKTUELLEN POSTEN KURZ BEARBEITEN	aktuellen Posten kurz bearbeiten	Bearbeite den aktuellen Posten kurz	dieselbe Komponentenfolge wie die kurze KCH-Karte
MC061	sshkchdy	sshkchdy	1	LEARNED_LOCAL_WHOLE	LOCAL_WHOLE	SCHWENKEN	COMPOSED_EXISTING_ATOMS	SH+KCH+CHD+CLOSE	HALTEN, BEARBEITEN UND ÜBERTRAGEN; SCHLUSS	im Arbeitsgang schwenken; Schluss	Halte, bearbeite, übertrage und schließe	bekannte Halte-, Arbeits- und Übertragungskerne erklären den Schwenkgang
MC068	sotodan	sotodan	1	LEARNED_LOCAL_WHOLE	LOCAL_WHOLE	DANACH ANWENDEN	COMPOSED_WITH_BRIDGE_STEM	OT+DAN	DANACH ANWENDEN	danach anwenden	Wende danach an	OT Folge plus DAN Anwendung
MC071	dchey	dchey	1	LEARNED_LOCAL_WHOLE	LOCAL_WHOLE	WURZEL	COMPOSED_WITH_BRIDGE_STEM	DCHE+Y	WURZEL ALS AKTUELLEN POSTEN	Wurzel als aktueller Posten	Nimm die Wurzel als aktuellen Posten	DCHE bildgebundener Stoffkern plus Y
MC089	skar	skar	1	LEARNED_LOCAL_WHOLE	LOCAL_WHOLE	VON DORT AUSGIESSEN	COMPOSED_WITH_BRIDGE_STEM	SK+AR	VOM AUSGANG AUSGIESSEN	vom Ausgang ausgießen	Gieße vom Ausgang aus	SK Bewegung plus AR Quelle
MC099	cheeckhody	cheeckhody	1	LEARNED_LOCAL_WHOLE	LOCAL_WHOLE	AUFTRAGEN	COMPOSED_EXISTING_ATOMS	EE+CKH+HO+CLOSE	EINGANGSPOSTEN LÄNGER FÜHREN; SCHLUSS	länger auftragen; Schluss	Führe den Eingangsposten länger und schließe	EE Grad plus CKH Weg plus HO Eingangsposten plus Schluss
MC109	ytey	ytey	1	LEARNED_LOCAL_WHOLE	LOCAL_WHOLE	FUELLEN	COMPOSED_EXISTING_ATOMS	Y+E+TY	KURZEN TEIL DES AKTUELLEN POSTENS NEHMEN	kurzen Teil des aktuellen Postens nehmen	Nimm einen kurzen Teil des aktuellen Postens	Y aktueller Posten plus E Kurzgrad plus TY Teil
