category	rank	value
literal	1	a
literal	2	b
literal	3	c
literal	4	d
literal	5	e
literal	6	f
literal	7	g
literal	8	h
literal	9	i
literal	10	l
literal	11	m
literal	12	n
literal	13	o
literal	14	p
literal	15	q
literal	16	r
literal	17	s
literal	18	t
literal	19	u
literal	20	v
literal	21	x
literal	22	y
literal	23	z
syllabic	1	er
syllabic	2	uua
syllabic	3	en
syllabic	4	ich
syllabic	5	uu
syllabic	6	und
syllabic	7	de
syllabic	8	der
syllabic	9	ch
syllabic	10	uue
syllabic	11	ge
syllabic	12	daz
syllabic	13	te
syllabic	14	nde
syllabic	15	in
syllabic	16	uui
syllabic	17	an
syllabic	18	ere
syllabic	19	un
syllabic	20	den
syllabic	21	da
syllabic	22	sch
syllabic	23	nd
syllabic	24	che
syllabic	25	ua
syllabic	26	ein
syllabic	27	si
syllabic	28	gen
syllabic	29	he
syllabic	30	ten
syllabic	31	re
syllabic	32	sin
syllabic	33	ne
syllabic	34	ine
syllabic	35	be
syllabic	36	ach
syllabic	37	ei
syllabic	38	hte
syllabic	39	ic
syllabic	40	ges
syllabic	41	az
syllabic	42	man
syllabic	43	ie
syllabic	44	hen
syllabic	45	es
syllabic	46	als
syllabic	47	it
syllabic	48	uan
syllabic	49	uo
syllabic	50	age
syllabic	51	et
syllabic	52	von
syllabic	53	ue
syllabic	54	ete
syllabic	55	ir
syllabic	56	ite
syllabic	57	ze
syllabic	58	iht
syllabic	59	iu
syllabic	60	uuu
syllabic	61	st
syllabic	62	uuo
syllabic	63	di
syllabic	64	die
syllabic	65	ar
syllabic	66	ste
syllabic	67	ht
syllabic	68	uas
syllabic	69	mi
syllabic	70	des
syllabic	71	ui
syllabic	72	her
syllabic	73	al
syllabic	74	lle
syllabic	75	el
syllabic	76	mit
syllabic	77	ha
syllabic	78	get
syllabic	79	em
syllabic	80	uar
syllabic	81	ac
syllabic	82	uol
syllabic	83	le
syllabic	84	eit
syllabic	85	li
syllabic	86	nge
syllabic	87	ri
syllabic	88	ver
syllabic	89	ma
syllabic	90	uot
syllabic	91	me
syllabic	92	uer
syllabic	93	so
syllabic	94	ant
syllabic	95	ni
