category	rank	value
literal	1	a
literal	2	b
literal	3	c
literal	4	d
literal	5	e
literal	6	f
literal	7	g
literal	8	h
literal	9	i
literal	10	l
literal	11	m
literal	12	n
literal	13	o
literal	14	p
literal	15	q
literal	16	r
literal	17	s
literal	18	t
literal	19	u
literal	20	v
literal	21	x
literal	22	y
literal	23	z
syllabic	1	er
syllabic	2	que
syllabic	3	um
syllabic	4	ere
syllabic	5	qu
syllabic	6	ent
syllabic	7	re
syllabic	8	bus
syllabic	9	is
syllabic	10	ter
syllabic	11	nt
syllabic	12	con
syllabic	13	ti
syllabic	14	sse
syllabic	15	in
syllabic	16	ibu
syllabic	17	it
syllabic	18	rum
syllabic	19	at
syllabic	20	qui
syllabic	21	te
syllabic	22	ant
syllabic	23	es
syllabic	24	per
syllabic	25	us
syllabic	26	era
syllabic	27	tu
syllabic	28	tur
syllabic	29	en
syllabic	30	qua
syllabic	31	ri
syllabic	32	unt
syllabic	33	on
syllabic	34	quo
syllabic	35	se
syllabic	36	ita
syllabic	37	et
syllabic	38	pro
syllabic	39	ra
syllabic	40	ati
syllabic	41	os
syllabic	42	tis
syllabic	43	co
syllabic	44	eri
syllabic	45	an
syllabic	46	ost
syllabic	47	li
syllabic	48	equ
syllabic	49	st
syllabic	50	nte
syllabic	51	ta
syllabic	52	iss
syllabic	53	ne
syllabic	54	str
syllabic	55	ar
syllabic	56	tat
syllabic	57	ue
syllabic	58	tum
syllabic	59	ni
syllabic	60	atu
syllabic	61	or
syllabic	62	cum
syllabic	63	di
syllabic	64	rat
syllabic	65	ci
syllabic	66	itu
syllabic	67	ss
syllabic	68	ess
syllabic	69	si
syllabic	70	ine
syllabic	71	em
syllabic	72	eru
syllabic	73	ae
syllabic	74	oru
syllabic	75	ru
syllabic	76	tra
syllabic	77	pe
syllabic	78	ili
syllabic	79	ui
syllabic	80	ren
syllabic	81	de
syllabic	82	tem
syllabic	83	su
syllabic	84	ius
syllabic	85	am
syllabic	86	ran
syllabic	87	ro
syllabic	88	ntu
syllabic	89	ib
syllabic	90	are
syllabic	91	io
syllabic	92	aes
syllabic	93	im
syllabic	94	ion
