category	rank	value
literal	1	a
literal	2	b
literal	3	c
literal	4	d
literal	5	e
literal	6	f
literal	7	g
literal	8	h
literal	9	i
literal	10	l
literal	11	m
literal	12	n
literal	13	o
literal	14	p
literal	15	q
literal	16	r
literal	17	s
literal	18	t
literal	19	u
literal	20	v
literal	21	x
literal	22	y
literal	23	z
syllabic	1	ch
syllabic	2	che
syllabic	3	er
syllabic	4	per
syllabic	5	co
syllabic	6	non
syllabic	7	an
syllabic	8	que
syllabic	9	on
syllabic	10	ent
syllabic	11	di
syllabic	12	con
syllabic	13	ra
syllabic	14	ndo
syllabic	15	to
syllabic	16	est
syllabic	17	no
syllabic	18	chi
syllabic	19	he
syllabic	20	ell
syllabic	21	la
syllabic	22	and
syllabic	23	en
syllabic	24	qua
syllabic	25	or
syllabic	26	tro
syllabic	27	te
syllabic	28	tra
syllabic	29	ia
syllabic	30	nte
syllabic	31	se
syllabic	32	ant
syllabic	33	ta
syllabic	34	com
syllabic	35	al
syllabic	36	nto
syllabic	37	io
syllabic	38	sse
syllabic	39	nt
syllabic	40	tto
syllabic	41	ar
syllabic	42	dis
syllabic	43	si
syllabic	44	sta
syllabic	45	in
syllabic	46	par
syllabic	47	tr
syllabic	48	alt
syllabic	49	re
syllabic	50	str
syllabic	51	st
syllabic	52	era
syllabic	53	pe
syllabic	54	cia
syllabic	55	ri
syllabic	56	uel
syllabic	57	qu
syllabic	58	ett
syllabic	59	ro
syllabic	60	ost
syllabic	61	de
syllabic	62	ver
syllabic	63	el
syllabic	64	ess
syllabic	65	ve
syllabic	66	ltr
syllabic	67	ma
syllabic	68	cor
syllabic	69	li
syllabic	70	lor
syllabic	71	ti
syllabic	72	ome
syllabic	73	es
syllabic	74	end
syllabic	75	ol
syllabic	76	gli
syllabic	77	so
syllabic	78	ond
syllabic	79	nd
syllabic	80	men
syllabic	81	me
syllabic	82	cos
syllabic	83	le
syllabic	84	vol
syllabic	85	mi
syllabic	86	gia
syllabic	87	os
syllabic	88	acc
syllabic	89	do
syllabic	90	uan
syllabic	91	ss
syllabic	92	ort
syllabic	93	tt
syllabic	94	lla
syllabic	95	ci
