left_root	right_root	literal_prediction_de	simple_candidate_surface	candidate_surface_collision	collision_with	adjacent_events	ordered_nonadjacent_events	ordered_total_events	adjacent_surfaces	adjacent_recipes	embedded_pages	revised_status	workshop_rule_de
OK	CTH	SETZEN · BEREIT	okcth	NEIN	KEINE	0	0	0	KEINE	KEINE	KEINE	ECHTE_OFFENE_ZWEIERKOMBINATION	CTH wird in laengeren Karten von einem Traeger oder Endpunkt gestuetzt; OK+CTH allein bleibt ungebraucht.
OT	CTH	DANACH · BEREIT	otcth	NEIN	KEINE	0	0	0	KEINE	KEINE	KEINE	ECHTE_OFFENE_ZWEIERKOMBINATION	Der Folgeschritt nimmt eine ganze Bereitschaftskarte, nicht den nackten Zustand CTH.
S	Y	AUSWÄHLEN · POSTEN	sy	JA	Y@PRODUCTIVE_ROOT_COMPOSITION	7	21	28	alsy|choksy|darolsy|eesydy|oeesy|rasy|sykos	AL+S+Y|DA+R+OL+S+Y|EE+S+Y+D_ADDR+Y|O+EE+S+Y|OK+S+Y|R+A_ADDR+S+Y|S+Y+K+O+S_ADDR	f11r|f13r|f56r|f67r2|f69v|f75r|f81v|f82r|f83r|f88r	KURZFORM_KOLLIDIERT__ERWEITERTE_FORM_BELEGT	Die Bedeutung ist produktiv; die kollidierende Kurzform wird durch eine laengere Karte eindeutig gemacht.
S	CTH	AUSWÄHLEN · BEREIT	scth	NEIN	KEINE	0	3	3	KEINE	KEINE	f11r|f81v|f82r	IN_LAENGERER_KARTE_GETRENNT_BELEGT	Die Reihenfolge ist produktiv, braucht aber auf diesen Seiten einen Zwischenkern.
CH	Y	NEHMEN · POSTEN	chy	JA	Y@LOCAL_ADDRESS_OR_KENNING|Y@PRODUCTIVE_ROOT_COMPOSITION	26	68	94	chetchy|chkchykoly|chokchy|chorchy|chykar|chykchs|chykey|korchy|lchy|okodchy|olchy|olkeechy|oparchy|otchy|qetchy|qokeochy|qokokchy|shechy|sheekchy|shekchy|shokchy|ykchys|ykychy	CARRIER_Q+E+T+CH+Y|CH+E+T+CH+Y|CH+OR+CH+Y|CH+Y+K+AR|CH+Y+K+CH+S|CH+Y+K+E+Y|CHK+CH+Y+K+OL+Y|K+OR+CH+Y|L+CH+Y|O+P+AR+CH+Y|OK+CH+Y|OK+E+O+CH+Y|OK+O+D_ADDR+CH+Y|OK+OK+CH+Y|OL+CH+Y|OL+K+EE+CH+Y|OT+CH+Y|SH+E+CH+Y|SH+E+K+CH+Y|SH+EE+K+CH+Y|SH+OK+CH+Y|Y+K+CH+Y+S|Y+K+Y+CH+Y	f10r|f11r|f55v|f56r|f67r2|f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	KURZFORM_KOLLIDIERT__ERWEITERTE_FORM_BELEGT	Die Bedeutung ist produktiv; die kollidierende Kurzform wird durch eine laengere Karte eindeutig gemacht.
CH	AIN	NEHMEN · PORTION	chain	NEIN	KEINE	0	0	0	KEINE	KEINE	KEINE	ECHTE_OFFENE_ZWEIERKOMBINATION	Staerkste echte Vorhersage: CH+AIIN ist belegt, AIN ist sonst produktiv, und die Kurzform kollidiert mit nichts.
CH	AR	NEHMEN · QUELLE	char	JA	AR@LOCAL_ADDRESS_OR_KENNING|AR@PRODUCTIVE_ROOT_COMPOSITION	1	8	9	kcharg	K+CH+AR+LOCAL_CHAR_G	f55v|f56r|f69v|f81v|f88r	KURZFORM_KOLLIDIERT__ERWEITERTE_FORM_BELEGT	Die Bedeutung ist produktiv; die kollidierende Kurzform wird durch eine laengere Karte eindeutig gemacht.
CH	CTH	NEHMEN · BEREIT	chcth	NEIN	KEINE	9	4	13	chcthdy|chcthedy|chcthey|chcthol|chcthy	CH+CTH+D_ADDR+Y|CH+CTH+E+DY|CH+CTH+E+Y|CH+CTH+OL|CH+CTH+Y	f10r|f68r1|f70v|f75r|f81v|f82r|f83r|f88r	IN_LAENGERER_KARTE_DIREKT_BELEGT	Als inneres Paar produktiv; nur die nackte Zweierkarte fehlt.
OL	AIN	FORTSETZEN · PORTION	olain	NEIN	KEINE	0	2	2	KEINE	KEINE	f81v	IN_LAENGERER_KARTE_GETRENNT_BELEGT	Die Reihenfolge ist produktiv, braucht aber auf diesen Seiten einen Zwischenkern.
OL	AL	FORTSETZEN · ZIEL	olal	NEIN	KEINE	2	4	6	olsaly|otolal	OL+AL+Y|OT+OL+AL	f70v|f81v|f83r|f88r	IN_LAENGERER_KARTE_DIREKT_BELEGT	Als inneres Paar produktiv; nur die nackte Zweierkarte fehlt.
