recipe_ordinal	recipe	event_count	distinct_microphrase_count	recurrence_status	variability_status	written_action_status	written_argument_status	portable_route	portable_selector_fields	empirical_minimal_equivalence_class	canonical_empirical_selector	selector_cell_count	distinct_effective_action_count	distinct_effective_argument_count	effective_action_signatures	effective_argument_signatures	sample_microphrase_de	guard
1	AIR+Y+DY	1	1	SINGLETON	FIXED	ABSENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	K	Y	Gib den Posten; entlang der Bahn; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
2	AL+AL+SH+E+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	SH	Y	Halte den Posten; zum Zielort; zum Zielort; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
3	AL+CHD+DY	5	2	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	2	1	2	CHD	AIIN || Y	Bearbeite den Posten; zum Zielort; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
4	AL+DY	4	4	RECURRENT	CONTEXT_VARIABLE	ABSENT	ABSENT	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION_ARGUMENT_REQUIRED	ACTION_ARGUMENT	4	3	2	CH || OK || SH	AIN || Y	Nimm den Posten; zum Zielort; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
5	AL+OL	2	1	RECURRENT	FIXED	ABSENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	K	Y	Weiter: gib den Posten; zum Zielort.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
6	AL+SH+E+DY	2	1	RECURRENT	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	SH	Y	Halte den Posten; zum Zielort; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
7	AR+OL	4	4	RECURRENT	CONTEXT_VARIABLE	ABSENT	ABSENT	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION_ONLY	EFFECTIVE_ACTION	4	4	3	K || P || S || SH	AIN || OR || Y	Weiter: gib die Einheit; vom Ausgang.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
8	AR+OL+Y	1	1	SINGLETON	FIXED	ABSENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	S	Y	Weiter: wähle den Posten; vom Ausgang.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
9	CARRIER_Q+E+DY	1	1	SINGLETON	FIXED	ABSENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	OK	Y	Setze den Posten; am Beginn; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
10	CARRIER_Q+O+CH+K+OL	3	2	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	2	1	2	CH|K	AIIN || Y	Weiter: nimm den Posten und gib den Posten; am Beginn; zur Ausführung.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
11	CARRIER_Q+O+CH+T+OL+Y	2	1	RECURRENT	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|T	Y	Weiter: nimm den Posten und stelle den Posten ein; am Beginn; zur Ausführung.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
12	CARRIER_Q+O+DY	3	3	RECURRENT	CONTEXT_VARIABLE	ABSENT	ABSENT	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION_ONLY	EFFECTIVE_ACTION	3	3	1	CH || SH || T	Y	Stelle den Posten ein; am Beginn; zur Ausführung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
13	CARRIER_Q+O+E+K+E+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	K	OR	Gib die Einheit; am Beginn; zur Ausführung; auf Grad I; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
14	CARRIER_Q+O+E+K+OL	2	1	RECURRENT	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	K	AIIN	Weiter: gib den Wert; am Beginn; zur Ausführung; auf Grad I.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
15	CARRIER_Q+O+E+S+E+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	S	Y	Wähle den Posten; am Beginn; zur Ausführung; auf Grad I; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
