candidate	selector_fields	variable_recipe_count	resolved_recipe_count	resolved_event_count	selector_cell_count	ambiguous_cell_count	modal_hit_count	event_count	modal_hit_rate
RECIPE_ONLY	NONE	101	0	0	101	101	566	1277	0.443226312
EFFECTIVE_ACTION	effective_action_roots	101	32	254	261	95	932	1277	0.729835552
EFFECTIVE_ARGUMENT	effective_argument_roots	101	60	652	243	58	872	1277	0.682850431
ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	101	101	1277	415	0	1277	1277	1.000000000
RESOLUTION_MODE	resolution_mode	101	5	18	127	97	613	1277	0.480031323
SOURCE_LAYER	microphrase_source_layer	101	0	0	101	101	566	1277	0.443226312
STATEMENT_POSITION	statement_position	101	15	34	175	112	621	1277	0.486296006
REGISTER	register	101	19	50	252	139	678	1277	0.530931872
PHYSICAL_PAGE	physical_page	101	43	131	522	178	842	1277	0.659357870
COHORT	cohort	101	4	8	140	114	604	1277	0.472983555
