id,reader,paragraph_id,page,leaf,groups,known_positions,unknown_positions,known_type_count,unknown_type_count,known_fraction_numerator,known_fraction_denominator,operation_values,strict_anchor_eligible,eligible,reasons,pair_id
ZL3b|f100r|f100r.12-f100r.15,ZL3b,f100r|f100r.12-f100r.15,f100r,100,35,7,28,7,28,7,35,KEEP|SIEVE|SPREAD,False,False,BELOW_MIN_KNOWN_TYPES|ABOVE_MAX_UNKNOWN_TYPES|BELOW_MIN_KNOWN_FRACTION,"f100r|f100r.12,f100r.13,f100r.14,f100r.15"
ZL3b|f100r|f100r.22-f100r.27,ZL3b,f100r|f100r.22-f100r.27,f100r,100,56,17,39,9,38,17,56,DRY|KEEP|KNEAD|SIEVE,False,False,ABOVE_MAX_UNKNOWN_TYPES|BELOW_MIN_KNOWN_FRACTION,"f100r|f100r.22,f100r.23,f100r.24,f100r.25,f100r.26,f100r.27"
ZL3b|f100v|f100v.14-f100v.22,ZL3b,f100v|f100v.14-f100v.22,f100v,100,79,16,63,8,59,16,79,DRY,False,False,ABOVE_MAX_UNKNOWN_TYPES|BELOW_MIN_KNOWN_FRACTION|BELOW_MIN_OPERATION_VALUES,"f100v|f100v.14,f100v.15,f100v.16,f100v.17,f100v.18,f100v.19,f100v.20,f100v.21,f100v.22"
ZL3b|f102r1|f102r1.3-f102r1.6,ZL3b,f102r1|f102r1.3-f102r1.6,f102r1,102,28,5,23,5,23,5,28,DRY,False,False,BELOW_MIN_KNOWN_TYPES|ABOVE_MAX_UNKNOWN_TYPES|BELOW_MIN_KNOWN_FRACTION|BELOW_MIN_OPERATION_VALUES,"f102r1|f102r1.3,f102r1.4,f102r1.5,f102r1.6"
ZL3b|f102r1|f102r1.8-f102r1.11,ZL3b,f102r1|f102r1.8-f102r1.11,f102r1,102,32,5,27,3,27,5,32,SIEVE,False,False,BELOW_MIN_KNOWN_TYPES|ABOVE_MAX_UNKNOWN_TYPES|BELOW_MIN_KNOWN_FRACTION|BELOW_MIN_OPERATION_VALUES,"f102r1|f102r1.8,f102r1.9,f102r1.10,f102r1.11"
ZL3b|f102r1|f102r1.13-f102r1.17,ZL3b,f102r1|f102r1.13-f102r1.17,f102r1,102,43,7,36,6,34,7,43,RETRIEVE|SIEVE,False,False,BELOW_MIN_KNOWN_TYPES|ABOVE_MAX_UNKNOWN_TYPES|BELOW_MIN_KNOWN_FRACTION,"f102r1|f102r1.13,f102r1.14,f102r1.15,f102r1.16,f102r1.17"
ZL3b|f102v1|f102v1.7-f102v1.14,ZL3b,f102v1|f102v1.7-f102v1.14,f102v1,102,73,18,55,10,50,18,73,DRY|RETRIEVE|SIEVE,False,False,ABOVE_MAX_UNKNOWN_TYPES|BELOW_MIN_KNOWN_FRACTION,"f102v1|f102v1.7,f102v1.8,f102v1.9,f102v1.10,f102v1.11,f102v1.12,f102v1.13,f102v1.14"
ZL3b|f102v1|f102v1.19-f102v1.24,ZL3b,f102v1|f102v1.19-f102v1.24,f102v1,102,45,5,40,4,39,5,45,DRY,False,False,BELOW_MIN_KNOWN_TYPES|ABOVE_MAX_UNKNOWN_TYPES|BELOW_MIN_KNOWN_FRACTION|BELOW_MIN_OPERATION_VALUES,"f102v1|f102v1.19,f102v1.20,f102v1.21,f102v1.22,f102v1.23,f102v1.24"
ZL3b|f102v2|f102v2.17-f102v2.23,ZL3b,f102v2|f102v2.17-f102v2.23,f102v2,102,75,14,61,9,53,14,75,DRY|SIEVE,False,False,ABOVE_MAX_UNKNOWN_TYPES|BELOW_MIN_KNOWN_FRACTION,"f102v2|f102v2.17,f102v2.18,f102v2.19,f102v2.20,f102v2.21,f102v2.22,f102v2.23"
ZL3b|f102v2|f102v2.30-f102v2.39,ZL3b,f102v2|f102v2.30-f102v2.39,f102v2,102,93,14,79,10,66,14,93,DRY|RETRIEVE|SIEVE|SPREAD,False,False,ABOVE_MAX_UNKNOWN_TYPES|BELOW_MIN_KNOWN_FRACTION,"f102v2|f102v2.30,f102v2.31,f102v2.32,f102v2.33,f102v2.34,f102v2.35,f102v2.36,f102v2.37,f102v2.38,f102v2.39"
ZL3b|f103r|f103r.1-f103r.4,ZL3b,f103r|f103r.1-f103r.4,f103r,103,50,6,44,5,43,6,50,LIFT_OUT|RINSE,False,False,BELOW_MIN_KNOWN_TYPES|ABOVE_MAX_UNKNOWN_TYPES|BELOW_MIN_KNOWN_FRACTION,"f103r|f103r.1,f103r.2,f103r.3,f103r.4"
ZL3b|f103r|f103r.5-f103r.7,ZL3b,f103r|f103r.5-f103r.7,f103r,103,36,2,34,2,31,2,36,,False,False,BELOW_MIN_KNOWN_TYPES|ABOVE_MAX_UNKNOWN_TYPES|BELOW_MIN_KNOWN_FRACTION|BELOW_MIN_OPERATION_VALUES,"f103r|f103r.5,f103r.6,f103r.7"
ZL3b|f103r|f103r.8-f103r.12,ZL3b,f103r|f103r.8-f103r.12,f103r,103,62,13,49,9,43,13,62,MIX,False,False,ABOVE_MAX_UNKNOWN_TYPES|BELOW_MIN_KNOWN_FRACTION|BELOW_MIN_OPERATION_VALUES,"f103r|f103r.8,f103r.9,f103r.10,f103r.11,f103r.12"
ZL3b|f103r|f103r.13-f103r.15,ZL3b,f103r|f103r.13-f103r.15,f103r,103,30,3,27,3,25,3,30,,False,False,BELOW_MIN_KNOWN_TYPES|ABOVE_MAX_UNKNOWN_TYPES|BELOW_MIN_KNOWN_FRACTION|BELOW_MIN_OPERATION_VALUES,"f103r|f103r.13,f103r.14,f103r.15"
ZL3b|f103r|f103r.16-f103r.17,ZL3b,f103r|f103r.16-f103r.17,f103r,103,21,2,19,2,19,2,21,,False,False,BELOW_MIN_GROUPS|BELOW_MIN_KNOWN_TYPES|BELOW_MIN_KNOWN_FRACTION|BELOW_MIN_OPERATION_VALUES,"f103r|f103r.16,f103r.17"
ZL3b|f103r|f103r.18-f103r.20,ZL3b,f103r|f103r.18-f103r.20,f103r,103,28,4,24,3,20,4,28,MIX|RINSE,True,False,BELOW_MIN_KNOWN_TYPES|BELOW_MIN_KNOWN_FRACTION,"f103r|f103r.18,f103r.19,f103r.20"
