exercise	track	position	before_surface	before_components	after_surface	after_components	changed	faulty_component	repair_preserves_other_components
E1	KURZ	1	dy	ENTRY_D+Y	dy	ENTRY_D+Y	NO	NONE	YES
E1	KURZ	2	daiin	ENTRY_D+AIIN	daiin	ENTRY_D+AIIN	NO	NONE	YES
E1	KURZ	3	okey	OK+E+Y	okey	OK+E+Y	NO	NONE	YES
E1	KURZ	4	okey	OK+E+Y	qokedy	OK+E+DY	YES	ENDPOINT	YES
E2	LÄNGER	1	dy	ENTRY_D+Y	dy	ENTRY_D+Y	NO	NONE	YES
E2	LÄNGER	2	daiin	ENTRY_D+AIIN	daiin	ENTRY_D+AIIN	NO	NONE	YES
E2	LÄNGER	3	okeey	OK+EE+Y	okeey	OK+EE+Y	NO	NONE	YES
E2	LÄNGER	4	qokedy	OK+E+DY	qokeedy	OK+EE+DY	YES	GRADE	YES
E3	VOLLSTÄNDIG	1	dy	ENTRY_D+Y	dy	ENTRY_D+Y	NO	NONE	YES
E3	VOLLSTÄNDIG	2	daiin	ENTRY_D+AIIN	daiin	ENTRY_D+AIIN	NO	NONE	YES
E3	VOLLSTÄNDIG	3	qokeedy	OK+EE+DY	qokeeedy	OK+EEE+DY	YES	GRADE	YES
