edge_id	component_id	locus	support_tier	relation_class	edge_node_ordinals	source_ordinals	target_ordinal	target_role	component_edge_count	component_topology	shared_edge_node_ordinals	origin	v75_change	status
C001	M002	f105v.1	A_STRONG_LICENSED	WRITTEN_MATERIAL_OBJECT	3|4	3	4	TARGET_ACTION	2	INPUT_ACTION_WRITTEN_RESULT_CHAIN	4	GDT697_INHERITED	COMPONENT_EXTENDED_BY_C012_EDGE_UNCHANGED	PASS_V75_11_TARGET_RIGHT_CONTEXTS__7_NOMINAL_3_ACTION_1_EOS__1_EXACT_WRITTEN_RESULT__2X2_DEFAULTS_REJECTED__C012_OCCURRENCE_BOUND__ZERO_WORD_DELTA
C002	M003	f113v.17	A_STRONG_LICENSED	PORTION_SUBSET_CARRY	6|7	6	7	TARGET_ACTION	1	SINGLE_EDGE	NONE	GDT697_INHERITED	NONE	PASS_V75_11_TARGET_RIGHT_CONTEXTS__7_NOMINAL_3_ACTION_1_EOS__1_EXACT_WRITTEN_RESULT__2X2_DEFAULTS_REJECTED__C012_OCCURRENCE_BOUND__ZERO_WORD_DELTA
C003	M004	f75r.3	A_STRONG_LICENSED	EXPLICIT_PRECEDING_PORTION	3|4	3	4	TARGET_ACTION	1	SINGLE_EDGE	NONE	GDT697_INHERITED	NONE	PASS_V75_11_TARGET_RIGHT_CONTEXTS__7_NOMINAL_3_ACTION_1_EOS__1_EXACT_WRITTEN_RESULT__2X2_DEFAULTS_REJECTED__C012_OCCURRENCE_BOUND__ZERO_WORD_DELTA
C004	M006	f80v.35	A_STRONG_LICENSED	WRITTEN_DESTINATION_REFERENCE	3|4|5	3|4	5	TARGET_ACTION	2	ORDERED_REPEATED_COMMON_DESTINATION_FANOUT	3	GDT697_INHERITED	NONE	PASS_V75_11_TARGET_RIGHT_CONTEXTS__7_NOMINAL_3_ACTION_1_EOS__1_EXACT_WRITTEN_RESULT__2X2_DEFAULTS_REJECTED__C012_OCCURRENCE_BOUND__ZERO_WORD_DELTA
C005	M005	f77r.38	A_STRONG_LICENSED	LEFT_WRITTEN_OBJECT	5|6	5	6	TARGET_ACTION	1	SINGLE_EDGE	NONE	GDT697_INHERITED	NONE	PASS_V75_11_TARGET_RIGHT_CONTEXTS__7_NOMINAL_3_ACTION_1_EOS__1_EXACT_WRITTEN_RESULT__2X2_DEFAULTS_REJECTED__C012_OCCURRENCE_BOUND__ZERO_WORD_DELTA
C006	M007	f86v6.25	A_MINUS_EXPLICIT_OUTPUT	MEASURED_SHARE_OUTPUT_CARRY	4|5	4	5	TARGET_ACTION	2	SERIAL_ACTION_OUTPUT_CHAIN	4	GDT697_INHERITED	NONE	PASS_V75_11_TARGET_RIGHT_CONTEXTS__7_NOMINAL_3_ACTION_1_EOS__1_EXACT_WRITTEN_RESULT__2X2_DEFAULTS_REJECTED__C012_OCCURRENCE_BOUND__ZERO_WORD_DELTA
C007	M007	f86v6.25	B_WORKING_LOCAL	OUTPUT_LABEL_PLUS_SOURCE_TO_MEASURE	2|3|4	2|3	4	TARGET_ACTION	2	SERIAL_ACTION_OUTPUT_CHAIN	4	GDT697_INHERITED	NONE	PASS_V75_11_TARGET_RIGHT_CONTEXTS__7_NOMINAL_3_ACTION_1_EOS__1_EXACT_WRITTEN_RESULT__2X2_DEFAULTS_REJECTED__C012_OCCURRENCE_BOUND__ZERO_WORD_DELTA
C008	M006	f80v.35	B_WORKING_LOCAL	REPEATED_QOL_DESTINATION_CARRY	3|6	3	6	TARGET_ACTION	2	ORDERED_REPEATED_COMMON_DESTINATION_FANOUT	3	GDT697_INHERITED	NONE	PASS_V75_11_TARGET_RIGHT_CONTEXTS__7_NOMINAL_3_ACTION_1_EOS__1_EXACT_WRITTEN_RESULT__2X2_DEFAULTS_REJECTED__C012_OCCURRENCE_BOUND__ZERO_WORD_DELTA
C009	M001	f104v.2	B_WORKING_LOCAL	MEASURE_SUBSET_CARRY	4|5|6	4|5	6	TARGET_ACTION	1	SINGLE_EDGE	NONE	GDT697_INHERITED	NONE	PASS_V75_11_TARGET_RIGHT_CONTEXTS__7_NOMINAL_3_ACTION_1_EOS__1_EXACT_WRITTEN_RESULT__2X2_DEFAULTS_REJECTED__C012_OCCURRENCE_BOUND__ZERO_WORD_DELTA
C010	M008	f86v5.24	B_WORKING_LOCAL	YKA_DEGREE_SISTER_TYPED_MATERIAL_CARRY	1|3	1	3	TARGET_ACTION	1	SINGLE_EDGE_WITH_UNBOUND_QUANTITY_HULL	NONE	GDT699_INHERITED	NONE	PASS_V75_11_TARGET_RIGHT_CONTEXTS__7_NOMINAL_3_ACTION_1_EOS__1_EXACT_WRITTEN_RESULT__2X2_DEFAULTS_REJECTED__C012_OCCURRENCE_BOUND__ZERO_WORD_DELTA
