injection_ordinal	slot_id	source_kind	source_event_or_card_id	reader_unit_kind	reader_unit_id	reader_unit_join_key	physical_page	register	locus	surface	raw_name_core	content_class	name_slot_in_label	gdt585_primary_default_de	gdt582_exact_legacy_default_de	gdt585_declared_legacy_alias_de	legacy_alias_reconciliation	strongest_rival_de	composition_atom_de	base_reader_source	primary_governor_key	guard
1	LOCAL_NAME:P1003-E0079:NAME_1	GDT581_NAME_SPAN	P1003-E0079	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0079	P1003-E0079	f17r	HERBAL	f17r.13	oteeeon	eeeon	PICTURED_PLANT	1	rechte Blütenform	ganze blühende Heilpflanze	ganze blühende Heilpflanze	GDT585_DECLARED_ALIAS_EXACT	weiterer Pflanzenname oder Beiname derselben Art	rechte Blütenform B	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0079	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
2	LOCAL_NAME:P1003-E0080:NAME_1	GDT581_NAME_SPAN	P1003-E0080	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0080	P1003-E0080	f17r	HERBAL	f17r.13	oiil	oiil	PICTURED_PLANT	1	linke Blütenform	ganze Heilpflanze B	ganze Heilpflanze B	GDT585_DECLARED_ALIAS_EXACT	Hauptname derselben Pflanze	linke Blütenform A	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0080	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
3	LOCAL_NAME:P1003-E0596:NAME_1	GDT581_NAME_SPAN	P1003-E0596	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0596	P1003-E0596	f71v	CELESTIAL	f71v.2	arom	om	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert OM	Sternringstelle 01	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname OM	Ringwert OM	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0596	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
4	LOCAL_NAME:P1003-E0597:NAME_1	GDT581_NAME_SPAN	P1003-E0597	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0597	P1003-E0597	f71v	CELESTIAL	f71v.3	chfaly	chf	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert CHF	Sternringstelle 02	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname CHF	Ringwert CHF	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0597	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
5	LOCAL_NAME:P1003-E0599:NAME_1	GDT581_NAME_SPAN	P1003-E0599	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0599	P1003-E0599	f71v	CELESTIAL	f71v.5	otchody	chody	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert CHODY	Sternringstelle 03	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname CHODY	Ringwert CHODY	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0599	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
6	LOCAL_NAME:P1003-E0606:NAME_1	GDT581_NAME_SPAN	P1003-E0606	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0606	P1003-E0606	f71v	CELESTIAL	f71v.10	opalar	op	STAR_BEARING_RING_POSITION	1	wiederkehrender Ring- oder Kalenderwert OP	Sternringstelle 04	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname OP	Ringwert OP	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0606	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
7	LOCAL_NAME:P1003-E0609:NAME_1	GDT581_NAME_SPAN	P1003-E0609	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0609	P1003-E0609	f71v	CELESTIAL	f71v.11	opalor	op	STAR_BEARING_RING_POSITION	1	wiederkehrender Ring- oder Kalenderwert OP	Sternringstelle 04	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname OP	Ringwert OP	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0609	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
8	LOCAL_NAME:P1003-E0641:NAME_1	GDT581_NAME_SPAN	P1003-E0641	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0641	P1003-E0641	f71v	CELESTIAL	f71v.13	ofaom	aom	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert AOM	Sternringstelle 05	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname AOM	Ringwert AOM	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0641	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
9	LOCAL_NAME:P1003-E0642:NAME_1	GDT581_NAME_SPAN	P1003-E0642	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0642	P1003-E0642	f71v	CELESTIAL	f71v.14	otalody	ody	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert ODY	Sternringstelle 06	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname ODY	Ringwert ODY	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0642	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
10	LOCAL_NAME:P1003-E0646:NAME_1	GDT581_NAME_SPAN	P1003-E0646	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0646	P1003-E0646	f71v	CELESTIAL	f71v.17	sholshdy	dy	STAR_BEARING_RING_POSITION	1	wiederkehrender Ring- oder Kalenderwert DY	Sternringstelle 07	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname DY	Ringwert DY	GDT584_POLISHED_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0646	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
