context_ordinal	compound_id	case_scope	source_kind	physical_page	register	locus	declared_event_ids	source_order_event_ids	source_order_status	local_card_host_keys	source_bundle_ids	source_record_ids	context_bundle_ids	context_record_ids	context_scope	context_card_count	context_event_ids	context_extension_event_ids	intervening_event_ids	running_statement_ids	running_statement_link_status	source_order_grammar_primary_de	gdt585_declared_grammar_primary_de	record_context_primary_de	record_context_legacy_de	gdt585_primary_default_sequence	gdt582_exact_legacy_default_sequence	strongest_current_rival_de	visual_or_composition_hypothesis_de	context_effect	gdt586_disposition	gdt586_best_working_reading_de	context_extension_limit	guard
1	GDT585-C001	CANONICAL_MULTI_OR_SAME_OBJECT_GROUP	TWO_LABEL_SAME_OWNER_BUNDLE	f17r	HERBAL	f17r.13	P1003-E0080|P1003-E0079	P1003-E0079|P1003-E0080	GDT585_VISUAL_ORDER_DIFFERS__SOURCE_ORDER_RESTORED	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0079|LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0080	G474-B001	G475-R001	G474-B001	G475-R001	EXACT_SOURCE_RECORD_CONTEXT	2	P1003-E0079|P1003-E0080	NONE	NONE	NONE	NONE__ALL_GROUP_EVENTS_ARE_LOCAL_CARDS__NO_SENTENCE_INHERITANCE	Pflanzenname »rechte Blütenform [eeeon]« — Folgevermerk. Pflanzenname »linke Blütenform [oiil]«.	Pflanzenname »linke Blütenform [oiil]«. Pflanzenname »rechte Blütenform [eeeon]« — Folgevermerk.	[P1003-E0079 / G475-R001 / f17r.13] Pflanzenname »rechte Blütenform [eeeon]« — Folgevermerk. [P1003-E0080 / G475-R001 / f17r.13] Pflanzenname »linke Blütenform [oiil]«.	[P1003-E0079 / G475-R001 / f17r.13] auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0079]: ganze blühende Heilpflanze; im Rahmen [LOCAL_CONTROL:P1003-E0079@1:OT]: danach / neuer Arbeitsgang. [P1003-E0080 / G475-R001 / f17r.13] auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0080]: ganze Heilpflanze B.	rechte Blütenform|linke Blütenform	ganze blühende Heilpflanze|ganze Heilpflanze B	Hauptname und weiterer Name oder Beiname derselben Pflanzenart	Linke Blütenform oiil; daneben als nächste die rechte Blütenform eeeon derselben einzigen Pflanze.	ORDER_CORRECTION	SOURCE_ORDER_REPAIRED__VISUAL_PAIR_RETAINED	In Quellreihenfolge steht zuerst die rechte Blütenform mit Folgevermerk und danach die linke Blütenform. In der getrennten Bildspur bleibt die natürliche Links-rechts-Lesung linke plus rechte Blütenform derselben Pflanze die beste Arbeitshypothese.	Der gemeinsame Record endet nach genau diesen zwei Labels; er erlaubt keine laufende Satzlesung und entscheidet noch nicht zwischen zwei Blütenformen und Hauptname plus Beiname.	SOURCE_ORDER_GRAMMAR__VISUAL_COMPOSITION__EXACT_GDT582_RIVAL_SEPARATE__NO_RUNNING_STATEMENT_INVENTED
2	GDT585-C002	CANONICAL_MULTI_OR_SAME_OBJECT_GROUP	MULTI_NAME_LABEL	f72r	CELESTIAL	f72r1.2	P1008-E0127	P1008-E0127	GDT585_ORDER_MATCHES_SOURCE_ORDER	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0127	G474-B017	G475-R017	G474-B017	G475-R017	EXACT_SOURCE_RECORD_CONTEXT	1	P1008-E0127	NONE	NONE	NONE	NONE__ALL_GROUP_EVENTS_ARE_LOCAL_CARDS__NO_SENTENCE_INHERITANCE	Halte den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« und den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert ODADY [odady]«.	Halte den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« und den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert ODADY [odady]«.	[P1008-E0127 / G475-R017 / f72r1.2] Halte den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« und den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert ODADY [odady]«.	[P1008-E0127 / G475-R017 / f72r1.2] Halte die Position fest. Verwende für den vorangehenden Arbeitsschritt Sternringstelle 08 und Sternringstelle 09.	wiederkehrender Ring- oder Kalenderwert O|gelernter Ringfiguren- oder Sternwert ODADY	Sternringstelle 08|Sternringstelle 09	zwei selbständige geordnete Stern- oder Kalendereinträge	Eine Ringfigur koppelt den Primärwert wiederkehrender Ring- oder Kalenderwert O mit dem getragenen oder attributiven Wert gelernter Ringfiguren- oder Sternwert ODADY.	SUPPORTS	KEEP_ONE_FIGURE_TWO_VALUES	Die eine Anweisung hält O und ODADY gemeinsam. Am besten liest sich das als ein Figuren- oder Ringeintrag mit Primärwert und mitgeführtem Zweitwert, nicht als zwei zufällig nebeneinanderstehende Einzelwörter.	Der Record ist ein Singleton; außerhalb dieser Karte gibt es keinen zusätzlichen Textkontext.	SOURCE_ORDER_GRAMMAR__VISUAL_COMPOSITION__EXACT_GDT582_RIVAL_SEPARATE__NO_RUNNING_STATEMENT_INVENTED
3	GDT585-C003	CANONICAL_MULTI_OR_SAME_OBJECT_GROUP	MULTI_NAME_LABEL	f72r	CELESTIAL	f72r1.6	P1008-E0133	P1008-E0133	GDT585_ORDER_MATCHES_SOURCE_ORDER	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0133	G474-B021	G475-R021	G474-B021	G475-R021	EXACT_SOURCE_RECORD_CONTEXT	1	P1008-E0133	NONE	NONE	NONE	NONE__ALL_GROUP_EVENTS_ARE_LOCAL_CARDS__NO_SENTENCE_INHERITANCE	Halte den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert YT [yt]« und den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert DY [dy]« zur Zielposition.	Halte den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert YT [yt]« und den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert DY [dy]« zur Zielposition.	[P1008-E0133 / G475-R021 / f72r1.6] Halte den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert YT [yt]« und den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert DY [dy]« zur Zielposition.	[P1008-E0133 / G475-R021 / f72r1.6] Halte die Position zur Zielposition fest. Verwende für den vorangehenden Arbeitsschritt Sternringstelle 11 und Sternringstelle 07.	wiederkehrender Ring- oder Kalenderwert YT|wiederkehrender Ring- oder Kalenderwert DY	Sternringstelle 11|Sternringstelle 07	zwei selbständige geordnete Stern- oder Kalendereinträge	Eine Ringfigur koppelt den Primärwert wiederkehrender Ring- oder Kalenderwert YT mit dem getragenen oder attributiven Wert wiederkehrender Ring- oder Kalenderwert DY.	SUPPORTS	KEEP_ORDERED_VALUE_PAIR_TO_TARGET	YT und DY bilden unter derselben Halteanweisung ein geordnetes Wertepaar, das gemeinsam zur Zielposition gehört. Welche realen Kalenderwerte dahinterstehen, bleibt offen.	Der Record ist ein Singleton; die Zielrelation stammt aus der sichtbaren technischen Hülle derselben Karte.	SOURCE_ORDER_GRAMMAR__VISUAL_COMPOSITION__EXACT_GDT582_RIVAL_SEPARATE__NO_RUNNING_STATEMENT_INVENTED
4	GDT585-C004	CANONICAL_MULTI_OR_SAME_OBJECT_GROUP	MULTI_NAME_LABEL	f72r	CELESTIAL	f72r2.2	P1008-E0191	P1008-E0191	GDT585_ORDER_MATCHES_SOURCE_ORDER	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0191	G474-B033	G475-R033	G474-B033	G475-R033	EXACT_SOURCE_RECORD_CONTEXT	1	P1008-E0191	NONE	NONE	NONE	NONE__ALL_GROUP_EVENTS_ARE_LOCAL_CARDS__NO_SENTENCE_INHERITANCE	Setze den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert L [l]« und den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert DY [dy]« entlang der Ringbahn.	Setze den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert L [l]« und den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert DY [dy]« entlang der Ringbahn.	[P1008-E0191 / G475-R033 / f72r2.2] Setze den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert L [l]« und den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert DY [dy]« entlang der Ringbahn.	[P1008-E0191 / G475-R033 / f72r2.2] Trage ein: entlang der Ringbahn; auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0191]: Sternringstelle 17, Sternringstelle 07.	gelernter Ringfiguren- oder Sternwert L|wiederkehrender Ring- oder Kalenderwert DY	Sternringstelle 17|Sternringstelle 07	zwei selbständige geordnete Stern- oder Kalendereinträge	Eine Ringfigur koppelt den Primärwert gelernter Ringfiguren- oder Sternwert L mit dem getragenen oder attributiven Wert wiederkehrender Ring- oder Kalenderwert DY.	SUPPORTS	KEEP_TWO_FIELD_RING_ENTRY	L und DY werden gemeinsam entlang der Ringbahn gesetzt. Die brauchbarste Lesung ist ein zweifeldriger Ring- oder Figureneintrag, nicht ein zerlegtes natürlichsprachliches Wort.	Der Record ist ein Singleton; die Ringbahn ist die einzige zusätzliche Funktionsangabe.	SOURCE_ORDER_GRAMMAR__VISUAL_COMPOSITION__EXACT_GDT582_RIVAL_SEPARATE__NO_RUNNING_STATEMENT_INVENTED
5	GDT585-C005	CANONICAL_MULTI_OR_SAME_OBJECT_GROUP	MULTI_NAME_LABEL	f72r	CELESTIAL	f72r2.13	P1008-E0243	P1008-E0243	GDT585_ORDER_MATCHES_SOURCE_ORDER	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0243	G474-B043	G475-R043	G474-B043	G475-R043	EXACT_SOURCE_RECORD_CONTEXT	1	P1008-E0243	NONE	NONE	NONE	NONE__ALL_GROUP_EVENTS_ARE_LOCAL_CARDS__NO_SENTENCE_INHERITANCE	Sternstelle »gelernter Ringfiguren- oder Sternwert EE [ee]« / Sternstelle »wiederkehrender Ring- oder Kalenderwert Y [y]« — Folgevermerk, Ausgangszuordnung.	Sternstelle »gelernter Ringfiguren- oder Sternwert EE [ee]« / Sternstelle »wiederkehrender Ring- oder Kalenderwert Y [y]« — Folgevermerk, Ausgangszuordnung.	[P1008-E0243 / G475-R043 / f72r2.13] Sternstelle »gelernter Ringfiguren- oder Sternwert EE [ee]« / Sternstelle »wiederkehrender Ring- oder Kalenderwert Y [y]« — Folgevermerk, Ausgangszuordnung.	[P1008-E0243 / G475-R043 / f72r2.13] auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0243]: Sternringstelle 20, Sternringstelle 18; im Rahmen [LOCAL_CONTROL:P1008-E0243@1:OT]: danach / neuer Arbeitsgang; im lokalen Record [LOCAL_RECORD:G475-R043]: von der Ausgangsposition.	gelernter Ringfiguren- oder Sternwert EE|wiederkehrender Ring- oder Kalenderwert Y	Sternringstelle 20|Sternringstelle 18	zwei selbständige geordnete Stern- oder Kalendereinträge	Eine Ringfigur koppelt den Primärwert gelernter Ringfiguren- oder Sternwert EE mit dem getragenen oder attributiven Wert wiederkehrender Ring- oder Kalenderwert Y.	NEUTRAL	KEEP_CATALOGUE_PAIR_WITH_ORIGIN	EE und Y bleiben zwei katalogisierte Werte derselben Stelle; OT und AR kennzeichnen Folge und Ausgangszuordnung. Der Kontext erzwingt weder ein Compound noch zwei unabhängige Objekte.	Der Record ist ein Singleton und liefert keine weitere Karte zur Entscheidung.	SOURCE_ORDER_GRAMMAR__VISUAL_COMPOSITION__EXACT_GDT582_RIVAL_SEPARATE__NO_RUNNING_STATEMENT_INVENTED
6	GDT585-C006	CANONICAL_MULTI_OR_SAME_OBJECT_GROUP	MULTI_NAME_LABEL	f72r	CELESTIAL	f72r3.5	P1008-E0353	P1008-E0353	GDT585_ORDER_MATCHES_SOURCE_ORDER	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0353	G474-B064	G475-R062	G474-B064	G475-R062	EXACT_SOURCE_RECORD_CONTEXT	1	P1008-E0353	NONE	NONE	NONE	NONE__ALL_GROUP_EVENTS_ARE_LOCAL_CARDS__NO_SENTENCE_INHERITANCE	Halte den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert OS [os]« und den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert EEEO [eeeo]« von der Ausgangsposition.	Halte den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert OS [os]« und den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert EEEO [eeeo]« von der Ausgangsposition.	[P1008-E0353 / G475-R062 / f72r3.5] Halte den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert OS [os]« und den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert EEEO [eeeo]« von der Ausgangsposition.	[P1008-E0353 / G475-R062 / f72r3.5] Halte die Position von der Ausgangsposition fest. Verwende für den vorangehenden Arbeitsschritt Sternringstelle 27 und Sternringstelle 28.	gelernter Ringfiguren- oder Sternwert OS|gelernter Ringfiguren- oder Sternwert EEEO	Sternringstelle 27|Sternringstelle 28	zwei selbständige geordnete Stern- oder Kalendereinträge	Eine Ringfigur koppelt den Primärwert gelernter Ringfiguren- oder Sternwert OS mit dem getragenen oder attributiven Wert gelernter Ringfiguren- oder Sternwert EEEO.	SUPPORTS	KEEP_CARRIED_PAIR_FROM_SOURCE	OS und EEEO werden gemeinsam von einer Ausgangsposition gehalten. Das passt weiterhin am besten zu Primärwert plus mitgeführtem Wert innerhalb eines Ringeintrags.	Der Record ist ein Singleton; mehr als die gemeinsame Handlung und Ausgangsrelation ist nicht vorhanden.	SOURCE_ORDER_GRAMMAR__VISUAL_COMPOSITION__EXACT_GDT582_RIVAL_SEPARATE__NO_RUNNING_STATEMENT_INVENTED
7	GDT585-C007	CANONICAL_MULTI_OR_SAME_OBJECT_GROUP	MULTI_NAME_LABEL	f72r	CELESTIAL	f72r3.25	P1008-E0424	P1008-E0424	GDT585_ORDER_MATCHES_SOURCE_ORDER	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0424	G474-B083	G475-R078	G474-B081|G474-B082|G474-B083	G475-R078	EXACT_MULTI_CARD_RECORD_CONTEXT	4	P1008-E0421|P1008-E0422|P1008-E0423|P1008-E0424	P1008-E0421|P1008-E0422|P1008-E0423	NONE	NONE	NONE__ALL_GROUP_EVENTS_ARE_LOCAL_CARDS__NO_SENTENCE_INHERITANCE	Weiter halte den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert F [f]« und den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert EOR [eor]« zur Zielposition.	Weiter halte den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert F [f]« und den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert EOR [eor]« zur Zielposition.	[P1008-E0421 / G475-R078 / f72r3.23] Sternstelle »gelernter Ringfiguren- oder Sternwert A [a]« — Einheitsangabe, Ausgangszuordnung. [P1008-E0422 / G475-R078 / f72r3.24] im Rahmen [LOCAL_CONTROL:P1008-E0422@1:OL]: weiter im selben Arbeitsgang; im lokalen Record [LOCAL_RECORD:G475-R078]: Positionswert. [P1008-E0423 / G475-R078 / f72r3.24] Sternstelle »gelernter Ringfiguren- oder Sternwert AY [ay]« — Fortsetzungsvermerk. [P1008-E0424 / G475-R078 / f72r3.25] Weiter halte den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert F [f]« und den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert EOR [eor]« zur Zielposition.	[P1008-E0421 / G475-R078 / f72r3.23] auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0421]: Sternringstelle 37; im lokalen Record [LOCAL_RECORD:G475-R078]: Sektoreinheit, von der Ausgangsposition. [P1008-E0422 / G475-R078 / f72r3.24] im Rahmen [LOCAL_CONTROL:P1008-E0422@1:OL]: weiter im selben Arbeitsgang; im lokalen Record [LOCAL_RECORD:G475-R078]: Positionswert. [P1008-E0423 / G475-R078 / f72r3.24] auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0423]: Sternringstelle 38; im Rahmen [LOCAL_CONTROL:P1008-E0423@1:OL]: weiter im selben Arbeitsgang. [P1008-E0424 / G475-R078 / f72r3.25] Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt Sternringstelle 35 und Sternringstelle 39. Halte die Position zur Zielposition fest.	wiederkehrender Ring- oder Kalenderwert F|gelernter Ringfiguren- oder Sternwert EOR	Sternringstelle 35|Sternringstelle 39	zwei selbständige geordnete Stern- oder Kalendereinträge	Eine Ringfigur koppelt den Primärwert wiederkehrender Ring- oder Kalenderwert F mit dem getragenen oder attributiven Wert gelernter Ringfiguren- oder Sternwert EOR.	STRONGLY_SUPPORTS	KEEP_CONTINUED_RECORD_PAIR	Der volle Record führt erst A, dann einen Positionswert und AY und endet mit der Anweisung, F und EOR weiter zur Zielposition zu halten. F/EOR ist daher am ehesten das zweifeldrige Schlussglied eines fortgesetzten Ringrecords.	Dies ist einer von nur zwei Fällen mit echtem Mehrkartenkontext; die vier Karten und drei Bundles bleiben in Quellreihenfolge sichtbar.	SOURCE_ORDER_GRAMMAR__VISUAL_COMPOSITION__EXACT_GDT582_RIVAL_SEPARATE__NO_RUNNING_STATEMENT_INVENTED
8	GDT585-C008	CANONICAL_MULTI_OR_SAME_OBJECT_GROUP	MULTI_NAME_LABEL	f72r	CELESTIAL	f72r3.28	P1008-E0453	P1008-E0453	GDT585_ORDER_MATCHES_SOURCE_ORDER	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0453	G474-B085	G475-R080	G474-B085	G475-R080	EXACT_SOURCE_RECORD_CONTEXT	1	P1008-E0453	NONE	NONE	NONE	NONE__ALL_GROUP_EVENTS_ARE_LOCAL_CARDS__NO_SENTENCE_INHERITANCE	Sternstelle »gelernter Ringfiguren- oder Sternwert YF [yf]« / Sternstelle »wiederkehrender Ring- oder Kalenderwert Y [y]« — Ausgangszuordnung.	Sternstelle »gelernter Ringfiguren- oder Sternwert YF [yf]« / Sternstelle »wiederkehrender Ring- oder Kalenderwert Y [y]« — Ausgangszuordnung.	[P1008-E0453 / G475-R080 / f72r3.28] Sternstelle »gelernter Ringfiguren- oder Sternwert YF [yf]« / Sternstelle »wiederkehrender Ring- oder Kalenderwert Y [y]« — Ausgangszuordnung.	[P1008-E0453 / G475-R080 / f72r3.28] auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0453]: Sternringstelle 40, Sternringstelle 18; im lokalen Record [LOCAL_RECORD:G475-R080]: von der Ausgangsposition.	gelernter Ringfiguren- oder Sternwert YF|wiederkehrender Ring- oder Kalenderwert Y	Sternringstelle 40|Sternringstelle 18	zwei selbständige geordnete Stern- oder Kalendereinträge	Eine Ringfigur koppelt den Primärwert gelernter Ringfiguren- oder Sternwert YF mit dem getragenen oder attributiven Wert wiederkehrender Ring- oder Kalenderwert Y.	NEUTRAL	KEEP_CATALOGUE_PAIR_WITH_ORIGIN	YF und Y bleiben ein geordnetes Katalogpaar mit Ausgangszuordnung. Eine inhaltliche Kalender- oder Sternidentität lässt sich aus dem Singleton nicht ergänzen.	Der Record ist ein Singleton.	SOURCE_ORDER_GRAMMAR__VISUAL_COMPOSITION__EXACT_GDT582_RIVAL_SEPARATE__NO_RUNNING_STATEMENT_INVENTED
9	GDT585-C009	CANONICAL_MULTI_OR_SAME_OBJECT_GROUP	MULTI_NAME_LABEL	f72r	CELESTIAL	f72r3.31	P1008-E0457	P1008-E0457	GDT585_ORDER_MATCHES_SOURCE_ORDER	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0457	G474-B088	G475-R083	G474-B088	G475-R083	EXACT_SOURCE_RECORD_CONTEXT	1	P1008-E0457	NONE	NONE	NONE	NONE__ALL_GROUP_EVENTS_ARE_LOCAL_CARDS__NO_SENTENCE_INHERITANCE	Nimm den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« und den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« auf und stelle den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« und den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« ein.	Nimm den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« und den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« auf und stelle den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« und den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« ein.	[P1008-E0457 / G475-R083 / f72r3.31] Nimm den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« und den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« auf und stelle den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« und den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« ein.	[P1008-E0457 / G475-R083 / f72r3.31] Lies ab. Verwende für den vorangehenden Arbeitsschritt Sternringstelle 08. Stelle die Position ein.	wiederkehrender Ring- oder Kalenderwert O|wiederkehrender Ring- oder Kalenderwert O	Sternringstelle 08|Sternringstelle 08	zwei selbständige geordnete Stern- oder Kalendereinträge	Eine Ringfigur trägt denselben Wert wiederkehrender Ring- oder Kalenderwert O zweimal in technisch getrennten Rollen.	STRONGLY_SUPPORTS	KEEP_SAME_VALUE_TWO_ROLES	Der identische Kurzwert O erscheint zweimal in technisch getrennten Rollen derselben Aufnahme- und Einstellanweisung. Das ist der klarste Gruppenfall für einen wiederholten Wert statt zweier verschieden benannter Sterne.	Der Record ist ein Singleton; die Wiederholung ist vollständig innerhalb derselben festen Karte sichtbar.	SOURCE_ORDER_GRAMMAR__VISUAL_COMPOSITION__EXACT_GDT582_RIVAL_SEPARATE__NO_RUNNING_STATEMENT_INVENTED
10	GDT585-C010	CANONICAL_MULTI_OR_SAME_OBJECT_GROUP	MULTI_NAME_LABEL	f77r	BIOLOGICAL	f77r.1	P1003-E0081	P1003-E0081	GDT585_ORDER_MATCHES_SOURCE_ORDER	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0081	G474-B091	G475-R085	G474-B091|G474-B092	G475-R085	EXACT_MULTI_CARD_RECORD_CONTEXT	2	P1003-E0081|P1003-E0082	P1003-E0082	NONE	NONE	NONE__ALL_GROUP_EVENTS_ARE_LOCAL_CARDS__NO_SENTENCE_INHERITANCE	Badstation »Endfigur [d]« / Badstation »linker Speiseanschluss [chd]« — Ausgangszuordnung, Ausgangszuordnung.	Badstation »Endfigur [d]« / Badstation »linker Speiseanschluss [chd]« — Ausgangszuordnung, Ausgangszuordnung.	[P1003-E0081 / G475-R085 / f77r.1] Badstation »Endfigur [d]« / Badstation »linker Speiseanschluss [chd]« — Ausgangszuordnung, Ausgangszuordnung. [P1003-E0082 / G475-R085 / f77r.2] Badstation »linker Anschlusskopf [kchs]« — Fortsetzungsvermerk.	[P1003-E0081 / G475-R085 / f77r.1] auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0081]: Ablauf, erwärmtes Becken; im lokalen Record [LOCAL_RECORD:G475-R085]: von der Ausgangsstation oder aus dem Ausgangsbecken, von der Ausgangsstation oder aus dem Ausgangsbecken. [P1003-E0082 / G475-R085 / f77r.2] auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0082]: Zulaufrohr; im Rahmen [LOCAL_CONTROL:P1003-E0082@1:OL]: weiter im selben Arbeitsgang.	Endfigur|linker Speiseanschluss	Ablauf|erwärmtes Becken	Ablauf plus erwärmtes Becken	Am linken Quellende steht die Bedien- oder Badendenfigur d beim Quell- oder Speiseanschluss chd.	STRONGLY_SUPPORTS	KEEP_LEFT_TERMINAL_CHAIN	Endfigur D und linker Speiseanschluss CHD bilden den ersten Katalogkopf; unmittelbar danach folgt KCHS als linker Anschlusskopf. Der volle Record stärkt damit eine linke Endstellen- und Anschlussfolge.	Dies ist der zweite echte Mehrkartenkontext; beide Loci und Bundles bleiben getrennt und geordnet.	SOURCE_ORDER_GRAMMAR__VISUAL_COMPOSITION__EXACT_GDT582_RIVAL_SEPARATE__NO_RUNNING_STATEMENT_INVENTED
