page_ordinal	physical_page	running_statement_count	polished_statement_count	local_card_count	polished_local_card_count	running_name_override_slot_count	local_name_override_slot_count	name_bearing_reader_unit_count	guard
1	f1r	7	7	0	0	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
2	f10r	2	2	0	0	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
3	f11r	2	2	0	0	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
4	f13r	5	5	0	0	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
5	f17r	8	5	2	0	0	2	2	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
6	f18r	5	3	0	0	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
7	f24v	3	3	0	0	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
8	f55v	5	4	0	0	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
9	f56r	3	3	0	0	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
10	f67r2	11	11	64	25	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
11	f68r1	3	3	34	11	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
12	f71v	5	5	22	2	0	8	8	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
13	f72r	22	19	96	10	0	52	44	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
14	f75r	111	64	10	5	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
15	f76r	118	91	9	0	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
16	f77r	82	55	11	2	0	7	5	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
17	f81r	48	37	0	0	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
18	f81v	54	43	2	0	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
19	f82r	62	46	13	2	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
20	f83r	91	68	4	4	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
21	f88r	5	4	16	4	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
22	f88v	13	10	14	1	0	14	11	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
23	f89r	20	14	38	6	0	24	19	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
24	f95v	30	28	0	0	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
25	f4r	5	4	0	0	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
26	f20v	3	3	0	0	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
27	f31r	19	12	0	0	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
28	f66r	51	40	51	14	2	0	2	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
29	f69v	0	0	140	26	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
30	f70v	0	0	218	46	0	0	0	DISPLAY_GROUPING_BY_PHYSICAL_PAGE_ONLY__NO_LOCAL_TO_RUNNING_ATTACHMENT
