event_id	page	record	statement_id	exact_card_id	surface	component_recipe	operation_tokens	operation_readings_de	operation_count	working_reading_de	all_operation_meanings_present
E049	f11r	H3	H3-S003	PROC035	kchy	K+Y	K	ZUGEBEN	1	ZUGEBEN · DIES	YES
E062	f55v	H4	H4-S002	PROC042	chedy	CHD+Y	CHD	UMSETZEN	1	UMSETZEN · DIES	YES
E079	f56r	H5	H5-S001	PROC054	kchol	K+OL	K	ZUGEBEN	1	ZUGEBEN · WEITER	YES
E093	f56r	H5	H5-S004	PROC062	kchal	K+AL	K	ZUGEBEN	1	ZUGEBEN · ZIELSTELLE	YES
E103	f81v	B1	B1-S002	PROC068	kair	K+AIR	K	ZUGEBEN	1	ZUGEBEN · WASSER	YES
E107	f81v	B1	B1-S002	PROC069	kain	K+AIN	K	ZUGEBEN	1	ZUGEBEN · PORTION	YES
E120	f81v	B1	B1-S002	PROC076	schedy	CHD+DY	CHD	UMSETZEN	1	UMSETZEN · SCHLUSS	YES
E123	f81v	B1	B1-S004	PROC042	chedy	CHD+Y	CHD	UMSETZEN	1	UMSETZEN · DIES	YES
E145	f81v	B1	B1-S014	PROC042	chedy	CHD+Y	CHD	UMSETZEN	1	UMSETZEN · DIES	YES
E158	f81v	B1	B1-S017	PROC094	dchdy	CHD+DY	CHD	UMSETZEN	1	UMSETZEN · SCHLUSS	YES
E159	f81v	B1	B1-S018	PROC095	ly	L+Y	L	LEITEN	1	LEITEN · DIES	YES
E167	f82r	B2	B2-S001	PROC076	dchedy	CHD+DY	CHD	UMSETZEN	1	UMSETZEN · SCHLUSS	YES
E184	f82r	B2	B2-S005	PROC108	ldy	L+DY	L	LEITEN	1	LEITEN · SCHLUSS	YES
E211	f82r	B2	B2-S014	PROC121	lar	L+AR	L	LEITEN	1	LEITEN · QUELLE	YES
E239	f83r	B3	B3-S005	PROC076	schedy	CHD+DY	CHD	UMSETZEN	1	UMSETZEN · SCHLUSS	YES
E240	f83r	B3	B3-S006	PROC133	chedchy	CHD+Y	CHD	UMSETZEN	1	UMSETZEN · DIES	YES
E244	f83r	B3	B3-S007	PROC042	chedy	CHD+Y	CHD	UMSETZEN	1	UMSETZEN · DIES	YES
E252	f83r	B3	B3-S011	PROC042	chedy	CHD+Y	CHD	UMSETZEN	1	UMSETZEN · DIES	YES
E257	f83r	B3	B3-S013	PROC069	chkain	K+AIN	K	ZUGEBEN	1	ZUGEBEN · PORTION	YES
E283	f83r	B3	B3-S024	PROC076	tchedy	CHD+DY	CHD	UMSETZEN	1	UMSETZEN · SCHLUSS	YES
E287	f83r	B3	B3-S026	PROC042	chedy	CHD+Y	CHD	UMSETZEN	1	UMSETZEN · DIES	YES
E300	f83r	B3	B3-S030	PROC150	schedair	CHD+AIR	CHD	UMSETZEN	1	UMSETZEN · WASSER	YES
E303	f83r	B3	B3-S032	PROC151	chedain	CHD+AIN	CHD	UMSETZEN	1	UMSETZEN · PORTION	YES
E304	f83r	B3	B3-S032	PROC042	chedy	CHD+Y	CHD	UMSETZEN	1	UMSETZEN · DIES	YES
E308	f83r	B3	B3-S033	PROC108	ldy	L+DY	L	LEITEN	1	LEITEN · SCHLUSS	YES
E319	f83r	B4	B4-S003	PROC042	chedy	CHD+Y	CHD	UMSETZEN	1	UMSETZEN · DIES	YES
E328	f83r	B4	B4-S005	PROC042	chedy	CHD+Y	CHD	UMSETZEN	1	UMSETZEN · DIES	YES
E342	f83r	B4	B4-S011	PROC042	chdy	CHD+Y	CHD	UMSETZEN	1	UMSETZEN · DIES	YES
E354	f83r	B4	B4-S015	PROC069	kain	K+AIN	K	ZUGEBEN	1	ZUGEBEN · PORTION	YES
E360	f83r	B4	B4-S016	PROC165	skar	K+AR	K	ZUGEBEN	1	ZUGEBEN · QUELLE	YES
E367	f83r	B5	B5-S003	PROC167	lol	L+OL	L	LEITEN	1	LEITEN · WEITER	YES
E368	f83r	B5	B5-S003	PROC168	chdal	CHD+AL	CHD	UMSETZEN	1	UMSETZEN · ZIELSTELLE	YES
E372	f83r	B5	B5-S003	PROC042	chedy	CHD+Y	CHD	UMSETZEN	1	UMSETZEN · DIES	YES
