statement_id	page	record	case_id	surface_sequence	event_count	selected_motifs	selected_motif_instances	events_covered_by_motifs	events_left_as_individual_cards	minimal_source_reading_de	all_events_accounted
H1-S001	f10r	H1	C1	dchey cthoor char chty os chair otytchol oky daiin etyd	10	M02_SET_ITEM_MEASURE	1	2	8	ABNEHMEN · KURZ · ARBEITSPOSTEN / BEREIT · ARBEITSGANG · ANSATZ / VORRAT / EINTRAGEN · ARBEITSPOSTEN / ARBEITSFACH / ABNEHMEN · FLUESSIGKEITSLAUF / DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN / [POSTEN ANSETZEN, DANN SOLLMASS] / KURZ · EINTRAGEN · ARBEITSPOSTEN	YES
H2-S001	f10r	H2	C2	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	9	M01_ITEM_MEASURE_FRAME	1	3	6	ARBEITSPOSTEN · ABNEHMEN · KURZ · ANSATZ / BEREIT · ARBEITSPOSTEN / ANSATZ / BEREIT · SOLLMASS / ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN / ARBEITSPOSTEN / [LAUFENDER POSTEN IM SOLLMASS-RAHMEN]	YES
H2-S002	f10r	H2	C2	qotchor chor otol chol cholor chol daiin dar	8	M06_FEED_CONTINUATION	1	2	6	DANACH · ABNEHMEN · ANSATZ / ANSATZ / DANACH · FORTSETZEN / FORTSETZEN / [VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN] / SOLLMASS / VORRAT	YES
H2-S003	f10r	H2	C2	oykchor shor chor chy kaiiin dy chodaiin	7	M03_PREPARATION_ITEM	1	2	5	ARBEITSGANG · ARBEITSPOSTEN · ZUDOSIEREN · ANSATZ / ANSATZ / [ANSATZ AUF DEN LAUFENDEN POSTEN BEZIEHEN] / ZUDOSIEREN · ARBEITSSTUFE / ARBEITSPOSTEN / ABNEHMEN · ARBEITSGANG · SOLLMASS	YES
H3-S003	f11r	H3	C3	dchol chy kchy dy daiin	5	M01_ITEM_MEASURE_FRAME	1	2	3	WIEDERAUFNEHMEN / ARBEITSPOSTEN / ZUDOSIEREN · ARBEITSPOSTEN / [LAUFENDER POSTEN IM SOLLMASS-RAHMEN]	YES
H4-S004	f55v	H4	C4	aiin okal oltchy or y orain	6	M03_PREPARATION_ITEM	1	2	4	SOLLMASS / ANSETZEN · ZIELSTELLE / FORTSETZEN · EINTRAGEN · ARBEITSPOSTEN / [ANSATZ AUF DEN LAUFENDEN POSTEN BEZIEHEN] / ANSATZ · PORTION	YES
B1-S002	f81v	B1	C1	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	19	M08_PORTION_TARGET|M06_FEED_CONTINUATION	2	4	15	ANSETZEN · SOLLMASS / ZUDOSIEREN · FLUESSIGKEITSLAUF / ANSETZEN · ZIELSTELLE / VORRAT / FORTSETZEN / ZUDOSIEREN · PORTION / [PORTION ZUDOSIEREN UND AN DIE ZIELSTELLE GEBEN] / FORTSETZEN / KUEHLEN · FORTSETZEN / WEITERLEITEN / [VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN] / HALTEN · KURZ · DURCHLASSKANAL · ZIELSTELLE / SOLLMASS / ANSETZEN · LANG · ZIELSTELLE / SOLLMASS / DURCHLASSKANAL · ARBEITSPOSTEN / UMSETZEN; SCHLUSS	YES
B1-S004	f81v	B1	C1	chedy ol shedy	3	M06_FEED_CONTINUATION	1	2	1	[VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN] / ABSETZEN; SCHLUSS	YES
B1-S008	f81v	B1	C1	chey ol cheky ol shedy	5	M04_CONTINUE_CLOSE	1	2	3	ARBEITSPOSTEN / FORTSETZEN / WAERMEN · KURZ · ARBEITSPOSTEN / [FORTSETZEN, ABSETZEN UND SCHLIESSEN]	YES
B1-S016	f81v	B1	C1	qokal okeey qol cheedy	4	M04_CONTINUE_CLOSE	1	2	2	ANSETZEN · ZIELSTELLE / ANSETZEN · LANG · ARBEITSPOSTEN / [FORTSETZEN, ABSETZEN UND SCHLIESSEN]	YES
B2-S010	f82r	B2	C2	qokeey qoky ls cheey	4	M09_LONG_SET_BRANCH	1	2	2	[NACH LANGEM ANSETZEN WEITERSETZEN ODER KURZ SCHLIESSEN] / FORTSETZEN / HALTEN · LANG · ARBEITSPOSTEN	YES
B2-S012	f82r	B2	C2	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	8	M01_ITEM_MEASURE_FRAME	1	2	6	WEITERLEITEN · ABNEHMEN · ARBEITSPOSTEN / HALTEN · LANG · ARBEITSPOSTEN / BEREIT · KURZ · ARBEITSPOSTEN / ANSETZEN · LANG · ARBEITSPOSTEN / WEITERLEITEN · LANG · ARBEITSPOSTEN / [LAUFENDER POSTEN IM SOLLMASS-RAHMEN] / ANSETZEN · VOLL; SCHLUSS	YES
B3-S003	f83r	B3	C3	chey daiin chey lchedy	4	M01_ITEM_MEASURE_FRAME	1	3	1	[LAUFENDER POSTEN IM SOLLMASS-RAHMEN] / WEITERLEITEN · UMSETZEN; SCHLUSS	YES
B3-S007	f83r	B3	C3	qokaiin chedy qokeedy	3	M07_TRANSFER_LONG_CLOSE	1	2	1	ANSETZEN · SOLLMASS / [POSTEN UMSETZEN UND LANG ANSETZEN; SCHLUSS]	YES
B3-S021	f83r	B3	C3	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	11	M01_ITEM_MEASURE_FRAME	1	2	9	ANSETZEN · SOLLMASS / BEREIT · ARBEITSPOSTEN / ZIELSTELLE / [LAUFENDER POSTEN IM SOLLMASS-RAHMEN] / ABSETZEN · ZIELSTELLE / HALTEN · KURZ · BEREIT · ARBEITSPOSTEN / ARBEITSPOSTEN / ZIELSTELLE / BEREIT · ARBEITSPOSTEN / ZIELSTELLE · UMSETZEN; SCHLUSS	YES
B3-S028	f83r	B3	C3	qokeey qokedy	2	M09_LONG_SET_BRANCH	1	2	0	[NACH LANGEM ANSETZEN WEITERSETZEN ODER KURZ SCHLIESSEN]	YES
B3-S030	f83r	B3	C3	qoky saiin schedair otchedy	4	M02_SET_ITEM_MEASURE	1	2	2	[POSTEN ANSETZEN, DANN SOLLMASS] / UMSETZEN · FLUESSIGKEITSLAUF / DANACH · UMSETZEN; SCHLUSS	YES
B4-S002	f83r	B4	C4	qolchey qokeey qokedy	3	M09_LONG_SET_BRANCH	1	2	1	FORTSETZEN · ARBEITSPOSTEN / [NACH LANGEM ANSETZEN WEITERSETZEN ODER KURZ SCHLIESSEN]	YES
B4-S003	f83r	B4	C4	chedy otal otchey qokeey qoky tol shedy	7	M09_LONG_SET_BRANCH|M04_CONTINUE_CLOSE	2	4	3	UMSETZEN · ARBEITSPOSTEN / DANACH · ZIELSTELLE / DANACH · ARBEITSPOSTEN / [NACH LANGEM ANSETZEN WEITERSETZEN ODER KURZ SCHLIESSEN] / [FORTSETZEN, ABSETZEN UND SCHLIESSEN]	YES
B4-S005	f83r	B4	C4	dain chedy qokeedy	3	M07_TRANSFER_LONG_CLOSE	1	2	1	PORTION / [POSTEN UMSETZEN UND LANG ANSETZEN; SCHLUSS]	YES
B4-S011	f83r	B4	C4	saiin cheky okeeol okain chdy sol lkedy	7	M06_FEED_CONTINUATION	1	2	5	SOLLMASS / WAERMEN · KURZ · ARBEITSPOSTEN / ANSETZEN · LANG · FORTSETZEN / ANSETZEN · PORTION / [VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN] / WEITERLEITEN · ZUDOSIEREN · KURZ; SCHLUSS	YES
B4-S014	f83r	B4	C4	or chey qockhey dairydy	4	M03_PREPARATION_ITEM	1	2	2	[ANSATZ AUF DEN LAUFENDEN POSTEN BEZIEHEN] / ARBEITSGANG · DURCHLASSKANAL · KURZ · ARBEITSPOSTEN / FLUESSIGKEITSLAUF · ARBEITSPOSTEN; SCHLUSS	YES
B4-S016	f83r	B4	C4	qolkain dal skar shedy	4	M08_PORTION_TARGET	1	2	2	[PORTION ZUDOSIEREN UND AN DIE ZIELSTELLE GEBEN] / ZUDOSIEREN · VORRAT / ABSETZEN; SCHLUSS	YES
