statement_id	page	record	case_id	start_position	n	surface_sequence	card_sequence	motif_id	motif_reading_de
H1-S001	f10r	H1	C1	8	2	oky daiin	PROC008|PROC009	M02_SET_ITEM_MEASURE	POSTEN ANSETZEN, DANN SOLLMASS
H2-S001	f10r	H2	C2	7	3	chy taiin shy	PROC019|PROC009|PROC019	M01_ITEM_MEASURE_FRAME	LAUFENDER POSTEN IM SOLLMASS-RAHMEN
H2-S002	f10r	H2	C2	5	2	cholor chol	PROC022|PROC013	M06_FEED_CONTINUATION	VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN
H2-S003	f10r	H2	C2	3	2	chor chy	PROC016|PROC019	M03_PREPARATION_ITEM	ANSATZ AUF DEN LAUFENDEN POSTEN BEZIEHEN
H3-S003	f11r	H3	C3	4	2	dy daiin	PROC019|PROC009	M01_ITEM_MEASURE_FRAME	LAUFENDER POSTEN IM SOLLMASS-RAHMEN
H4-S004	f55v	H4	C4	4	2	or y	PROC016|PROC019	M03_PREPARATION_ITEM	ANSATZ AUF DEN LAUFENDEN POSTEN BEZIEHEN
B1-S002	f81v	B1	C1	7	2	olkain al	PROC070|PROC055	M08_PORTION_TARGET	PORTION ZUDOSIEREN UND AN DIE ZIELSTELLE GEBEN
B1-S002	f81v	B1	C1	12	2	olor ol	PROC022|PROC013	M06_FEED_CONTINUATION	VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN
B1-S004	f81v	B1	C1	1	2	chedy ol	PROC042|PROC013	M06_FEED_CONTINUATION	VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN
B1-S008	f81v	B1	C1	4	2	ol shedy	PROC013|PROC078	M04_CONTINUE_CLOSE	FORTSETZEN, ABSETZEN UND SCHLIESSEN
B1-S016	f81v	B1	C1	3	2	qol cheedy	PROC013|PROC078	M04_CONTINUE_CLOSE	FORTSETZEN, ABSETZEN UND SCHLIESSEN
B2-S010	f82r	B2	C2	1	2	qokeey qoky	PROC092|PROC008	M09_LONG_SET_BRANCH	NACH LANGEM ANSETZEN WEITERSETZEN ODER KURZ SCHLIESSEN
B2-S012	f82r	B2	C2	6	2	daiin chey	PROC009|PROC019	M01_ITEM_MEASURE_FRAME	LAUFENDER POSTEN IM SOLLMASS-RAHMEN
B3-S003	f83r	B3	C3	1	3	chey daiin chey	PROC019|PROC009|PROC019	M01_ITEM_MEASURE_FRAME	LAUFENDER POSTEN IM SOLLMASS-RAHMEN
B3-S007	f83r	B3	C3	2	2	chedy qokeedy	PROC042|PROC100	M07_TRANSFER_LONG_CLOSE	POSTEN UMSETZEN UND LANG ANSETZEN; SCHLUSS
B3-S021	f83r	B3	C3	4	2	sy saiin	PROC019|PROC009	M01_ITEM_MEASURE_FRAME	LAUFENDER POSTEN IM SOLLMASS-RAHMEN
B3-S028	f83r	B3	C3	1	2	qokeey qokedy	PROC092|PROC067	M09_LONG_SET_BRANCH	NACH LANGEM ANSETZEN WEITERSETZEN ODER KURZ SCHLIESSEN
B3-S030	f83r	B3	C3	1	2	qoky saiin	PROC008|PROC009	M02_SET_ITEM_MEASURE	POSTEN ANSETZEN, DANN SOLLMASS
B4-S002	f83r	B4	C4	2	2	qokeey qokedy	PROC092|PROC067	M09_LONG_SET_BRANCH	NACH LANGEM ANSETZEN WEITERSETZEN ODER KURZ SCHLIESSEN
B4-S003	f83r	B4	C4	4	2	qokeey qoky	PROC092|PROC008	M09_LONG_SET_BRANCH	NACH LANGEM ANSETZEN WEITERSETZEN ODER KURZ SCHLIESSEN
B4-S003	f83r	B4	C4	6	2	tol shedy	PROC013|PROC078	M04_CONTINUE_CLOSE	FORTSETZEN, ABSETZEN UND SCHLIESSEN
B4-S005	f83r	B4	C4	2	2	chedy qokeedy	PROC042|PROC100	M07_TRANSFER_LONG_CLOSE	POSTEN UMSETZEN UND LANG ANSETZEN; SCHLUSS
B4-S011	f83r	B4	C4	5	2	chdy sol	PROC042|PROC013	M06_FEED_CONTINUATION	VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN
B4-S014	f83r	B4	C4	1	2	or chey	PROC016|PROC019	M03_PREPARATION_ITEM	ANSATZ AUF DEN LAUFENDEN POSTEN BEZIEHEN
B4-S016	f83r	B4	C4	1	2	qolkain dal	PROC070|PROC055	M08_PORTION_TARGET	PORTION ZUDOSIEREN UND AN DIE ZIELSTELLE GEBEN
B5-S003	f83r	B5	C5	2	2	dal cheol	PROC055|PROC013	M06_FEED_CONTINUATION	VORLAUF, ZIEL ODER UMSETZUNG IN DIE FORTSETZUNG FUEHREN
B5-S003	f83r	B5	C5	6	2	aiin sol	PROC009|PROC013	M05_MEASURE_CONTINUATION	SOLLMASS UND FORTSETZUNG DIREKT KOPPELN
B6-S001	f83r	B6	C6	4	2	ol daiin	PROC013|PROC009	M05_MEASURE_CONTINUATION	SOLLMASS UND FORTSETZUNG DIREKT KOPPELN
