statement_id	page	record	y_component_tokens	posten_tokens	posten_present	surface_sequence	fluent_workshop_reading_de
H1-S001	f10r	H1	5	2	YES	dchey cthoor char chty os chair otytchol oky daiin etyd	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.
H1-S002	f10r	H1	2	1	YES	qokchy qotchol chol cthy	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.
H2-S001	f10r	H2	6	2	YES	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.
H2-S003	f10r	H2	3	1	YES	oykchor shor chor chy kaiiin dy chodaiin	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.
H3-S001	f11r	H3	4	0	NO	tshol schoal cfhy shfydaiin cphy shey tchody	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle bearbeiten und weiter halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einbringen, laenger halten, bearbeiten, entnehmen und den Schritt schliessen.
H3-S002	f11r	H3	2	1	YES	shoyty	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und bearbeiten.
H3-S003	f11r	H3	3	1	YES	dchol chy kchy dy daiin	Bei der dicht bluehenden Kronenpflanze: Davon, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.
H3-S004	f11r	H3	3	1	YES	qotchy okchol cthy dy	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.
H4-S001	f55v	H4	2	1	YES	qokaiin chaiin ykain ykan ody	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.
H4-S002	f55v	H4	1	1	YES	daiin chedy talam	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass den laufenden Posten umsetzen und anschliessend beiseitestellen.
H4-S003	f55v	H4	2	1	YES	ykaiin cheoar cheeky oldy	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen.
H4-S004	f55v	H4	2	1	YES	aiin okal oltchy or y orain	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter bearbeiten, als Ansatz beibehalten und als Ansatzportion fuehren.
H5-S001	f56r	H5	2	1	YES	chochor cho chodaly daiin sho kchol otchor choky dal	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen.
H5-S002	f56r	H5	2	1	YES	schol choy choky cheeckhody	Bei der mehrkoepfigen stacheligen Pflanze: Davon, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen.
