hidden_stem	candidate_component	tokens	statements	records	component_statements	word_and_component_statements	word_without_component	component_without_word	layer_role	decision
POSTEN	Y	65	59	11	60	59	0	1	CURRENT_ITEM_NOUN	NOMINATE_Y_TO_POSTEN
SCHRITT	DY	68	68	7	89	68	0	21	CLOSURE_OBJECT	KEEP_AS_FLUENT_DY_EXPANSION
ARBEITSGANG	O	15	14	9	17	14	0	3	VORGANG_SYNONYM	KEEP_AS_FLUENT_O_EXPANSION
BEIBEHALTEN	SH	9	9	6	22	2	7	20	HOLD_CONTINUE_SYNONYM	KEEP_AS_COMBINATION_EXPANSION
FUEHREN	L	8	7	6	24	3	4	21	GUIDE_SYNONYM	KEEP_AS_FLUENT_L_OR_CHD_EXPANSION
FLUESSIGKEIT	AIR	4	4	3	5	4	0	1	MATERIAL_OWNER_NOUN	KEEP_AS_OWNER_EXPANSION
WECHSELN	OT	3	3	3	22	3	0	19	NEXT_ADDRESS_OPERATION	KEEP_AS_OT_ADDRESS_EXPANSION
EMPFAENGER	P	1	1	1	3	1	0	2	LOCAL_RECEIVER_NOUN	KEEP_AS_OWNER_EXPANSION
NEHMEN	CH	3	3	3	13	1	2	12	TAKE_SYNONYM	KEEP_AS_FLUENT_CH_EXPANSION
FOLGESCHRITT	OT	1	1	1	22	1	0	21	NEXT_STEP_NOUN	KEEP_AS_FLUENT_OT_EXPANSION
