card_no	surfaces	component_parse	reconstructed_component_values_de	licensed_frame_codes	licensed_frame_verbs_de	gloss_free_mechanical_reading_de	structural_reconstruction	natural_wording_status	old_atomic_gloss_used_as_input	old_atomic_gloss_comparator_only_de	contains_single_card_specialist_component	specialist_card_from_pass575	occurrences
PROC001	dchey	CH+E+Y	abziehen · kurz · dieser Posten	CH:TAKE_OFF	abnehmen	abziehen · kurz · dieser Posten [Rahmen: abnehmen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten kurz abziehen	NO	NO	1
PROC002	cthoor	CTH+O+OR	bereit · Arbeitsgang · Ansatz	NONE	NONE	bereit · Arbeitsgang · Ansatz	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	bereit · Arbeitsgang · Ansatz	NO	NO	1
PROC003	char|dar|sar	AR	von dort	NONE	NONE	von dort	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	von dort	NO	NO	5
PROC004	chety|chty	T+Y	eintragen · dieser Posten	T:PROCESS_ENTRY|T:SOURCE_COPY	eintragen, übertragen	eintragen · dieser Posten [Rahmen: eintragen, übertragen]	COMPLETE	OWNER_OR_SLOT_CONTEXT_REQUIRED	NO	den aktuellen Posten eintragen	NO	NO	2
PROC005	os	OS	Arbeitsfach	NONE	NONE	Arbeitsfach	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	Arbeitsfach	YES	YES	1
PROC006	chair	CH+AIR	abziehen · laufender Bestand	CH:PATH_DRAW	ablaufen lassen	abziehen · laufender Bestand [Rahmen: ablaufen lassen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten durch laufender Bestand abziehen	NO	NO	1
PROC007	otytchol	OT+Y+T+CH+OL	danach · dieser Posten · eintragen · abziehen · fortsetzen	CH:TAKE_OFF|T:CONTINUE_ENTRY	abnehmen, eintragen	danach · dieser Posten · eintragen · abziehen · fortsetzen [Rahmen: abnehmen, eintragen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	danach fortsetzen diesen Posten eintragen und abziehen	NO	NO	1
PROC008	choky|oky|qoky	OK+Y	ansetzen · dieser Posten	OK:ACTIVATE|OK:FLOW_START|OK:TARGET_APPLY	einsetzen, einleiten, anlegen	ansetzen · dieser Posten [Rahmen: einsetzen, einleiten, anlegen]	COMPLETE	OWNER_OR_SLOT_CONTEXT_REQUIRED	NO	den aktuellen Posten in Einsatz bringen	NO	NO	10
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	vorgeschriebenes Maß	NONE	NONE	vorgeschriebenes Maß	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	vorgeschriebenes Maß	NO	NO	20
PROC010	etyd	E+T+Y	kurz · eintragen · dieser Posten	T:MEASURED_ENTRY	eintragen	kurz · eintragen · dieser Posten [Rahmen: eintragen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten kurz eintragen	NO	NO	1
PROC011	chokchy|okchy|qokchy	OK+Y	ansetzen · dieser Posten	OK:ACTIVATE|OK:PREPARATION_START	einsetzen, ansetzen	ansetzen · dieser Posten [Rahmen: einsetzen, ansetzen]	COMPLETE	OWNER_OR_SLOT_CONTEXT_REQUIRED	NO	den aktuellen Posten in Einsatz bringen	NO	NO	3
PROC012	qotchol	OT+CH+OL	danach · abziehen · fortsetzen	CH:TAKE_OFF	abnehmen	danach · abziehen · fortsetzen [Rahmen: abnehmen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	danach fortsetzen den laufenden Posten abziehen	NO	NO	1
