component_no	component	sentence_role	atomic_meaning_de	grammar_contribution_de	card_types	events	action_frame_rules	full_verb_only_when_action	learning_class	already_inside_thirty_eight
C01	AIIN	QUANTITY	vorgeschriebenes Maß	liefert das Sollmaß	10	39	0	NO	RECURRENT_COMPONENT	YES
C02	AIN	QUANTITY	Portion	liefert eine abgeteilte Menge	9	19	0	NO	RECURRENT_COMPONENT	YES
C03	AIR	PATH_MEDIUM	laufender Bestand	liefert Lauf oder strömendes Medium	5	5	0	NO	RECURRENT_COMPONENT	YES
C04	AL	TARGET	bezeichnete Stelle	liefert das Ziel	22	39	0	NO	RECURRENT_COMPONENT	YES
C05	AR	SOURCE	von dort	liefert die Quelle	10	14	0	NO	RECURRENT_COMPONENT	YES
C06	CFH	ACTION	auswringen	führt Auswringen aus	1	1	1	YES	SINGLE_CARD_SPECIALIST_COMPONENT	YES
C07	CH	ACTION	abziehen	führt Abziehen aus	15	16	4	YES	RECURRENT_COMPONENT	YES
C08	CHD	ACTION	umsetzen	führt Umsetzen aus	22	48	5	YES	RECURRENT_COMPONENT	YES
C09	CHK	ACTION	wärmen	führt Erwärmen aus	4	7	3	YES	RECURRENT_COMPONENT	YES
C10	CKH	PATH_MEDIUM	Durchlass	liefert Durchlass oder Gang	9	14	0	NO	RECURRENT_COMPONENT	YES
C11	CTH	STATE	bereit	fordert den Bereitschaftszustand	8	15	0	NO	RECURRENT_COMPONENT	YES
C12	DA	MODIFIER	zweite	markiert die zweite Stufe	1	1	0	NO	SINGLE_CARD_SPECIALIST_COMPONENT	YES
C13	DY	CLOSE	Schluss	schließt nur in der lizenzierten Kartenkonstruktion	37	89	0	NO	RECURRENT_COMPONENT	YES
C14	E	GRADE	kurz	markiert kurze oder direkte Ausführung	34	49	0	NO	RECURRENT_COMPONENT	YES
C15	EE	GRADE	länger	markiert anhaltende Ausführung	17	40	0	NO	RECURRENT_COMPONENT	YES
C16	EEE	GRADE	vollständig	markiert vollständige Ausführung	2	2	0	NO	RECURRENT_COMPONENT	YES
C17	HO	MATERIAL	Gabe	liefert die einzusetzende Gabe	5	8	0	NO	RECURRENT_COMPONENT	YES
C18	IIN	STATE	Sollstufe	liefert eine Zielstufe	3	4	0	NO	RECURRENT_COMPONENT	YES
C19	K	ACTION	zuführen	führt Zuführung aus	18	21	6	YES	RECURRENT_COMPONENT	YES
C20	L	ACTION	führen	führt entlang eines Wegs	18	27	5	YES	RECURRENT_COMPONENT	YES
C21	LD	ACTION	befestigen	führt Befestigung aus	1	1	1	YES	SINGLE_CARD_SPECIALIST_COMPONENT	YES
C22	LS	SEQUENCE	weiter	setzt die laufende Folge fort	1	1	0	NO	SINGLE_CARD_SPECIALIST_COMPONENT	YES
C23	LSH	ACTION	waschen	führt einen Waschgang aus	2	3	2	YES	RECURRENT_COMPONENT	YES
C24	O	PROCESS	Arbeitsgang	liefert den bezeichneten Vorgang	18	19	0	NO	RECURRENT_COMPONENT	YES
C25	OK	ACTION	ansetzen	setzt Posten oder Vorgang an	23	79	7	YES	RECURRENT_COMPONENT	YES
C26	OL	SEQUENCE	fortsetzen	setzt Posten oder Ansatz fort	25	49	0	NO	RECURRENT_COMPONENT	YES
C27	OR	PREPARATION	Ansatz	liefert die aktuelle Zubereitung	10	18	0	NO	RECURRENT_COMPONENT	YES
C28	OS	TARGET	Arbeitsfach	liefert das ausgewählte Arbeitsfach	1	1	0	NO	SINGLE_CARD_SPECIALIST_COMPONENT	YES
C29	OT	SEQUENCE	danach	ordnet die folgende Einheit an	16	26	0	NO	RECURRENT_COMPONENT	YES
C30	P	ACTION	hineingeben	führt in einen Empfänger hinein	3	3	3	YES	RECURRENT_COMPONENT	YES
C31	R	ACTION	abkühlen	führt Abkühlung aus	6	6	2	YES	RECURRENT_COMPONENT	YES
C32	S	ACTION	teilen	teilt den laufenden Posten	1	1	1	YES	SINGLE_CARD_SPECIALIST_COMPONENT	YES
C33	SH	ACTION	halten	hält den laufenden Posten	20	25	5	YES	RECURRENT_COMPONENT	YES
C34	SHED	ACTION	absetzen	lässt den Posten absetzen	3	15	2	YES	RECURRENT_COMPONENT	YES
C35	SOLK	ACTION	auffangen	fängt den laufenden Bestand auf	5	7	3	YES	RECURRENT_COMPONENT	YES
C36	T	ACTION	eintragen	trägt den Posten in einen Platz ein	9	10	5	YES	RECURRENT_COMPONENT	YES
C37	TALAM	ACTION	verwahren	verwahrt den laufenden Posten	1	1	1	YES	SINGLE_CARD_SPECIALIST_COMPONENT	YES
C38	Y	ITEM	dieser Posten	bindet den aktuell gemeinten Arbeitsgegenstand	60	124	0	NO	RECURRENT_COMPONENT	YES
