edition	paragraph	at	word	status	differences	NRC	AMV	shared_patient
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.31|G003	ckhal	SHARED_UNBOUND		POSITIVE presse aus → OBJEKT FEHLT	POSITIVE presse aus → OBJEKT FEHLT	
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.31|G008	ches	SHARED_UNBOUND		POSITIVE stampfe → OBJEKT FEHLT	POSITIVE stampfe → OBJEKT FEHLT	
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.33|G002	ykeey	DIFFERENT	patient;patient_hypothesis	POSITIVE erwärme erneut → shey / Zubereitung B @ZL3b|f116r.32|G006	POSITIVE erwärme erneut → ol / Zubereitungsposten @ZL3b|f116r.32|G007	
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.33|G006	sheey	SHARED_BOUND		POSITIVE benetze → qokain / erwärmte Dosis P @ZL3b|f116r.33|G005	POSITIVE benetze → qokain / erwärmte Dosis P @ZL3b|f116r.33|G005	ZL3b|f116r.33|G005
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.34|G012	qokam	SHARED_BOUND		POSITIVE erwärme → okaiin / Dosis des Grundansatzes @ZL3b|f116r.34|G010	POSITIVE erwärme → okaiin / Dosis des Grundansatzes @ZL3b|f116r.34|G010	ZL3b|f116r.34|G010
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.35|G002	qokeey	SHARED_BOUND		POSITIVE erhitze anhaltend → okaiin / Dosis des Grundansatzes @ZL3b|f116r.34|G010	POSITIVE erhitze anhaltend → okaiin / Dosis des Grundansatzes @ZL3b|f116r.34|G010	ZL3b|f116r.34|G010
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.35|G004	qokeey	SHARED_BOUND		POSITIVE erhitze anhaltend → qokain / erwärmte Dosis P @ZL3b|f116r.35|G003	POSITIVE erhitze anhaltend → qokain / erwärmte Dosis P @ZL3b|f116r.35|G003	ZL3b|f116r.35|G003
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.36|G001	qokeey	SHARED_BOUND		POSITIVE erhitze anhaltend → cthar / kleine Kräuterportion @ZL3b|f116r.35|G008	POSITIVE erhitze anhaltend → cthar / kleine Kräuterportion @ZL3b|f116r.35|G008	ZL3b|f116r.35|G008
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.36|G004	okeey	SHARED_BOUND		POSITIVE erwärme vorsichtig → shey / Zubereitung B @ZL3b|f116r.36|G003	POSITIVE erwärme vorsichtig → shey / Zubereitung B @ZL3b|f116r.36|G003	ZL3b|f116r.36|G003
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.36|G008	chey	NRC_ONLY		POSITIVE prüfe → shey / Zubereitung B @ZL3b|f116r.36|G003	kein Prädikat in dieser Fassung	
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.36|G009	sheckhy	AMV_ONLY		kein Prädikat in dieser Fassung	NEGATIVE vermische → shey / Zubereitung B @ZL3b|f116r.36|G003	
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.37|G006	cheey	DIFFERENT	patient;patient_hypothesis	POSITIVE zerreibe fein → sheckhy / Mischung @ZL3b|f116r.36|G009	POSITIVE zerreibe fein → shey / Zubereitung B @ZL3b|f116r.36|G003	
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.37|G010	qoky	DIFFERENT	patient;patient_hypothesis	POSITIVE erwärme mäßig → sheckhy / Mischung @ZL3b|f116r.36|G009	POSITIVE erwärme mäßig → shey / Zubereitung B @ZL3b|f116r.36|G003	
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.38|G002	qokeey	SHARED_BOUND		POSITIVE erhitze anhaltend → sham / feuchte Masse @ZL3b|f116r.37|G013	POSITIVE erhitze anhaltend → sham / feuchte Masse @ZL3b|f116r.37|G013	ZL3b|f116r.37|G013
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.38|G011	shy	SHARED_BOUND		POSITIVE feucht → okaiin / Dosis des Grundansatzes @ZL3b|f116r.38|G007	POSITIVE feucht → okaiin / Dosis des Grundansatzes @ZL3b|f116r.38|G007	ZL3b|f116r.38|G007
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.39|G002	chey	NRC_ONLY		POSITIVE prüfe → qokain / erwärmte Dosis P @ZL3b|f116r.39|G001	kein Prädikat in dieser Fassung	
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.40|G011	chey	NRC_ONLY		POSITIVE prüfe → qokain / erwärmte Dosis P @ZL3b|f116r.40|G005	kein Prädikat in dieser Fassung	
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.41|G009	qokchy	SHARED_BOUND		POSITIVE mische ein → shey / Zubereitung B @ZL3b|f116r.41|G008	POSITIVE mische ein → shey / Zubereitung B @ZL3b|f116r.41|G008	ZL3b|f116r.41|G008
