gdt749_target_id	target_surface	target_class	gdt748_serial_status	gdt748_role_decision	discovery_position_evidence_units	discovery_pages	prior_role_axes	prior_rival_axes	prior_working_default_de	gdt747_prior_axes	literal_identity	confirmed_lexeme	component_export_credit	discovery_loci
G749-T01	chdy	GDT748_RECURRENT_S2_S3_ROLE	S2_RECURRENT_SERIAL_CONSENSUS	REINFORCE_OR_NARROW_WEAK_AXIS_CARD	2	1	DRY	NONE	trocken; genaue Funktion und Identität offen	NONE	OPEN	0	0	f48v.10@5|f48v.10@8
G749-T02	cheey	GDT748_RECURRENT_S2_S3_ROLE	S2_RECURRENT_SERIAL_CONSENSUS	REINFORCE_OR_NARROW_WEAK_AXIS_CARD	2	2	DRY	NONE	trocken; genaue Funktion und Identität offen	NONE	OPEN	0	0	f108v.49@3|f7v.5@3
G749-T03	cheky	GDT748_RECURRENT_S2_S3_ROLE	S2_RECURRENT_SERIAL_CONSENSUS	REINFORCE_OR_NARROW_WEAK_AXIS_CARD	2	2	MIDDLE_STAGE	NONE	Mittelstufe; genaue Funktion und Identität offen	NONE	OPEN	0	0	f34r.15@3|f77v.27@5
G749-T04	cheol	GDT748_RECURRENT_S2_S3_ROLE	S3_RECURRENT_CROSS_PAGE_SERIAL_CONSENSUS	REINFORCE_OR_NARROW_WEAK_AXIS_CARD	4	4	DRY	NONE	trocken; genaue Funktion und Identität offen	NONE	OPEN	0	0	f108v.49@6|f113r.42@6|f115r.38@2|f52v.4@5
G749-T05	kchdy	GDT748_RECURRENT_S2_S3_ROLE	S3_RECURRENT_CROSS_PAGE_SERIAL_CONSENSUS	REINFORCE_OR_NARROW_WEAK_AXIS_CARD	3	3	HOT	NONE	heiß/warm; genaue Funktion und Identität offen	NONE	OPEN	0	0	f34v.9@5|f50v.11@4|f94r.4@4
G749-T06	lkeey	GDT748_RECURRENT_S2_S3_ROLE	S2_RECURRENT_SERIAL_CONSENSUS	REPLACE_RETIRED_LITERAL_WITH_AXIS_ROLE_LEAD	2	2	HOT	NONE	heiß/warm; genaue Funktion und Identität offen	NONE	OPEN	0	0	f108v.47@8|f111v.38@11
G749-T07	okal	GDT748_RECURRENT_S2_S3_ROLE	S3_RECURRENT_CROSS_PAGE_SERIAL_CONSENSUS	REINFORCE_OR_NARROW_WEAK_AXIS_CARD	4	2	HOT	NONE	heiß/warm; genaue Funktion und Identität offen	NONE	OPEN	0	0	f58v.31@4|f58v.38@6|f58v.5@8|f78v.22@5
G749-T08	okechy	GDT748_RECURRENT_S2_S3_ROLE	S2_RECURRENT_SERIAL_CONSENSUS	NEW_OPEN_WHOLE_ROLE_LEAD	2	2	HOT	NONE	heiß/warm; genaue Funktion und Identität offen	NONE	OPEN	0	0	f103r.8@6|f108r.36@1
G749-T09	okedy	GDT748_RECURRENT_S2_S3_ROLE	S3_RECURRENT_CROSS_PAGE_SERIAL_CONSENSUS	REINFORCE_OR_NARROW_WEAK_AXIS_CARD	5	5	HOT	NONE	heiß/warm; genaue Funktion und Identität offen	NONE	OPEN	0	0	f103r.4@3|f108r.50@6|f48v.8@3|f76r.3@5|f94v.9@2
G749-T10	okeey	GDT748_RECURRENT_S2_S3_ROLE	S3_RECURRENT_CROSS_PAGE_SERIAL_CONSENSUS	REINFORCE_OR_NARROW_WEAK_AXIS_CARD	4	4	HOT	NONE	heiß/warm; genaue Funktion und Identität offen	NONE	OPEN	0	0	f103r.27@10|f111v.9@8|f116r.17@4|f99r.50@2
G749-T11	olkaiin	GDT748_RECURRENT_S2_S3_ROLE	S2_RECURRENT_SERIAL_CONSENSUS	REINFORCE_OR_NARROW_WEAK_AXIS_CARD	2	2	HOT	NONE	heiß/warm; genaue Funktion und Identität offen	NONE	OPEN	0	0	f114r.26@6|f86v6.36@9
G749-T12	olkar	GDT748_RECURRENT_S2_S3_ROLE	S3_RECURRENT_CROSS_PAGE_SERIAL_CONSENSUS	REPLACE_RETIRED_LITERAL_WITH_AXIS_ROLE_LEAD	3	2	HOT	NONE	heiß/warm; genaue Funktion und Identität offen	NONE	OPEN	0	0	f86v6.25@3|f86v6.31@4|f95v1.7@4
