target_surface	prior_role_axes	reference_surface	reference_axes	reference_gloss_de	outside_occurrences_reader_exact	outside_occurrences_all_readings	reference_occurrences_reader_exact	section_similarity	line_position_similarity	left_axis_context_similarity	right_axis_context_similarity	closure_proximity_similarity	left_exact_whole_similarity	right_exact_whole_similarity	hybrid_distribution_similarity	section_removed_local_similarity	all_reading_hybrid_similarity	expected_axis_overlap	contains_all_prior_axes	same_dimension_rival_overlap	literal_identity_credit	confirmed_lexeme	component_export_credit	reference_rank	reference_rank_percentile	section_removed_rank_percentile	top_five_reference	gdt749_score_id
chdy	DRY	chckhy	DRY|PREPARATION|BEGIN_STAGE	trockene Mischung, Anfangsstufe	88	131	115	0.973683	0.993610	0.980320	0.975799	0.986254	0.227271	0.288240	0.836595	0.838748	0.845292	DRY	1	NONE	0	0	0	1	0.989130	0.989130	1	G749-S0001
chdy	DRY	cheey	DRY|END_STAGE	trocken am Ende des Grades	88	131	137	0.879352	0.973125	0.962655	0.957307	0.985979	0.235160	0.259607	0.806558	0.825290	0.804465	DRY	1	NONE	0	0	0	2	0.967391	0.967391	1	G749-S0002
chdy	DRY	sheol	MOIST|MATERIAL	feuchtes Material	88	131	71	0.862799	0.969117	0.934131	0.945423	0.970272	0.195815	0.320256	0.796387	0.815396	0.805001	NONE	0	MOIST	0	0	0	3	0.945652	0.923913	1	G749-S0003
chdy	DRY	okeedy	HOT|PREPARATION|CLOSE|END_STAGE	heißer Ansatz am Ende des Grades, abgeschlossen	88	131	49	0.847467	0.988956	0.937514	0.954807	0.942630	0.228755	0.287327	0.795221	0.816390	0.805045	NONE	0	NONE	0	0	0	4	0.923913	0.945652	1	G749-S0004
chdy	DRY	chal	DRY|MATERIAL|BEGIN_STAGE	trockenes Material I, Anfangsstufe	88	131	35	0.909760	0.996910	0.944432	0.951069	0.943905	0.145834	0.202190	0.792809	0.802066	0.793063	DRY	1	NONE	0	0	0	5	0.902174	0.880435	1	G749-S0005
chdy	DRY	chty	COLD|DRY|BEGIN_STAGE	trocken-kalt am Gradanfang	88	131	12	0.931700	0.997479	0.946729	0.922179	0.904829	0.125322	0.258624	0.791936	0.792638	0.794835	DRY	1	NONE	0	0	0	6	0.880435	0.836957	0	G749-S0006
chdy	DRY	chol	DRY	trocken	88	131	303	0.899050	0.938986	0.924694	0.941676	0.979653	0.219115	0.198220	0.787959	0.798735	0.799440	DRY	1	NONE	0	0	0	7	0.858696	0.858696	0	G749-S0007
chdy	DRY	chl	DRY|PROCESS	trocknen	88	131	24	0.894936	0.982907	0.921882	0.918361	0.976949	0.184871	0.087482	0.775160	0.787255	0.769739	DRY	1	NONE	0	0	0	8	0.836957	0.815217	0	G749-S0008
chdy	DRY	cheedy	DRY|CLOSE|END_STAGE	trocken am Ende des Grades, abgeschlossen	88	131	39	0.755506	0.972329	0.958734	0.904352	0.962366	0.307039	0.222927	0.773248	0.812553	0.793546	DRY	1	NONE	0	0	0	9	0.815217	0.902174	0	G749-S0009
chdy	DRY	alol	MATERIAL	Drogenstoff aus Rohdroge I	88	131	7	0.913603	0.999504	0.866294	0.841486	0.934492	0.106302	0.192029	0.757858	0.758188	0.752940	NONE	0	NONE	0	0	0	10	0.793478	0.750000	0	G749-S0010
chdy	DRY	oteol	COLD|MATERIAL|PREPARATION|PROCESS|MIDDLE_STAGE	Drogenstoff im Ansatz bis zur Mittelstufe abkühlen	88	131	24	0.877807	0.910169	0.846326	0.955705	0.935176	0.099378	0.144876	0.746160	0.753901	0.747511	NONE	0	NONE	0	0	0	11	0.771739	0.706522	0	G749-S0011
chdy	DRY	sheedy	MOIST|END_STAGE	feucht am Ende des Grades	88	131	41	0.796232	0.911962	0.923788	0.899608	0.969461	0.152896	0.163071	0.744836	0.772561	0.765042	NONE	0	MOIST	0	0	0	12	0.750000	0.793478	0	G749-S0012
chdy	DRY	cheeky	HOT|DRY|BEGIN_STAGE|END_STAGE	trocken am Gradende, dann heiß am Gradanfang	88	131	22	0.857759	0.913525	0.927527	0.884723	0.952710	0.156464	0.041019	0.741749	0.755445	0.754099	DRY	1	NONE	0	0	0	13	0.728261	0.728261	0	G749-S0013
chdy	DRY	ykeedy	HOT|CLOSE|END_STAGE	Eintrag: heiß am Gradende, abgeschlossen	88	131	19	0.862172	0.879511	0.833115	0.938171	0.942506	0.076459	0.202787	0.737587	0.746585	0.774483	NONE	0	NONE	0	0	0	14	0.706522	0.684783	0	G749-S0014
chdy	DRY	qokchey	HOT|DRY|MIDDLE_STAGE	heiß und trocken in der Mitte des Grades	88	131	24	0.942658	0.875000	0.830883	0.891207	0.948886	0.062670	0.119943	0.736193	0.727456	0.734470	DRY	1	NONE	0	0	0	15	0.684783	0.554348	0	G749-S0015
chdy	DRY	chkar	HOT|DRY|PART	erste heiß getrocknete Fraktion	88	131	7	0.906157	0.934492	0.922448	0.824389	0.895270	0.077037	0.029265	0.728307	0.725950	0.743903	DRY	1	NONE	0	0	0	16	0.663043	0.532609	0	G749-S0016
chdy	DRY	qockhey	PREPARATION|MIDDLE_STAGE	Arzneikompositum-Ansatz bis zur Mittelstufe aufbereiten	88	131	12	0.861481	0.934492	0.911076	0.857818	0.919776	0.101158	0.000000	0.725327	0.734748	0.735125	NONE	0	NONE	0	0	0	17	0.641304	0.597826	0	G749-S0017
chdy	DRY	cheeol	DRY|MATERIAL|END_STAGE	vollständig getrockneter Drogenstoff	88	131	6	0.836943	0.934492	0.900224	0.839140	0.934492	0.116105	0.060969	0.725052	0.739377	0.774288	DRY	1	NONE	0	0	0	18	0.619565	0.641304	0	G749-S0018
chdy	DRY	qotchey	COLD|DRY|MIDDLE_STAGE	kalt und trocken in der Mitte des Grades	88	131	18	0.932234	0.881905	0.836974	0.835189	0.915924	0.124050	0.065976	0.724011	0.713001	0.730106	DRY	1	NONE	0	0	0	19	0.597826	0.467391	0	G749-S0019
chdy	DRY	chtol	COLD|DRY|MATERIAL	getrocknetes und abgekühltes Drogenmaterial	88	131	4	0.837652	0.981209	0.790821	0.805703	0.934492	0.033718	0.263680	0.721847	0.732185	0.714183	DRY	1	NONE	0	0	0	20	0.576087	0.576087	0	G749-S0020
chdy	DRY	chedar	DRY|PART|MIDDLE_STAGE	abgemessene Trockenfraktion I, Mittelstufe	88	131	16	0.661086	0.934492	0.926093	0.888797	0.910652	0.290543	0.091500	0.719601	0.770211	0.750992	DRY	1	NONE	0	0	0	21	0.554348	0.771739	0	G749-S0021
chdy	DRY	ykeey	HOT|PROCESS|END_STAGE	erhitze hiervon bis zur Endstufe und schließe ab	88	131	41	0.918048	0.825797	0.823676	0.864764	0.969277	0.064500	0.056319	0.714283	0.708785	0.746661	NONE	0	NONE	0	0	0	22	0.532609	0.402174	0	G749-S0022
chdy	DRY	otaly	MATERIAL|PREPARATION	Rohstoff-I-Ansatz leicht kühlen und abschließen	88	131	11	0.760042	0.891627	0.832695	0.869633	0.891810	0.148791	0.251899	0.714127	0.737222	0.704479	NONE	0	NONE	0	0	0	23	0.510870	0.619565	0	G749-S0023
chdy	DRY	chtal	COLD|DRY|MATERIAL|BEGIN_STAGE	Rohstoffklasse I, trocken-kalt am Gradanfang	88	131	5	0.873758	0.934492	0.878827	0.865343	0.788986	0.031934	0.031934	0.704403	0.699916	0.706940	DRY	1	NONE	0	0	0	24	0.489130	0.336957	0	G749-S0024
chdy	DRY	oteos	COLD|AMOUNT|PREPARATION|MIDDLE_STAGE	Kaltansatz-Charge auf mittlerer Stufe	88	131	4	0.837652	0.934492	0.886249	0.750500	0.934492	0.033718	0.033718	0.697812	0.707890	0.697328	NONE	0	NONE	0	0	0	25	0.467391	0.380435	0	G749-S0025
chdy	DRY	cheeor	DRY|AMOUNT|MATERIAL|END_STAGE	eine Portion vollständig getrocknete Droge	88	131	11	0.800201	0.934492	0.822383	0.864187	0.877078	0.104304	0.000000	0.695090	0.710058	0.697280	DRY	1	NONE	0	0	0	26	0.445652	0.445652	0	G749-S0026
chdy	DRY	chekar	HOT|DRY|PART|MIDDLE_STAGE	erste bis zur Mittelstufe getrocknete und erhitzte Fraktion	88	131	6	0.869227	0.934492	0.827535	0.822518	0.791133	0.050129	0.000000	0.687321	0.680148	0.704004	DRY	1	NONE	0	0	0	27	0.423913	0.293478	0	G749-S0027
chdy	DRY	qokeeody	HOT|PREPARATION|END_STAGE	vollständig ausgekochter Ansatz	88	131	10	0.667507	0.887373	0.875667	0.851855	0.934492	0.042420	0.111313	0.679397	0.725251	0.756993	NONE	0	NONE	0	0	0	28	0.402174	0.510870	0	G749-S0028
chdy	DRY	sheeal	MOIST|MATERIAL|END_STAGE	Rohstoffklasse I, feucht am Gradende	88	131	1	0.581179	0.934492	0.921882	0.833708	0.934492	0.078618	0.078618	0.674512	0.740639	0.678118	NONE	0	MOIST	0	0	0	29	0.380435	0.663043	0	G749-S0029
chdy	DRY	okeeol	HOT|MATERIAL|PREPARATION|END_STAGE	vollständig erhitzter Ansatzstoff	88	131	6	0.648171	0.934492	0.879601	0.857734	0.842527	0.060969	0.000000	0.664327	0.708968	0.688635	NONE	0	NONE	0	0	0	30	0.358696	0.423913	0	G749-S0030
chdy	DRY	chckhd	DRY|PREPARATION|CLOSE|END_STAGE	trockenes Arzneikompositum, abgeschlossen	88	131	2	0.875689	0.875744	0.729436	0.815287	0.650141	0.000000	0.225603	0.662990	0.636682	0.730952	DRY	1	NONE	0	0	0	31	0.336957	0.184783	0	G749-S0031
chdy	DRY	keeody	HOT|PREPARATION|END_STAGE	vollständig ausgekochter Ansatz	88	131	2	0.581179	0.934492	0.921882	0.833708	0.934492	0.000000	0.000000	0.658788	0.724915	0.771887	NONE	0	NONE	0	0	0	32	0.315217	0.489130	0	G749-S0032
chdy	DRY	chcth	DRY|MATERIAL	getrocknete Pflanzendroge	88	131	2	0.602127	0.875744	0.764136	0.815287	0.934492	0.000000	0.225603	0.647951	0.700492	0.651241	DRY	1	NONE	0	0	0	33	0.293478	0.358696	0	G749-S0033
chdy	DRY	sheeo	PREPARATION|END_STAGE	vollständig eingeweichter Ansatz	88	131	5	0.775360	0.836288	0.655842	0.784005	0.906375	0.031934	0.031934	0.634405	0.642889	0.660714	NONE	0	NONE	0	0	0	34	0.271739	0.228261	0	G749-S0034
chdy	DRY	cheeal	DRY|MATERIAL|END_STAGE	Rohstoffklasse I, trocken am Gradende	88	131	2	0.875689	0.934492	0.921882	0.248332	0.934492	0.039309	0.039309	0.631892	0.615702	0.702558	DRY	1	NONE	0	0	0	35	0.250000	0.141304	0	G749-S0035
chdy	DRY	oteeo	COLD|PREPARATION|PASS	zweiter Kaltansatz	88	131	5	0.581179	0.934492	0.844705	0.802827	0.771845	0.031934	0.031934	0.628368	0.677161	0.621674	NONE	0	NONE	0	0	0	36	0.228261	0.250000	0	G749-S0036
chdy	DRY	choar	DRY|PART|PREPARATION	Trockenansatz, Fraktion I	88	131	2	0.581179	0.934492	0.711573	0.833708	0.934492	0.000000	0.000000	0.625138	0.682853	0.610892	DRY	1	NONE	0	0	0	37	0.206522	0.315217	0	G749-S0037
