gdt749_calibration_id	known_surface	reader_exact_occurrences	true_quality_stage_axes	predicted_quality_stage_axes	recovered_true_axes	false_predicted_axes	missed_true_axes	top5_reference_surfaces	local_true_only_positions	local_rival_only_positions	local_both_positions	local_neither_positions	literal_identity_credit	confirmed_lexeme	component_export_credit
G749-K01	alam	6	NONE	NONE	NONE	NONE	NONE	chckhd|otaly|alol|chal|okeedy	0	0	0	6	0	0	0
G749-K02	alchey	2	DRY|MIDDLE_STAGE	HOT|MOIST|MIDDLE_STAGE|END_STAGE	MIDDLE_STAGE	HOT|MOIST|END_STAGE	DRY	dshedy|ykeedy|ykeey|dchey|dsheey	0	0	0	2	0	0	0
G749-K03	alol	7	NONE	DRY|BEGIN_STAGE	NONE	DRY|BEGIN_STAGE	NONE	chckhy|chal|okeedy|chty|cheey	0	0	0	7	0	0	0
G749-K04	chal	35	DRY|BEGIN_STAGE	END_STAGE	NONE	END_STAGE	DRY|BEGIN_STAGE	okeedy|chckhy|cheey|cheedy|sheol	2	5	2	26	0	0	0
G749-K05	chckhd	2	DRY|END_STAGE	COLD	NONE	COLD	DRY|END_STAGE	otaly|chtol|chty|alam|chcth	0	0	1	1	0	0	0
G749-K06	chckhy	115	DRY|BEGIN_STAGE	NONE	NONE	NONE	DRY|BEGIN_STAGE	cheey|sheol|okeedy|chol|chl	11	9	5	90	0	0	0
G749-K07	chcth	2	DRY	COLD|DRY	DRY	COLD	NONE	chtol|chty|chckhd|oteol|chol	0	0	0	2	0	0	0
G749-K08	chedar	16	DRY|MIDDLE_STAGE	END_STAGE	NONE	END_STAGE	DRY|MIDDLE_STAGE	cheedy|okeedy|sheeal|oteeo|cheey	0	1	2	13	0	0	0
G749-K09	cheeal	2	DRY|END_STAGE	NONE	NONE	NONE	DRY|END_STAGE	alol|oteos|chkar|chl|chckhy	0	1	0	1	0	0	0
G749-K10	cheedy	39	DRY|END_STAGE	MOIST|END_STAGE	END_STAGE	MOIST	DRY	sheedy|cheey|okeedy|sheol|chckhy	4	0	1	34	0	0	0
G749-K11	cheeky	22	HOT|DRY|BEGIN_STAGE|END_STAGE	MOIST|END_STAGE	END_STAGE	MOIST	HOT|DRY|BEGIN_STAGE	chckhy|cheey|sheol|cheedy|sheedy	3	1	2	16	0	0	0
G749-K12	cheeol	6	DRY|END_STAGE	DRY|BEGIN_STAGE	DRY	BEGIN_STAGE	END_STAGE	chol|cheeor|qockhey|cheeky|chckhy	0	0	0	6	0	0	0
G749-K13	cheeor	11	DRY|END_STAGE	MIDDLE_STAGE	NONE	MIDDLE_STAGE	DRY|END_STAGE	chol|cheeol|qockhey|cheey|oteol	3	1	0	7	0	0	0
G749-K14	cheey	137	DRY|END_STAGE	MOIST|END_STAGE	END_STAGE	MOIST	DRY	sheol|chckhy|cheedy|okeedy|sheedy	12	4	6	115	0	0	0
G749-K15	chekar	6	HOT|DRY|MIDDLE_STAGE	COLD|DRY|BEGIN_STAGE	DRY	COLD|BEGIN_STAGE	HOT|MIDDLE_STAGE	chckhy|chty|chtal|cheeky|chol	1	0	2	3	0	0	0
G749-K16	chkar	7	HOT|DRY	DRY|BEGIN_STAGE	DRY	BEGIN_STAGE	HOT	chl|chckhy|chedar|chtal|cheedy	2	0	0	5	0	0	0
G749-K17	chl	24	DRY	DRY	DRY	NONE	NONE	cheey|chckhy|cheedy|chkar|chedar	2	0	0	22	0	0	0
G749-K18	choar	2	DRY	HOT|END_STAGE	NONE	HOT|END_STAGE	DRY	oteeo|keeody|sheeal|chedar|qokeeody	0	0	0	2	0	0	0
G749-K19	chol	303	DRY	NONE	NONE	NONE	DRY	chckhy|cheey|sheol|oteol|ykeey	47	6	1	249	0	0	0
G749-K20	chtal	5	COLD|DRY|BEGIN_STAGE	HOT|DRY|BEGIN_STAGE	DRY|BEGIN_STAGE	HOT	COLD	chl|chkar|chedar|cheeky|chckhy	0	1	0	4	0	0	0
G749-K21	chtol	4	COLD|DRY	DRY|BEGIN_STAGE	DRY	BEGIN_STAGE	COLD	chcth|chty|chckhd|chol|chckhy	2	0	0	2	0	0	0
G749-K22	chty	12	COLD|DRY|BEGIN_STAGE	DRY|BEGIN_STAGE	DRY|BEGIN_STAGE	NONE	COLD	chckhy|chol|cheey|sheol|chal	2	0	1	9	0	0	0
G749-K23	dchey	13	DRY|MIDDLE_STAGE	HOT|MOIST|MIDDLE_STAGE|END_STAGE	MIDDLE_STAGE	HOT|MOIST|END_STAGE	DRY	dsheey|dshedy|alchey|ykeey|ykeedy	2	2	1	8	0	0	0
G749-K24	dshedy	19	MOIST|MIDDLE_STAGE	HOT|MIDDLE_STAGE|END_STAGE	MIDDLE_STAGE	HOT|END_STAGE	MOIST	alchey|dsheey|dchey|ykeedy|ykeey	3	3	3	10	0	0	0
G749-K25	dsheey	5	MOIST|END_STAGE	MIDDLE_STAGE	NONE	MIDDLE_STAGE	MOIST|END_STAGE	dchey|dshedy|alchey|ykeey|sheeo	1	0	0	4	0	0	0
G749-K26	keeody	2	HOT|END_STAGE	NONE	NONE	NONE	HOT|END_STAGE	sheeal|chedar|choar|qokeeody|oteeo	0	0	0	2	0	0	0
G749-K27	okeedy	49	HOT|END_STAGE	DRY|BEGIN_STAGE	NONE	DRY|BEGIN_STAGE	HOT|END_STAGE	cheey|chckhy|cheedy|chal|sheol	5	4	8	32	0	0	0
G749-K28	okeeol	6	HOT|END_STAGE	END_STAGE	END_STAGE	NONE	HOT	qockhey|sheol|cheey|ykeey|cheeol	0	0	1	5	0	0	0
G749-K29	otaldy	3	COLD|END_STAGE	NONE	NONE	NONE	COLD|END_STAGE	otaly|oteol|chcth|ykeedy|sheol	0	1	0	2	0	0	0
G749-K30	otaly	11	NONE	NONE	NONE	NONE	NONE	oteol|okeedy|sheol|cheey|chal	0	0	0	11	0	0	0
G749-K31	oteeo	5	COLD	HOT|END_STAGE	NONE	HOT|END_STAGE	COLD	chedar|choar|keeody|sheeal|okeedy	2	0	0	3	0	0	0
G749-K32	oteol	24	COLD|MIDDLE_STAGE	NONE	NONE	NONE	COLD|MIDDLE_STAGE	chol|otaly|sheol|ykeey|chckhy	2	1	2	19	0	0	0
G749-K33	oteos	4	COLD|MIDDLE_STAGE	DRY	NONE	DRY	COLD|MIDDLE_STAGE	chol|cheeol|qotchey|chckhy|chl	1	1	0	2	0	0	0
G749-K34	qochy	1	DRY	DRY	DRY	NONE	NONE	sheeod|chol|cheeol|chcth|chtol	0	1	0	0	0	0	0
G749-K35	qockhey	12	MIDDLE_STAGE	NONE	NONE	NONE	MIDDLE_STAGE	okeeol|chckhy|cheey|sheol|chol	2	0	0	10	0	0	0
G749-K36	qokchey	24	HOT|DRY|MIDDLE_STAGE	HOT|END_STAGE	HOT	END_STAGE	DRY|MIDDLE_STAGE	cheey|ykeey|ykeedy|chckhy|sheedy	4	1	4	15	0	0	0
G749-K37	qokeeody	10	HOT|END_STAGE	MOIST|END_STAGE	END_STAGE	MOIST	HOT	sheeal|cheey|keeody|sheedy|sheol	1	1	0	8	0	0	0
G749-K38	qolchey	8	DRY|MIDDLE_STAGE	HOT|MOIST|END_STAGE	NONE	HOT|MOIST|END_STAGE	DRY|MIDDLE_STAGE	sheedy|cheedy|cheeky|sheol|ykeey	2	3	0	3	0	0	0
G749-K39	qotchey	18	COLD|DRY|MIDDLE_STAGE	HOT|END_STAGE	NONE	HOT|END_STAGE	COLD|DRY|MIDDLE_STAGE	chol|ykeey|qokchey|cheeky|ykeedy	2	1	4	11	0	0	0
G749-K40	sheeal	1	MOIST|END_STAGE	HOT|END_STAGE	END_STAGE	HOT	MOIST	keeody|chedar|choar|qokeeody|cheedy	0	0	0	1	0	0	0
G749-K41	sheedy	41	MOIST|END_STAGE	END_STAGE	END_STAGE	NONE	MOIST	cheedy|sheol|cheey|chckhy|okeedy	4	2	0	35	0	0	0
G749-K42	sheeo	5	END_STAGE	NONE	NONE	NONE	END_STAGE	ykeey|chol|oteol|sheol|cheey	0	1	0	4	0	0	0
G749-K43	sheeod	1	END_STAGE	DRY	NONE	DRY	END_STAGE	qochy|cheeol|chol|chcth|chtol	0	0	0	1	0	0	0
G749-K44	sheol	71	MOIST	END_STAGE	NONE	END_STAGE	MOIST	cheey|chckhy|sheedy|cheedy|okeedy	5	6	0	60	0	0	0
G749-K45	ykeedy	19	HOT|END_STAGE	HOT	HOT	NONE	END_STAGE	okeedy|sheol|ykeey|chckhy|qokchey	3	1	1	14	0	0	0
G749-K46	ykeey	41	HOT|END_STAGE	NONE	NONE	NONE	HOT|END_STAGE	chol|sheol|qotchey|cheey|ykeedy	7	1	3	30	0	0	0
