gdt749_occurrence_id	target_surface	cell_id	page	physical_folio	locus	token_ordinal	reader_exact	gdt748_discovery_position	outside_discovery_primary	section	language	hand	line_token_count	line_position	line_third	left_whole_surface	left_whole_axes	right_whole_surface	right_whole_axes	immediate_known_axis_union	immediate_prior_axis_hits	immediate_rival_axis_hits	nearest_close_signature	left_close_distance_le5	right_close_distance_le5	written_line_eva	literal_identity	confirmed_lexeme	component_export_credit
G749-O0001	sheey	G733-C00011	f100r	f100	f100r.12	8	1	0	1	P	A	1	10	MIDDLE	LAST_THIRD	choos	OPEN	cho	OPEN	NONE	NONE	NONE	NO_CLOSE_WITHIN_5	NA	NA	pcheol sheod qocpheeckhy shodol da oto choos sheey cho s	OPEN	0	0
G749-O0002	sheey	G733-C00072	f100r	f100	f100r.24	6	0	0	0	P	A	1	10	MIDDLE	MIDDLE_THIRD	yk	OPEN	cholsheody	OPEN	NONE	NONE	NONE	NO_CLOSE_WITHIN_5	NA	NA	saiichor sheor qockhody odeor yk sheey cholsheody sai cheol raiin	OPEN	0	0
G749-O0003	cheol	G733-C00075	f100r	f100	f100r.24	9	1	0	1	P	A	1	10	MIDDLE	LAST_THIRD	sai	OPEN	raiin	OPEN	NONE	NONE	NONE	NO_CLOSE_WITHIN_5	NA	NA	saiichor sheor qockhody odeor yk sheey cholsheody sai cheol raiin	OPEN	0	0
G749-O0004	cheky	G733-C00083	f100r	f100	f100r.25	7	1	0	1	P	A	1	10	MIDDLE	LAST_THIRD	olcheol	OPEN	cheol	OPEN	NONE	NONE	NONE	NO_CLOSE_WITHIN_5	NA	NA	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	OPEN	0	0
G749-O0005	cheol	G733-C00084	f100r	f100	f100r.25	8	1	0	1	P	A	1	10	MIDDLE	LAST_THIRD	cheky	OPEN	cheockhy	OPEN	NONE	NONE	NONE	NO_CLOSE_WITHIN_5	NA	NA	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	OPEN	0	0
G749-O0006	cheol	G733-C00098	f100r	f100	f100r.27	2	1	0	1	P	A	1	5	MIDDLE	FIRST_THIRD	chol	OPEN	cho	DRY|PREPARATION	DRY|PREPARATION	DRY	NONE	NO_CLOSE_WITHIN_5	NA	NA	chol cheol cho chckheody otolchey	OPEN	0	0
G749-O0007	cheey	G733-C00127	f100v	f100	f100v.15	2	1	0	1	P	A	1	11	MIDDLE	FIRST_THIRD	sor	OPEN	dair	OPEN	NONE	NONE	NONE	NO_CLOSE_WITHIN_5	NA	NA	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	OPEN	0	0
G749-O0008	cheol	G733-C00130	f100v	f100	f100v.15	5	1	0	1	P	A	1	11	MIDDLE	MIDDLE_THIRD	ol	OPEN	qoolkeey	OPEN	NONE	NONE	NONE	NO_CLOSE_WITHIN_5	NA	NA	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	OPEN	0	0
G749-O0009	cheey	G733-C00133	f100v	f100	f100v.15	8	1	0	1	P	A	1	11	MIDDLE	LAST_THIRD	chol	OPEN	qokeol	HOT|MATERIAL|PROCESS|MIDDLE_STAGE	HOT|MIDDLE_STAGE|MATERIAL|PROCESS	NONE	NONE	NO_CLOSE_WITHIN_5	NA	NA	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s	OPEN	0	0
G749-O0010	cheky	G733-C00195	f100v	f100	f100v.22	2	1	0	1	P	A	1	3	MIDDLE	MIDDLE_THIRD	daiin	OPEN	chory	PART|BEGIN_STAGE	BEGIN_STAGE|PART	NONE	BEGIN_STAGE	NO_CLOSE_WITHIN_5	NA	NA	daiin cheky chory	OPEN	0	0
G749-O0011	sheey	G733-C00217	f102r1	f102	f102r1.11	4	1	0	1	P	A	1	8	MIDDLE	MIDDLE_THIRD	sol	OPEN	okeody	OPEN	NONE	NONE	NONE	NO_CLOSE_WITHIN_5	NA	NA	dcheo qockhy sol sheey okeody qokeodol shockhey oleeol	OPEN	0	0
G749-O0012	sheey	G733-C00245	f102r1	f102	f102r1.15	5	0	0	0	P	A	1	9	MIDDLE	MIDDLE_THIRD	dykeor	OPEN	qokeody	OPEN	NONE	NONE	NONE	NO_CLOSE_WITHIN_5	NA	NA	or chol daiin dykeor sheey qokeody dor os ykeeykam	OPEN	0	0
G749-O0013	sheey	G733-C00316	f102v1	f102	f102v1.10	5	0	0	0	P	A	1	10	MIDDLE	MIDDLE_THIRD	choraiin	OPEN	ykeey	HOT|PROCESS|END_STAGE	HOT|END_STAGE|PROCESS	END_STAGE	NONE	NO_CLOSE_WITHIN_5	NA	NA	kochor ol ydaiin choraiin sheey ykeey kor shey qokey dy	OPEN	0	0
G749-O0014	cheol	G733-C00326	f102v1	f102	f102v1.11	5	1	0	1	P	A	1	10	MIDDLE	MIDDLE_THIRD	qokol	OPEN	chey	OPEN	NONE	NONE	NONE	NO_CLOSE_WITHIN_5	NA	NA	sol chol qooiin qokol cheol chey kolcheey daiin cheody dy	OPEN	0	0
G749-O0015	cheol	G733-C00333	f102v1	f102	f102v1.12	2	1	0	1	P	A	1	10	MIDDLE	FIRST_THIRD	y	OPEN	cheol	OPEN	NONE	NONE	NONE	NO_CLOSE_WITHIN_5	NA	NA	y cheol cheol doiir shekcheor s ar cheor ey pchodaiin	OPEN	0	0
G749-O0016	cheol	G733-C00334	f102v1	f102	f102v1.12	3	0	0	0	P	A	1	10	MIDDLE	FIRST_THIRD	cheol	OPEN	doiir	OPEN	NONE	NONE	NONE	NO_CLOSE_WITHIN_5	NA	NA	y cheol cheol doiir shekcheor s ar cheor ey pchodaiin	OPEN	0	0
G749-O0017	cheol	G733-C00346	f102v1	f102	f102v1.13	5	1	0	1	P	A	1	10	MIDDLE	MIDDLE_THIRD	qkol	OPEN	daiin	OPEN	NONE	NONE	NONE	NO_CLOSE_WITHIN_5	NA	NA	toiin ol daiin qkol cheol daiin qokar oaiin cheey saiim	OPEN	0	0
G749-O0018	cheey	G733-C00350	f102v1	f102	f102v1.13	9	1	0	1	P	A	1	10	MIDDLE	LAST_THIRD	oaiin	AMOUNT|PREPARATION	saiim	OPEN	AMOUNT|PREPARATION	NONE	NONE	NO_CLOSE_WITHIN_5	NA	NA	toiin ol daiin qkol cheol daiin qokar oaiin cheey saiim	OPEN	0	0
G749-O0019	okeey	G733-C00377	f102v1	f102	f102v1.20	8	1	0	1	P	A	1	9	MIDDLE	LAST_THIRD	qoeteey	OPEN	dam	OPEN	NONE	NONE	NONE	NO_CLOSE_WITHIN_5	NA	NA	soiin shey qokeey qoeeol qokeody sheody qoeteey okeey dam	OPEN	0	0
G749-O0020	cheol	G733-C00390	f102v1	f102	f102v1.22	4	1	0	1	P	A	1	8	MIDDLE	MIDDLE_THIRD	qokeos	OPEN	qool	OPEN	NONE	NONE	NONE	NO_CLOSE_WITHIN_5	NA	NA	ykeeody chodaiin qokeos cheol qool chsey oteody okchy	OPEN	0	0
G749-O0021	cheol	G733-C00406	f102v1	f102	f102v1.24	4	1	0	1	P	A	1	4	LAST	LAST_THIRD	qoor	AMOUNT|MATERIAL	EDGE	EDGE	AMOUNT|MATERIAL	NONE	NONE	NO_CLOSE_WITHIN_5	NA	NA	ysaiin ckhey qoor cheol	OPEN	0	0
G749-O0022	cheol	G733-C00492	f102v2	f102	f102v2.21	6	1	0	1	P	A	1	14	MIDDLE	MIDDLE_THIRD	okeeor	OPEN	os	OPEN	NONE	NONE	NONE	NO_CLOSE_WITHIN_5	NA	NA	ycheey s od eey okeeor cheol os oiin oeees okear chey keey saiin oteo	OPEN	0	0
G749-O0023	cheol	G733-C00504	f102v2	f102	f102v2.22	4	1	0	1	P	A	1	15	MIDDLE	FIRST_THIRD	aiin	OPEN	s	OPEN	NONE	NONE	NONE	NO_CLOSE_WITHIN_5	NA	NA	dain or aiin cheol s oiir chol sheey qockhy ol keo r okeody okeor cho	OPEN	0	0
G749-O0024	sheey	G733-C00508	f102v2	f102	f102v2.22	8	1	0	1	P	A	1	15	MIDDLE	MIDDLE_THIRD	chol	OPEN	qockhy	PREPARATION|BEGIN_STAGE	BEGIN_STAGE|PREPARATION	NONE	BEGIN_STAGE	NO_CLOSE_WITHIN_5	NA	NA	dain or aiin cheol s oiir chol sheey qockhy ol keo r okeody okeor cho	OPEN	0	0
G749-O0025	sheey	G733-C00536	f102v2	f102	f102v2.30	7	0	0	0	P	A	1	9	MIDDLE	LAST_THIRD	qokeod	OPEN	opaiin	OPEN	NONE	NONE	NONE	NO_CLOSE_WITHIN_5	NA	NA	pydchy odiy pcheady qoekeey oteey qokeod sheey opaiin deear	OPEN	0	0
G749-O0026	cheey	G733-C00591	f102v2	f102	f102v2.36	2	1	0	1	P	A	1	9	MIDDLE	FIRST_THIRD	okeeor	OPEN	okeey	OPEN	NONE	NONE	NONE	NO_CLOSE_WITHIN_5	NA	NA	okeeor cheey okeey sor eeey okey okey okeey qokeor	OPEN	0	0
