certificate_id	current_status	source_neighbor_count	component_recipe	visible_atom_count	visible_atoms	all_atoms_known	exact_catalog_key	catalog_intake_tier	incoming_action	incoming_argument	scope_context_mode	scope_incoming_action	next_visible_recipe	explicit_action_roots	explicit_argument_roots	visible_separated_chains	factor_gate_status	scope_selector_rules	portable_factor_rules	amber_factor_rules	blocked_factor_rules	blocked_rule_explanations	mechanism_flags	primary_intake_route	certificate_decision	route_explanation_de	ordered_literal_reading_de	outgoing_action	outgoing_argument	state_preserved_on_stop	direct_pair_promoted	invisible_separator_invented	meaning_revision	surface_prediction	occurrence_prediction	factor_gate_matches_gdt441
G445-CAN-0001	OBSERVED	3	AIIN	1	AIIN	YES	YES	T0_EXACT_OBSERVED	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	NONE	AIIN	NONE	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT	FOCUS:OWNER<-AIIN	NONE	NONE	NONE	EXACT_CATALOG_KEY	EXACT_CATALOG	READ	Bekannten exakten Kartenschluessel lesen; Faktoren bleiben sichtbar.	WERT	NONE	AIIN	YES	NO	NO	NO	NO	NO	YES
G445-CAN-0002	ABSENT	2	AIIN+AIIN	2	AIIN|AIIN	YES	YES	T4_NARROW_APPENDIX	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	NONE	AIIN|AIIN	NONE	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT|OWNER_CONTEXT	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-AIIN	NONE	NONE	NONE	EXACT_CATALOG_KEY	EXACT_CATALOG	READ	Bekannten exakten Kartenschluessel lesen; Faktoren bleiben sichtbar.	WERT · WERT	NONE	AIIN	YES	NO	NO	NO	NO	NO	YES
G445-CAN-0003	ABSENT	3	AIIN+AIN	2	AIIN|AIN	YES	YES	T2_FUTURE_STRONG	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	NONE	AIIN|AIN	NONE	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT|OWNER_CONTEXT	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-AIN	NONE	NONE	NONE	EXACT_CATALOG_KEY	EXACT_CATALOG	READ	Bekannten exakten Kartenschluessel lesen; Faktoren bleiben sichtbar.	WERT · ANTEIL	NONE	AIN	YES	NO	NO	NO	NO	NO	YES
G445-CAN-0004	ABSENT	1	AIIN+AIN+S+Y	4	AIIN|AIN|S|Y	YES	NO	NONE	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	S	AIIN|AIN|Y	NONE	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:S<-AIIN|FOCUS:S<-AIN|FOCUS:S<-Y	NONE	NONE	NONE	KNOWN_FACTOR_COMPOSITION	KNOWN_FACTOR_COMPOSITION_GREEN	READ	Neue sichtbare Karte nur aus seitenuebergreifend belegten Faktoren lesen.	WERT · ANTEIL · WÄHLEN · POSTEN	S	Y	YES	NO	NO	NO	NO	NO	YES
G445-CAN-0005	ABSENT	2	AIIN+AL	2	AIIN|AL	YES	YES	T4_NARROW_APPENDIX	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	NONE	AIIN	NONE	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT|AL_AR_ORDERED_FALLBACK	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-AL	NONE	NONE	NONE	EXACT_CATALOG_KEY	EXACT_CATALOG	READ	Bekannten exakten Kartenschluessel lesen; Faktoren bleiben sichtbar.	WERT · ZIELORT	NONE	AIIN	YES	NO	NO	NO	NO	NO	YES
G445-CAN-0006	ABSENT	1	AIIN+AL+S	3	AIIN|AL|S	YES	NO	NONE	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	S	AIIN	NONE	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|AL_AR_ORDERED_FALLBACK	FOCUS:S<-AIIN|FOCUS:S<-AL	NONE	NONE	NONE	KNOWN_FACTOR_COMPOSITION	KNOWN_FACTOR_COMPOSITION_GREEN	READ	Neue sichtbare Karte nur aus seitenuebergreifend belegten Faktoren lesen.	WERT · ZIELORT · WÄHLEN	S	AIIN	YES	NO	NO	NO	NO	NO	YES
G445-CAN-0007	ABSENT	1	AIIN+AL+Y	3	AIIN|AL|Y	YES	NO	NONE	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	NONE	AIIN|Y	NONE	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT|AL_AR_ORDERED_FALLBACK|OWNER_CONTEXT	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-AL|FOCUS:OWNER<-Y	NONE	NONE	NONE	KNOWN_FACTOR_COMPOSITION	KNOWN_FACTOR_COMPOSITION_GREEN	READ	Neue sichtbare Karte nur aus seitenuebergreifend belegten Faktoren lesen.	WERT · ZIELORT · POSTEN	NONE	Y	YES	NO	NO	NO	NO	NO	YES
G445-CAN-0008	ABSENT	1	AIIN+AR	2	AIIN|AR	YES	NO	NONE	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	NONE	AIIN	NONE	FACTOR_GREEN_CROSS_PAGE	OWNER_CONTEXT|AL_AR_ORDERED_FALLBACK	FOCUS:OWNER<-AIIN|FOCUS:OWNER<-AR	NONE	NONE	NONE	KNOWN_FACTOR_COMPOSITION	KNOWN_FACTOR_COMPOSITION_GREEN	READ	Neue sichtbare Karte nur aus seitenuebergreifend belegten Faktoren lesen.	WERT · AUSGANG	NONE	AIIN	YES	NO	NO	NO	NO	NO	YES
G445-CAN-0009	ABSENT	1	AIIN+CH+AIR	3	AIIN|CH|AIR	YES	NO	NONE	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	CH	AIIN	NONE	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|L_AIR_RIGHT_FALLBACK	FOCUS:CH<-AIIN|FOCUS:CH<-AIR	NONE	NONE	NONE	KNOWN_FACTOR_COMPOSITION	KNOWN_FACTOR_COMPOSITION_GREEN	READ	Neue sichtbare Karte nur aus seitenuebergreifend belegten Faktoren lesen.	WERT · NEHMEN · BAHN	CH	AIIN	YES	NO	NO	NO	NO	NO	YES
G445-CAN-0010	ABSENT	1	AIIN+CH+E+O	4	AIIN|CH|E|O	YES	NO	NONE	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	CH	AIIN	NONE	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-AIIN|FOCUS:CH<-E	NONE	NONE	NONE	KNOWN_FACTOR_COMPOSITION	KNOWN_FACTOR_COMPOSITION_GREEN	READ	Neue sichtbare Karte nur aus seitenuebergreifend belegten Faktoren lesen.	WERT · NEHMEN · GRAD I · AUSFÜHRUNG	CH	AIIN	YES	NO	NO	NO	NO	NO	YES
G445-CAN-0011	ABSENT	1	AIIN+CH+E+O+D_ADDR+Y	6	AIIN|CH|E|O|D_ADDR|Y	YES	NO	NONE	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	CH	AIIN|Y	NONE	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-AIIN|FOCUS:CH<-E|FOCUS:CH<-Y	NONE	NONE	NONE	KNOWN_FACTOR_COMPOSITION	KNOWN_FACTOR_COMPOSITION_GREEN	READ	Neue sichtbare Karte nur aus seitenuebergreifend belegten Faktoren lesen.	WERT · NEHMEN · GRAD I · AUSFÜHRUNG · HIER · POSTEN	CH	Y	YES	NO	NO	NO	NO	NO	YES
G445-CAN-0012	ABSENT	1	AIIN+CH+E+O+L	5	AIIN|CH|E|O|L	YES	NO	NONE	NONE	NONE	AUTO_SAME_AS_OWNER_HEAD	AUTO	NONE	CH	AIIN	NONE	FACTOR_GREEN_CROSS_PAGE	NEAREST_HEAD_LEFT_TIE|NEAREST_HEAD_LEFT_TIE|L_AIR_RIGHT_FALLBACK	FOCUS:CH<-AIIN|FOCUS:CH<-E|FOCUS:CH<-L	NONE	NONE	NONE	KNOWN_FACTOR_COMPOSITION	KNOWN_FACTOR_COMPOSITION_GREEN	READ	Neue sichtbare Karte nur aus seitenuebergreifend belegten Faktoren lesen.	WERT · NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG	CH	AIIN	YES	NO	NO	NO	NO	NO	YES
