surface	source_pool	active_after_q152	q152_exact_excluded	balanced_four_cell_head	preexisting_semantic_sentinel	registered_prior_role	literal_credit
chckhedy	GDT760_AMOUNT_CONTENT	1	0	0	0	DRY|PREPARATION|CLOSE|MIDDLE_STAGE|END_STAGE	0
chckhey	GDT760_AMOUNT_CONTENT	1	0	1	0	DRY|PREPARATION|MIDDLE_STAGE	0
cheal	GDT760_AMOUNT_CONTENT	1	0	1	0	DRY|MATERIAL|MIDDLE_STAGE	0
cheeol	GDT760_AMOUNT_CONTENT	1	0	0	0	DRY|MATERIAL|END_STAGE	0
cheo	GDT760_AMOUNT_CONTENT	1	0	1	0	DRY|PREPARATION	0
cheor	GDT760_AMOUNT_CONTENT	1	0	0	0	DRY|PART|MATERIAL	0
cheos	GDT760_AMOUNT_CONTENT	1	0	0	0	DRY|AMOUNT|PREPARATION	0
cheoty	GDT760_AMOUNT_CONTENT	1	0	0	0	COLD|DRY|PREPARATION|BEGIN_STAGE	0
chofol	GDT764_X_DAIIN	1	0	0	0	OPEN_FIELD	0
chokal	GDT760_AMOUNT_CONTENT	1	0	0	0	HOT|DRY|MATERIAL|PREPARATION|BEGIN_STAGE	0
chokey	GDT760_AMOUNT_CONTENT	1	0	0	0	HOT|DRY|PREPARATION|MIDDLE_STAGE	0
choky	GDT760_AMOUNT_CONTENT	1	0	0	0	HOT|DRY|PREPARATION|BEGIN_STAGE	0
ckhor	GDT760_AMOUNT_CONTENT	1	0	0	0	AMOUNT|PREPARATION	0
cthy	GDT760_AMOUNT_CONTENT	1	0	0	1	MATERIAL	0
dal	GDT764_X_DAIIN	1	0	1	0	MATERIAL_MEASURE_HEAD	0
dchol	GDT760_AMOUNT_CONTENT	0	1	0	0	DRY|AMOUNT|MATERIAL	0
kar	GDT760_AMOUNT_CONTENT	1	0	0	0	HOT|PART|MATERIAL	0
keol	GDT760_AMOUNT_CONTENT	0	1	0	0	HOT|MATERIAL	0
ockhey	GDT760_AMOUNT_CONTENT	1	0	0	0	PREPARATION|MIDDLE_STAGE	0
odaiin	GDT760_AMOUNT_CONTENT	1	0	0	0	PREPARATION|LEVEL_III	0
odain	GDT760_AMOUNT_CONTENT	1	0	0	0	PREPARATION|LEVEL_II	0
odar	GDT760_AMOUNT_CONTENT	1	0	0	0	AMOUNT|PART|PREPARATION|PROCESS	0
ody	GDT760_AMOUNT_CONTENT	1	0	0	0	PREPARATION|CLOSE|END_STAGE	0
ofchy	GDT764_X_DAIIN	1	0	0	0	OPEN_FIELD	0
okair	GDT760_AMOUNT_CONTENT	1	0	0	0	HOT|PART|MATERIAL|PREPARATION	0
okshy	GDT760_AMOUNT_CONTENT	1	0	0	0	HOT|MOIST|PREPARATION|BEGIN_STAGE	0
olaiin	GDT760_AMOUNT_CONTENT	1	0	0	0	AMOUNT|MATERIAL	0
olkain	GDT760_AMOUNT_CONTENT	1	0	0	0	HOT|MATERIAL|LEVEL_II	0
otchedy	GDT760_AMOUNT_CONTENT	0	1	0	0	COLD|DRY|PREPARATION|CLOSE|MIDDLE_STAGE|END_STAGE	0
oteey	GDT760_AMOUNT_CONTENT	1	0	0	0	COLD|PREPARATION|END_STAGE	0
oteody	GDT764_X_DAIIN	0	1	0	0	RESULT_STAGE_HEAD	0
oteol	GDT760_AMOUNT_CONTENT	0	1	0	0	COLD|MATERIAL|PREPARATION|PROCESS|MIDDLE_STAGE	0
otol	GDT760_AMOUNT_CONTENT	0	1	0	0	COLD|PREPARATION	0
otydy	GDT760_AMOUNT_CONTENT	1	0	0	0	COLD|PREPARATION|CLOSE|BEGIN_STAGE|END_STAGE	0
qolkary	GDT760_AMOUNT_CONTENT	1	0	0	0	HOT|PART|MATERIAL	0
qopchdy	GDT764_X_DAIIN	1	0	0	0	NOMINAL_FIELD	0
qoty	GDT764_X_DAIIN	1	0	1	0	QUALITY_HEAD	0
sheo	GDT760_AMOUNT_CONTENT	1	0	0	0	MOIST|PREPARATION	0
sheor	GDT760_AMOUNT_CONTENT	1	0	1	0	MOIST|PART|MATERIAL	0
sho	GDT760_AMOUNT_CONTENT	1	0	0	0	MOIST|PREPARATION	0
ytchor	GDT760_AMOUNT_CONTENT	1	0	0	0	COLD|DRY|AMOUNT|MATERIAL	0
