candidate_id	candidate_de	historical_lemma	family	required_features	positive_features	hard_negative_features	candidate_specific_gate	minimum_behavior	literal_credit
S01	Wasser	aqua	SUBSTANCE	SOURCE_CONTENT_HEAD|MEDIUM_ROLE_PROXY	PRIOR_MOIST|AMOUNT_CONTACT_ANY|VISUAL_POOL_3|NONHERBAL_DOMINANT_75|REL_DY_EXPANDED	DRY_INGREDIENT_PROXY|MANUAL_LEAF_OWNER_MULTI_FOLIO	PATIENT_MEDIUM_DURATION_OR_PROCESS	Material plus named medium and duration or downstream heat/strain on multiple folios	0
S02	Wein	vinum	SUBSTANCE	SOURCE_CONTENT_HEAD|MEDIUM_ROLE_PROXY	PRIOR_MOIST|AMOUNT_CONTACT_RECURRENT|PRIOR_HOT|PRIOR_COLD|NONHERBAL_DOMINANT_75	DRY_INGREDIENT_PROXY|MANUAL_LEAF_OWNER_MULTI_FOLIO	QUALIFIED_OR_ADMIN_MEDIUM	Qualified liquid or dose/administration/extraction medium on multiple folios	0
S03	Öl	oleum	SUBSTANCE	SOURCE_CONTENT_HEAD|LIQUID_OR_PRODUCT_PROXY	PRIOR_CLOSE|AMOUNT_CONTACT_RECURRENT|VISUAL_POOL_3|VISUAL_MATERIAL_3|REL_DY_EXPANDED	DRY_INGREDIENT_PROXY|MANUAL_LEAF_OWNER_MULTI_FOLIO	PRODUCED_RESULT_OR_MEASURED_MIXING_MEDIUM	Produced clear result or measured mixing medium on multiple folios	0
S04	Salz	sal	SUBSTANCE	SOURCE_CONTENT_HEAD|PRIOR_DRY|PRIOR_MATERIAL	AMOUNT_CONTACT_ANY|NONHERBAL_DOMINANT_75|VISUAL_MATERIAL_3	MEDIUM_ROLE_PROXY|MANUAL_LEAF_OWNER_MULTI_FOLIO	SALT_SPECIFIC_ANCHOR	Dry ingredient behavior plus an independent salt-specific anchor	0
S05	Blattgut	folium/folia	PLANT_PART	SOURCE_CONTENT_HEAD|PRIOR_MATERIAL|HERBAL_DOMINANT_90|BOTANICAL_PAGE_CONTEXT_MULTI_FOLIO	AMOUNT_CONTACT_ANY|NEAR_CHOR_SHOR_2_FOLIOS|VISUAL_WHOLE_PLANT_3|REL_L_BASE|REL_EXTERNAL_RECORD_AGREES	MANUAL_ROOT_OWNER_MULTI_FOLIO|MANUAL_FLOWER_OWNER_MULTI_FOLIO|NONHERBAL_DOMINANT_75	MANUAL_LEAF_OWNER_MULTI_FOLIO	Direct leaf-specific token ownership or equivalent discriminator; botanical page context and record compatibility cannot distinguish leaf from herba or opaque head	0
S06	Wurzel	radix	PLANT_PART	SOURCE_CONTENT_HEAD|PRIOR_MATERIAL|HERBAL_DOMINANT_75	AMOUNT_CONTACT_ANY|NEAR_CHOR_SHOR_2_FOLIOS|VISUAL_WHOLE_PLANT_3|REL_L_BASE	MANUAL_LEAF_OWNER_MULTI_FOLIO|MANUAL_FLOWER_OWNER_MULTI_FOLIO	MANUAL_ROOT_OWNER_MULTI_FOLIO	Direct underground/rootstock ownership on multiple folios; not an inferred label from botanical page context	0
S07	Blüte	flos	PLANT_PART	SOURCE_CONTENT_HEAD|PRIOR_PART|HERBAL_DOMINANT_75	NEAR_CTHY_2_FOLIOS|NEAR_CHOR_SHOR_2_FOLIOS|VISUAL_WHOLE_PLANT_3	MANUAL_LEAF_OWNER_MULTI_FOLIO|MANUAL_ROOT_OWNER_MULTI_FOLIO|MULTI_NAME_INGREDIENT_LIST	MANUAL_FLOWER_OWNER_MULTI_FOLIO	Direct flower-specific ownership on multiple folios; nominal record compatibility does not determine the part	0
S08	Samen	semen	PLANT_PART	SOURCE_CONTENT_HEAD|PRIOR_MATERIAL|HERBAL_DOMINANT_75	AMOUNT_CONTACT_ANY|NEAR_CTHY_2_FOLIOS|NEAR_CHOR_SHOR_2_FOLIOS|VISUAL_WHOLE_PLANT_3	MANUAL_LEAF_OWNER_MULTI_FOLIO|MANUAL_ROOT_OWNER_MULTI_FOLIO	MANUAL_SEED_OWNER_MULTI_FOLIO|MULTI_NAME_INGREDIENT_LIST	Seed owner or command-governed multi-name ingredient-list behavior	0
S09	Pulver	pulvis	SUBSTANCE_FORM	SOURCE_CONTENT_HEAD|PRIOR_DRY|PRIOR_MATERIAL	AMOUNT_CONTACT_RECURRENT|VISUAL_MATERIAL_3|PRIOR_CLOSE	MEDIUM_ROLE_PROXY|MANUAL_LEAF_OWNER_MULTI_FOLIO	POWDER_SPECIFIC_ANCHOR	Dry particulate product or ingredient behavior beyond generic dry material	0
S10	Holz	lignum	PLANT_PART	SOURCE_CONTENT_HEAD|PRIOR_MATERIAL|HERBAL_DOMINANT_75	PRIOR_PART|AMOUNT_CONTACT_ANY|VISUAL_WHOLE_PLANT_3	MANUAL_LEAF_OWNER_MULTI_FOLIO|MEDIUM_ROLE_PROXY	MANUAL_WOOD_OWNER_MULTI_FOLIO	Woody-stem owner on multiple folios and nominal material behavior	0
S11	zerreibe	tere	ACTION	SOURCE_CONTENT_HEAD|PRIOR_PROCESS|PRIOR_MATERIAL	PRIOR_DRY|AMOUNT_CONTACT_ANY|NONHERBAL_DOMINANT_75	PARAGRAPH_START_20|VALUE_FIELD_ANY	SOLID_PATIENT_THEN_MIX_OR_SIEVE	Solid patient followed by mixing, sieving or product formation	0
S12	mische	misce	ACTION	SOURCE_CONTENT_HEAD|PRIOR_PROCESS|PRIOR_PREPARATION	AMOUNT_CONTACT_RECURRENT|NONHERBAL_DOMINANT_75|NEAR_AMOUNT_2_FOLIOS	VALUE_FIELD_ANY|MANUAL_LEAF_OWNER_MULTI_FOLIO	MULTIPLE_PATIENTS_THEN_NEXT_STEP	Multiple ingredients or amounts before the operation and another step afterward	0
S13	seihe/filtriere	cola	ACTION	SOURCE_CONTENT_HEAD|PRIOR_PROCESS|LIQUID_OR_PRODUCT_PROXY	PRIOR_CLOSE|VISUAL_POOL_3|NONHERBAL_DOMINANT_75	DRY_INGREDIENT_PROXY|PARAGRAPH_START_20	UPSTREAM_LIQUID_THEN_RESULT	Upstream liquid/boil/soak and downstream colature or next process	0
S14	erhitze	fac bullire/calefacere	ACTION	SOURCE_CONTENT_HEAD|PRIOR_PROCESS|PRIOR_HOT	PRIOR_PREPARATION|NONHERBAL_DOMINANT_75|VISUAL_POOL_3	QUALITY_VALUE_FIELD|MANUAL_LEAF_OWNER_MULTI_FOLIO	PATIENT_HOT_PROCESS_ENDPOINT	Patient plus hot process plus endpoint/product, not descriptive degree	0
