decision_id	metric	operator	threshold	applies_to	ties_policy
D01	primary_unique_events	GE	4	LOCAL_ASSOCIATION_PASS	BOUNDARY_PASSES
D02	primary_contact_folios	GE	4	LOCAL_ASSOCIATION_PASS	BOUNDARY_PASSES
D03	absolute_haldane_log_or	GE	1.25	LOCAL_ASSOCIATION_PASS	BOUNDARY_PASSES
D04	target_rotation_absolute_rank	LE	4	LOCAL_ASSOCIATION_PASS	NULL_SCORE_TIES_COUNT_AGAINST
D05	leave_one_contact_folio_sign_agreement	GE	0.80	LOCAL_ASSOCIATION_PASS	ZERO_DIRECTION_FAILS
D06	folio_disjoint_external_occurrences	GE	3	RELATION_CONDITIONED_RECORD_HEAD	BOUNDARY_PASSES
D07	external_record_compatibility_direction_agrees	EQ	1	RELATION_CONDITIONED_RECORD_HEAD	ZERO_DIRECTION_FAILS
D08	head_ed1_safe_from_q152	EQ	1	FORMAL_RELATION_SENSITIVITY	NO_SEMANTIC_IDENTITY_CREDIT
D09	semantic_observed_required_features_complete	EQ	1	EXPLORATORY_CANDIDATE_READINESS	NO_AUTOMATIC_IDENTITY_PROMOTION
D10	semantic_candidate_gate_complete	EQ	1	EXPLORATORY_CANDIDATE_READINESS	UNOBSERVED_IS_NOT_FALSE
D11	semantic_observed_hard_negative_count	EQ	0	EXPLORATORY_CANDIDATE_READINESS	UNOBSERVED_IS_NOT_COUNTEREVIDENCE
D12	semantic_external_folios	GE	3	EXPLORATORY_CANDIDATE_READINESS	BOUNDARY_PASSES
D13	semantic_family_margin	GE	2	EXPLORATORY_CANDIDATE_READINESS	EXACT_TOP_TIE_BLOCKS_SINGLETON_NOT_APPLICABLE
D14	identity_promotion_authorized	EQ	0	ALL_CANDIDATES	PRIOR_AND_REGISTER_NEVER_PROMOTE_LITERAL_IDENTITY
