position	block	locus	group	word	type	value	hypothetical_meaning	frozen_old	confirmed
1	NEW63	f83r.18	1	pdalshdy	SUMMARY_ORDERED_PAIR	SUMMARY_ORDERED_PAIR	Introduce an ordered summary of two named activity types, with the explicitly written temporal/illumination qualifications and a common patient role. This is an overt nominal construction, not two executions.	False	False
2	NEW63	f83r.18	2	shocphedy	WEAVE_TYPE_REFERENCE	WEAVE	A nominal reference to exactly the WEAVE activity type denoted by old qokeedy; no performed event.	False	False
3	NEW63	f83r.18	3	otor	WHEN	WHEN	Form a temporal condition from the following daytime region or state predicate: membership in the named region, or truth of that unchanged predicate in the state at a time. The finite two-case type lifting is declared in B3.	False	False
4	NEW63	f83r.18	4	shedy	TIME_PHASE	DAY	daytime	True	False
5	NEW63	f83r.18	5	opshedy	UNRAVEL_TYPE_REFERENCE	UNRAVEL	A nominal reference to exactly the UNRAVEL activity type denoted by old qokeey; no performed event.	False	False
6	NEW63	f83r.18	6	otshdy	BY_LIGHT_OF	BY_LIGHT_OF	Attach the following illumination source to an activity specification.	False	False
7	NEW63	f83r.18	7	qokedol	TORCHES	TORCHES	Torches, as an illumination source; no number of torches is assigned.	False	False
8	NEW63	f83r.18	8	shdy	SAME_PATIENT	SAME_PATIENT	Unify the two activity specifications on the following common patient-role expression.	False	False
9	NEW63	f83r.18	9	soldy	WORK_PATIENT_ROLE	WORK_PATIENT_ROLE	The as-yet unfilled artifact/patient role of this work episode; it must be filled by the first literal cloth reference, not by an invisible second artifact.	False	False
10	NEW63	f83r.19	1	sar	PUBLIC_PARTICIPANTS	WOOERS	Exactly the public participants O named as wooers by old qody. This is an openly added co-denoting whole form.	False	False
11	NEW63	f83r.19	2	shedaiin	BELIEVE	BELIEVE	Attribute the following appearance proposition to the named experiencer; do not assert that the appearance guarantees completion.	False	False
12	NEW63	f83r.19	3	ockhey	APPEARANCE	APPEARANCE	The apparent aspect of the following progress description.	False	False
13	NEW63	f83r.19	4	sain	WORK_PROGRESS	WORK_PROGRESS	Progress on the common work patient, without a numerical amount or a completion assertion.	False	False
14	NEW63	f83r.19	5	ched	VISIBLE_DURING	VISIBLE_DURING	Qualify progress as visible during the following time region.	False	False
15	NEW63	f83r.19	6	shedy	TIME_PHASE	DAY	daytime	True	False
16	NEW63	f83r.19	7	qetal	JUDGE_BY	JUDGE_BY	The most recent experiencer judges the ongoing work from the explicitly marked observation period.	False	False
17	NEW63	f83r.19	8	dal	BY_OBSERVATION_IN	BY_OBSERVATION_IN	Mark the time region used as the basis of that judgment; not a voyage, count, or physical ingredient.	False	False
18	NEW63	f83r.19	9	shedy	TIME_PHASE	DAY	daytime	True	False
19	NEW63	f83r.19	10	shey	WITHOUT	WITHOUT	Negate the following epistemic condition in the current phase, not the occurrence of its action content.	False	False
